"model","instance_file","a","b","c","d","residuals"
"1FlipHC/uf020-01/","expLinearModelpositive","0.494893504761523","450","-1.49075593736393","14.9312459483993","154.595337202618"
"1FlipHC/uf020-01/","expLinearModelpositive","0.494893537386115","450","-1.49075595342671","14.9312454097405","154.595337202618"
"1FlipHC/uf020-02/","expLinearModelpositive","0.306105089070075","480","-1.41618678473407","15.1174995456676","127.256551223926"
"1FlipHC/uf020-03/","expLinearModelpositive","0.816415933564196","600","-1.50154651370091","14.0674291836295","172.399135738992"
"1FlipHC/uf020-04/","expLinearModelpositive","1.02095191592561","510","-1.57405518731175","10.620277458316","193.763941555622"
"1FlipHC/uf020-05/","expLinearModelpositive","0.3507834687381","600","-1.39868871173359","17.1759476681125","188.918753925801"
"1FlipHC/uf020-06/","expLinearModelpositive","0.746734934637735","540","-1.41205088624762","16.4377525645981","159.738428346588"
"1FlipHC/uf020-07/","expLinearModelpositive","0.610351500888681","480","-1.4408006105993","14.714464268345","154.371603042311"
"1FlipHC/uf020-08/","expLinearModelpositive","0.587275331040445","460.204020769635","-1.45708146213257","12.7144810660801","112.381103475098"
"1FlipHC/uf020-09/","expLinearModelpositive","0.75963966033412","480","-1.47534746680269","11.8858763148247","110.313934086962"
"1FlipHC/uf020-10/","expLinearModelpositive","0.587131513515835","510","-1.58333874703401","10.6291943298112","176.486992928183"
"1FlipHC/uf050-01/","expLinearModelpositive","0.534178225114599","1050","-1.09806413776864","29.201565539533","358.222775162903"
"1FlipHC/uf050-02/","expLinearModelpositive","0.640271894699265","990","-1.08725057949403","25.922361500316","314.943589046957"
"1FlipHC/uf050-03/","expLinearModelpositive","0.076996554813881","1140","-1.10578882740154","27.9098503813341","477.173177471402"
"1FlipHC/uf050-04/","expLinearModelpositive","0.689302016209106","1110","-1.0692126176482","31.0300409088455","304.06075397213"
"1FlipHC/uf050-05/","expLinearModelpositive","-0.17886696943655","990","-1.11534261995164","24.6491376013922","452.066696289376"
"1FlipHC/uf050-06/","expLinearModelpositive","0.443013601377499","1020","-1.03742538449544","30.9763699510105","269.244762550973"
"1FlipHC/uf050-07/","expLinearModelpositive","0.521452660527306","1080","-1.08348802306042","28.5574989763669","295.221783702077"
"1FlipHC/uf050-08/","expLinearModelpositive","0.891488748331071","1110","-1.12792276669771","26.1867082524422","293.041518279999"
"1FlipHC/uf050-09/","expLinearModelpositive","0.32461121808025","1020","-1.06984206216231","29.0615497849276","320.956691429847"
"1FlipHC/uf050-10/","expLinearModelpositive","0.514218365256642","1080","-1.10472570260233","27.4099977114165","441.273103371255"
"1FlipHC/uf075-01/","expLinearModelpositive","0.632454587537143","1530","-0.965054946590333","42.2813449313114","494.210573860219"
"1FlipHC/uf075-02/","expLinearModelpositive","0.214493163820279","1620","-1.00862470913259","37.3601691497764","540.486667608895"
"1FlipHC/uf075-03/","expLinearModelpositive","1.66957578789103","1620","-1.00229146978642","39.7361578723738","452.680592269173"
"1FlipHC/uf075-04/","expLinearModelpositive","1.21259093708074","1440","-0.978725553894335","41.2944611533851","437.188690911944"
"1FlipHC/uf075-05/","expLinearModelpositive","1.06821687722279","1860","-1.0502315886773","36.5073228369104","593.469648101964"
"1FlipHC/uf075-06/","expLinearModelpositive","0.679227946756492","1530","-0.978843925164169","43.5706231648109","440.517505071193"
"1FlipHC/uf075-07/","expLinearModelpositive","0.939332247463362","1500","-0.958950618861693","45.8787559515634","458.490512005098"
"1FlipHC/uf075-08/","expLinearModelpositive","0.783406814110917","1650","-1.01467666719325","34.1368072144068","562.577469187757"
"1FlipHC/uf075-09/","expLinearModelpositive","-0.357286786225317","1560","-0.988244544984538","36.8557375512293","536.353744115903"
"1FlipHC/uf075-10/","expLinearModelpositive","-0.328771591573736","1680","-0.992524958251971","40.1214229554683","622.547152782255"
"1FlipHC/uf100-01/","expLinearModelpositive","0.561624290760185","1950","-0.907283043418114","47.0202433429181","499.971560695059"
"1FlipHC/uf100-02/","expLinearModelpositive","0.653774117409264","1950","-0.916744420043506","47.4114924823412","594.7612089062"
"1FlipHC/uf100-03/","expLinearModelpositive","0.677898722081373","2040","-0.913161842619765","50.4316409892974","397.323308396551"
"1FlipHC/uf100-04/","expLinearModelpositive","0.0668689337060455","1860","-0.903106501705146","49.0343483972763","511.021163832264"
"1FlipHC/uf100-05/","expLinearModelpositive","0.260296641907112","2040","-0.90819177218206","51.6398643623672","865.35034195011"
"1FlipHC/uf100-06/","expLinearModelpositive","-1.73134064805698","2250","-0.94640195375816","44.9529089103953","726.983060584492"
"1FlipHC/uf100-07/","expLinearModelpositive","-0.0341597321774805","1980","-0.902030667058931","52.2930668920948","665.8147343422"
"1FlipHC/uf100-08/","expLinearModelpositive","1.19951998398124","2100","-0.936955536269862","49.2885473636731","861.586434690023"
"1FlipHC/uf100-09/","expLinearModelpositive","0.895848284279637","2070","-0.928152574703306","48.3720628402357","632.62623224573"
"1FlipHC/uf100-10/","expLinearModelpositive","33.5587215495735","0.0334665429702611","-0.0730722812613001","-0.999999999805189","76187.4785898747"
"1FlipHC/uf125-01/","expLinearModelpositive","0.51210816666485","2280","-0.854097801092238","57.4353814990541","536.064916164266"
"1FlipHC/uf125-02/","expLinearModelpositive","1.24645492577887","2430","-0.878729549760967","57.039632028458","639.549558386995"
"1FlipHC/uf125-03/","expLinearModelpositive","0.0214085480309797","2565.31006647097","-0.905835034228283","50.7330023545215","1107.38997450473"
"1FlipHC/uf125-04/","expLinearModelpositive","0.0981332010494625","2400","-0.875029472394308","57.4745586000832","1051.11244690353"
"1FlipHC/uf125-05/","expLinearModelpositive","0.130608801974218","2640","-0.882208327970061","64.1458650419848","723.000913276363"
"1FlipHC/uf125-06/","expLinearModelpositive","1.06246831262007","2550","-0.880428738696707","64.4330059909037","670.910492793056"
"1FlipHC/uf125-07/","expLinearModelpositive","-1.18578541253276","2460","-0.880394014337981","57.3672340655557","1128.28443057113"
"1FlipHC/uf125-08/","expLinearModelpositive","-0.191324423467916","2370","-0.859466938968932","58.4115306861176","791.019186189612"
"1FlipHC/uf125-09/","expLinearModelpositive","-0.000693923682933836","2550","-0.871739402660779","56.1471410359489","869.149843700449"
"1FlipHC/uf125-10/","expLinearModelpositive","0.569263593363102","2520","-0.876075947272505","58.9853102468774","716.968847666524"
"1FlipHC/uf150-01/","expLinearModelpositive","-0.374420405967407","3000","-0.854546070657709","63.1027799153843","1156.98912881003"
"1FlipHC/uf150-02/","expLinearModelpositive","0.496035962218545","3000","-0.847367520269374","69.458606693674","1077.70579289562"
"1FlipHC/uf150-03/","expLinearModelpositive","0.480864608476376","3270","-0.863263590817788","66.2058567365299","1179.39887905631"
"1FlipHC/uf150-04/","expLinearModelpositive","46.5795503126362","0.000262838519270112","-0.217137796469885","-0.999999999789505","152721.981641813"
"1FlipHC/uf150-05/","expLinearModelpositive","0.673104710603948","2880","-0.858550232173891","61.6836017187289","903.735724620051"
"1FlipHC/uf150-06/","expLinearModelpositive","-0.0103430112698701","2820","-0.83237297523981","65.9532073166972","979.448733810259"
"1FlipHC/uf150-07/","expLinearModelpositive","0.601492023301759","2730","-0.832160295598902","67.5732399523978","925.071396025409"
"1FlipHC/uf150-08/","expLinearModelpositive","-1.08323974695529","3120","-0.854237412370333","63.0757702107552","1287.65348470663"
"1FlipHC/uf150-09/","expLinearModelpositive","0.152880783919442","2760","-0.833782213524877","64.2414694109327","910.334017391614"
"1FlipHC/uf150-10/","expLinearModelpositive","0.542285885424424","3150","-0.867752661539317","66.8261247519929","1158.92990114032"
"1FlipHC/uf175-01/","expLinearModelpositive","1.09581209559021","3120","-0.819314132896751","68.4112317579379","1067.95054654054"
"1FlipHC/uf175-02/","expLinearModelpositive","0.117414835780527","3420","-0.816607723771259","77.3642560220099","1483.22617254256"
"1FlipHC/uf175-03/","expLinearModelpositive","-0.234333526830113","3450","-0.825519691992377","72.8713945165761","1336.55435215035"
"1FlipHC/uf175-04/","expLinearModelpositive","0.53670248127086","3180","-0.811327465687424","71.4174466903988","860.455958099579"
"1FlipHC/uf175-05/","expLinearModelpositive","0.49035927647583","3180","-0.806163309566688","72.2981480736161","1274.08803995883"
"1FlipHC/uf175-06/","expLinearModelpositive","0.046204518212957","3420","-0.824047862473155","70.0069433794685","1180.19176504285"
"1FlipHC/uf175-07/","expLinearModelpositive","-0.393973960606065","3600","-0.841138486437866","67.4242239337776","1087.53134697766"
"1FlipHC/uf175-08/","expLinearModelpositive","-0.462012234408657","3210","-0.821371724128993","64.8988293412638","1200.09673645049"
"1FlipHC/uf175-09/","expLinearModelpositive","0.115687464919216","3330","-0.821661370739114","70.4774983379255","939.698646281725"
"1FlipHC/uf175-10/","expLinearModelpositive","0.564574900221238","3450","-0.818743322944674","81.0023476155416","1249.15496161945"
"1FlipHC/uf200-01/","expLinearModelpositive","0.340245058367952","3690","-0.795359057784499","75.0011474938354","1374.90138892225"
"1FlipHC/uf200-02/","expLinearModelpositive","0.6922778964665","3960","-0.807011502853767","83.1347736454425","1358.51322965729"
"1FlipHC/uf200-03/","expLinearModelpositive","-0.314085988626546","3840","-0.813546782892171","73.4888788958583","1797.97836168344"
"1FlipHC/uf200-04/","expLinearModelpositive","0.983429381643563","3570","-0.801031590060194","78.2832885159787","1146.88861405524"
"1FlipHC/uf200-05/","expLinearModelpositive","0.473259091883313","3750","-0.794297601557773","86.5672847021138","1329.34305179886"
"1FlipHC/uf200-06/","expLinearModelpositive","0.0452116953299865","3630","-0.792909891907047","75.0020506731704","1004.96855710386"
"1FlipHC/uf200-07/","expLinearModelpositive","0.671745211177628","3630","-0.795882510117458","81.985266508268","1218.10041400745"
"1FlipHC/uf200-08/","expLinearModelpositive","0.755277227073443","3630","-0.804419922521162","76.5544628259398","1264.55877997061"
"1FlipHC/uf200-09/","expLinearModelpositive","0.5862521381757","3750","-0.805470240769298","78.1250527160676","1410.81686477522"
"1FlipHC/uf200-10/","expLinearModelpositive","0.658603671474758","3930","-0.804733494624498","77.4294954254487","1236.59176271302"
"1FlipHC/uf225-01/","expLinearModelpositive","0.101226394979416","4170","-0.788051041108184","86.6456376166539","2057.76921814212"
"1FlipHC/uf225-02/","expLinearModelpositive","-1.36865110508943","4020","-0.77239637417333","86.1195301375276","1824.66467114683"
"1FlipHC/uf225-03/","expLinearModelpositive","0.509885882418551","4200","-0.785349998189001","88.196951116779","1717.07659358259"
"1FlipHC/uf225-04/","expLinearModelpositive","0.697042821185546","4140","-0.785835439249076","83.0063116898339","1592.05557642738"
"1FlipHC/uf225-05/","expLinearModelpositive","-0.632694146719212","4500","-0.797822630940176","81.9743952742711","2172.07257807955"
"1FlipHC/uf225-06/","expLinearModelpositive","0.851182978138638","3960","-0.77115875833851","84.269883778418","1131.99101657278"
"1FlipHC/uf225-07/","expLinearModelpositive","0.66994607639707","4350","-0.792153553331491","86.3316193651821","1815.27031680411"
"1FlipHC/uf225-08/","expLinearModelpositive","0.505280920886024","4140","-0.787543015824737","82.9663848304439","1243.68473198842"
"1FlipHC/uf225-09/","expLinearModelpositive","0.958243033598351","3960","-0.76522847664239","93.6100499696837","1163.14870726894"
"1FlipHC/uf225-10/","expLinearModelpositive","-0.15607480281191","4380","-0.791515611521386","85.3735303038775","2034.14977156705"
"1FlipHC/uf250-01/","expLinearModelpositive","44.3790931984821","11.6296675286185","-0.0114064435927406","-0.999999999622009","278001.51040094"
"1FlipHC/uf250-02/","expLinearModelpositive","0.181352767845666","4560","-0.762689357806911","93.0468110865724","1677.92701045048"
"1FlipHC/uf250-03/","expLinearModelpositive","0.503879559880856","4620","-0.774418242428853","94.0633728924876","1450.18323112257"
"1FlipHC/uf250-04/","expLinearModelpositive","-0.821299957536201","4800","-0.787280598079277","82.6618281226604","2220.32713242944"
"1FlipHC/uf250-05/","expLinearModelpositive","0.547062066304125","4470","-0.757563317311387","98.1219660552619","1548.89465356402"
"1FlipHC/uf250-06/","expLinearModelpositive","-0.290673790552881","4650","-0.770232523396705","93.4998191386793","2294.21527067705"
"1FlipHC/uf250-07/","expLinearModelpositive","0.48982906433132","4830","-0.775488390095554","94.9365176708312","2014.22439499833"
"1FlipHC/uf250-08/","expLinearModelpositive","-0.509750345989414","4620","-0.770781121330477","88.7727898277244","1894.72378377433"
"1FlipHC/uf250-09/","expLinearModelpositive","0.322556260683299","4770","-0.771614219758187","92.6738225725904","1543.69269745953"
"1FlipHC/uf250-10/","expLinearModelpositive","0.265356936464791","4410","-0.76489272925245","87.8544553197111","1613.61895914501"
"1FlipHCrs/uf020-01/","expLinearModelpositive","0.292812027429941","480","-1.19060677569346","27.8869571938462","109.63178204509"
"1FlipHCrs/uf020-01/","expLinearModelpositive","0.292812039718958","480","-1.19060678144555","27.8869565630564","109.63178204509"
"1FlipHCrs/uf020-02/","expLinearModelpositive","0.18441144477194","151.110904138869","-1.00649024754073","13.9427981607539","95.5387644691662"
"1FlipHCrs/uf020-03/","expLinearModelpositive","0.188354772315716","43.8969668277306","-0.690713988170799","6.98916331071832","89.6072221441384"
"1FlipHCrs/uf020-04/","expLinearModelpositive","0.356785028780131","119.484804041673","-0.944674959686832","13.8691389185552","89.3181036098418"
"1FlipHCrs/uf020-05/","expLinearModelpositive","-0.499179765637718","24.5763970551871","-0.4747670552778","4.32626888321077","95.1869835773337"
"1FlipHCrs/uf020-06/","expLinearModelpositive","-0.0226816514089635","54.166789361249","-0.70072909831576","8.20374312122344","126.209703145681"
"1FlipHCrs/uf020-07/","expLinearModelpositive","0.195454055778903","540","-1.24454262546096","24.9018889320342","131.824109409333"
"1FlipHCrs/uf020-08/","expLinearModelpositive","-0.379780410786868","15.8578429701541","-0.40806218840764","1.12148841879008","94.2333255988025"
"1FlipHCrs/uf020-09/","expLinearModelpositive","0.15200401879357","41.0644786811877","-0.662177597489572","6.03882180354919","105.079134789402"
"1FlipHCrs/uf020-10/","expLinearModelpositive","0.368349918316252","275.407160828945","-1.17217306197707","16.9432851893664","124.734932641635"
"1FlipHCrs/uf050-01/","expLinearModelpositive","-0.182936809758523","188.850094416843","-0.602027723270282","26.7251193259987","240.369128761356"
"1FlipHCrs/uf050-02/","expLinearModelpositive","0.403194315827407","773.848430219448","-0.873626188672027","50.8311175253737","286.411313888238"
"1FlipHCrs/uf050-03/","expLinearModelpositive","-0.604120918098476","421.222294101327","-0.734621195439657","42.5865915920308","236.62464992302"
"1FlipHCrs/uf050-04/","expLinearModelpositive","-0.407307522822393","219.404067789626","-0.600846521521183","30.8313768977791","208.058064518285"
"1FlipHCrs/uf050-05/","expLinearModelpositive","-0.63115246208167","306.733263279534","-0.703536217617717","35.7509068108218","361.103484353811"
"1FlipHCrs/uf050-06/","expLinearModelpositive","0.302915607709502","563.299138011446","-0.796915570811914","51.9497710958085","260.814036434819"
"1FlipHCrs/uf050-07/","expLinearModelpositive","-0.327413218856369","419.049887457688","-0.708762000875424","51.4476772251284","281.125661715488"
"1FlipHCrs/uf050-08/","expLinearModelpositive","-0.0311861234013004","146.872461611634","-0.544349190242604","24.1233895817656","197.66883483697"
"1FlipHCrs/uf050-09/","expLinearModelpositive","-0.898939336687685","150.425291197323","-0.550894149978311","20.6471284563232","304.179798868001"
"1FlipHCrs/uf050-10/","expLinearModelpositive","-0.015986169858916","1020","-0.887943360019246","65.2643988412025","257.913089042561"
"1FlipHCrs/uf075-01/","expLinearModelpositive","-0.27905018403183","1105.57640772553","-0.741842360303171","94.3404458522896","412.600613360923"
