"instance_file","model","a","b","c","d","residuals"
"CMAES/f1/DIM10","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f1/DIM2","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f1/DIM20","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f1/DIM3","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f1/DIM40","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f1/DIM5","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f10/DIM10","decayModelpositive","-55.2673327140685","62.8633313978842","-0.00874436772627064","0.301270463977127","0.0375630112429431"
"CMAES/f10/DIM2","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f10/DIM20","decayModelpositive","-181.579505894333","188.93041176304","-0.00135312884805348","0.336352301189059","0.0141618524538316"
"CMAES/f10/DIM3","decayModelpositive","-161.508628836829","168.052015963027","-0.00271699371441577","0.442750603142671","0.316649739058733"
"CMAES/f10/DIM40","decayModelpositive","-144.664769203672","152.166228283971","-0.000855594222173411","0.368845986231717","0.00608183976843033"
"CMAES/f10/DIM5","decayModelpositive","-102.520876100234","110.020738588535","-0.00789739079944078","0.290012207054204","0.067813699885445"
"CMAES/f11/DIM10","decayModelpositive","2.00485300621205","6.1295442645245","-0.401997541607959","0.39210569503907","0.173995046467111"
"CMAES/f11/DIM2","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f11/DIM20","decayModelpositive","2.78930590516326","5.02331417355606","-0.23234578871549","0.58456159538705","0.170583402892248"
"CMAES/f11/DIM3","decayModelpositive","-29.2681110500324","46.9683720193004","-0.277737547454545","0.0795316706344797","0.373823033054093"
"CMAES/f11/DIM40","decayModelpositive","2.66575433275252","5.85589611731776","-0.352767274073327","0.414243142338078","0.201161938112104"
"CMAES/f11/DIM5","decayModelpositive","1.56147427419212","4.7777960308482","-0.0325013428745579","0.944849616511267","0.236423835150629"
"CMAES/f12/DIM10","decayModelpositive","-236.470505742457","244.54934333707","-3.40701741439426e-05","0.980539692363405","0.0573300509559402"
"CMAES/f12/DIM2","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f12/DIM20","decayModelpositive","-224.166634081192","232.701834250649","-1.83891797126293e-05","0.98567901500516","0.0441084392705893"
"CMAES/f12/DIM3","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f12/DIM40","decayModelpositive","-201.784594763803","210.817356705209","-1.50896819448318e-05","0.94826518328364","0.0184003922298279"
"CMAES/f12/DIM5","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f13/DIM10","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f13/DIM2","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f13/DIM20","decayModelpositive","-71.1993990417215","74.591782123192","-3.16419990493936e-05","0.948775999836545","0.0202985972142639"
"CMAES/f13/DIM3","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f13/DIM40","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f13/DIM5","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f14/DIM10","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f14/DIM2","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f14/DIM20","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f14/DIM3","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f14/DIM40","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f14/DIM5","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f15/DIM10","decayModelpositive","-81.3455578347783","84.3064671017706","-0.001514103484237","0.384005802071838","0.0195737218734631"
"CMAES/f15/DIM2","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f15/DIM20","decayModelpositive","-0.0445841047358974","3.27290239113937","-0.0253187723871526","0.420919728841209","0.0100266796677111"
"CMAES/f15/DIM3","decayModelpositive","0.30072285666007","2.19955488217294","-0.0276734175756619","0.865868984269987","0.0898780505070155"
"CMAES/f15/DIM40","decayModelpositive","1.8154122401086","1.73206017847052","-0.04045261851104","0.42663108815696","0.00330987965216623"
"CMAES/f15/DIM5","decayModelpositive","-52.8407704718647","55.4347589969442","-0.00423903563800417","0.342210766754198","0.0378518818212981"
"CMAES/f16/DIM10","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f16/DIM2","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f16/DIM20","decayModelpositive","-70.5429967683053","72.355071603389","-7.70805876496926e-05","0.677686984166226","0.0284105203397382"
"CMAES/f16/DIM3","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f16/DIM40","decayModelpositive","-19.8763260209431","21.8407890810685","-0.00359240192660686","0.269469127467015","0.0182576445057111"
"CMAES/f16/DIM5","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f17/DIM10","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f17/DIM2","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f17/DIM20","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f17/DIM3","decayModelpositive","0","0","0","0","1e+06"
"CMAES/f17/DIM40","decayModelpositive","0","0","0","0","1e+06"
