"instance_file","model","a","b","c","d","residuals"
"CMAES/f1/DIM10","DCMN","3.05419095523706","-0.959965851756809","0.098837679916283","0.448973459422895","0.064687221378373"
"CMAES/f1/DIM2","DCMN","2.93381462539005","-1.8368424413476","0.122738951607889","0.496677826095726","0.303447274092222"
"CMAES/f1/DIM20","DCMN","2.68185184568789","-0.145530507255184","0.565487641562571","0.258274978729245","0.0261268074242008"
"CMAES/f1/DIM3","DCMN","2.18582922765471","-0.782190230930314","0.19574499989749","0.442109288100908","0.18566991839"
"CMAES/f1/DIM40","DCMN","2.96663715431396","-0.0930470646405282","0.653770377775788","0.233365717384456","0.0116743541336409"
"CMAES/f1/DIM5","DCMN","2.05775155082183","-0.434005116180416","0.303294451585073","0.36483137882691","0.176874739613561"
"CMAES/f10/DIM10","EPMN","7.64184905134379","-0.582226833771179","0.289552729433673","0.0708795223432782","0.0375538358229601"
"CMAES/f10/DIM2","DCMN","10.2764866821059","-2.62651132486154","0.386026930898685","0.251923192056857","0.259831304122082"
"CMAES/f10/DIM20","EPMN","7.19642887450732","-0.195996866114444","0.36462650573981","-0.971918477359405","0.0140869379989402"
"CMAES/f10/DIM3","EPMN","6.39339211900127","-0.456883449295191","0.434191695661681","-0.999999999442904","0.315416436225147"
"CMAES/f10/DIM40","EPMN","7.44759115817846","-0.119357032581528","0.375841864350311","-0.99999999956287","0.00597338645162394"
"CMAES/f10/DIM5","EPMN","6.89623013106944","-0.53880703202146","0.34461740294345","-0.980244507920251","0.0674785907589841"
"CMAES/f11/DIM10","DCMP","2.00485764271396","6.12950475111117","-0.401992664489441","0.392108778752668","0.173995046467395"
"CMAES/f11/DIM2","EPMN","6.25875490750924","-0.360488298590938","0.573965872427956","-0.999999995954256","0.280748350236921"
"CMAES/f11/DIM20","DCMN","6.70720664328245","-4.16108136165665","-5.19679483958577","-0.820974835521887","0.167813264700682"
"CMAES/f11/DIM3","EPMN","9.06017471033215","-3.3703102681088","0.153771091740479","-0.819877833939054","0.372379005053765"
"CMAES/f11/DIM40","DCMP","2.66576072338986","5.85592600119599","-0.352772740321837","0.414240795513356","0.201161938092046"
"CMAES/f11/DIM5","DCMP","1.56147426469567","4.77779613026725","-0.0325013493434437","0.944849568050138","0.236423835150596"
"CMAES/f12/DIM10","EPMN","8.19196004652723","-0.00856013172235429","0.974703197931798","15.8478697667961","0.0572401198380701"
"CMAES/f12/DIM2","GPMP","-1.70313020238168","7.71796497620424","-0.101781240466404","0.0243101719923919","0.504536149909587"
"CMAES/f12/DIM20","EPMN","8.5364234127587","-0.00456769931891284","0.975098234949979","-0.621880144787273","0.043995476049582"
"CMAES/f12/DIM3","EPMN","7.35714048265859","-0.25668665885795","0.58983093300053","-0.999999131844144","0.227016756326953"
"CMAES/f12/DIM40","EPMN","9.03891134914167","-0.00349259527404846","0.934860009098842","-0.999914292502272","0.018260032864656"
"CMAES/f12/DIM5","EPMN","7.45394186236037","-0.0376150689788041","0.847729171990137","-0.99999668583651","0.108975325005332"
