"instance_file","model","a","b","c","d","residuals"
"1FlipHC/uf020-01","expLinearModelpositive","5.23811896217443","450","-4.27953889683911","2.19539816876167","16.1250990751838"
"1FlipHC/uf020-02","expLinearModelpositive","5.86507403450679","480","-2.61633080415024","5.33138158606788","19.0115167967172"
"1FlipHC/uf020-03","expLinearModelpositive","-5.92152018052779","234.472709742995","-0.963703205133389","14.1738415573455","15.0694908606472"
"1FlipHC/uf020-04","expLinearModelpositive","-40.0740905121153","61.4112223881954","-0.107723437587278","4.26173476494538","91.5809184730322"
"1FlipHC/uf020-05","expLinearModelpositive","6.1438026344023","600","-2.08427174236231","9.87756458378358","17.0500897367317"
"1FlipHC/uf020-06","expLinearModelpositive","-333.742687365331","805.68727875718","-0.173680907286472","134.04594296638","9363.78051483147"
"1FlipHC/uf020-07","expLinearModelpositive","-207.295113989196","480","-0.188298244988681","66.7204315947089","2101.37095186958"
"1FlipHC/uf020-08","expLinearModelpositive","-196.875984908808","509.978033565312","-0.219115158818852","59.5342471576723","3092.61720298813"
"1FlipHC/uf020-09","expLinearModelpositive","-127.761239903441","143.513452593331","-0.0265939098420394","2.15067160964931","192.277437206163"
"1FlipHC/uf020-10","expLinearModelpositive","-220.216012885277","510","-0.200399867989632","50.9722638357107","2814.84859933354"
"1FlipHC/uf050-01","expLinearModelpositive","3.4464916544828","48.0169052745105","-0.420376971464422","5.41847894926096","9.01386326412453"
"1FlipHC/uf050-02","expLinearModelpositive","-806.526350245681","855.1067926004","-0.0111363919348302","8.84488898829487","736.866013086952"
"1FlipHC/uf050-03","expLinearModelpositive","6.89627713812125","1397.44495104578","-1.32290221821714","23.4051989896372","14.0273541801931"
"1FlipHC/uf050-04","expLinearModelpositive","-130.954615301207","174.306184348415","-0.0484055626545577","5.95565884626886","169.304021449878"
"1FlipHC/uf050-05","expLinearModelpositive","-91.878984524524","132.663078159784","-0.0653508092001416","5.84765320633668","13.4167498519018"
"1FlipHC/uf050-06","expLinearModelpositive","3.3732998899286","669.297890665474","-0.971575578624785","29.9012363130976","2.95895038055443"
"1FlipHC/uf050-07","expLinearModelpositive","-168.807447543673","329.543887098749","-0.13794219409408","43.1434641559554","997.820617099589"
"1FlipHC/uf050-08","expLinearModelpositive","-349.365828077412","1109.99613408687","-0.218956117225658","140.180444556839","6919.46431677555"
"1FlipHC/uf050-09","expLinearModelpositive","-66.0298863113872","132.19451569196","-0.132297632354154","14.3990593152528","153.799470885677"
"1FlipHC/uf050-10","expLinearModelpositive","-128.768231101013","201.935574543822","-0.0918487756739365","16.9841027460588","427.210255686745"
"1FlipHC/uf075-01","expLinearModelpositive","-10.8299300619742","547.353001663074","-0.626539866320497","44.2195288031681","11.4989104744092"
"1FlipHC/uf075-02","expLinearModelpositive","-71.8119882427316","204.781784070553","-0.191747427495906","22.5739030504666","193.517083648653"
"1FlipHC/uf075-03","expLinearModelpositive","-33.8735209867029","587.474849632657","-0.512952287765185","56.8124458642776","76.4362547834428"
"1FlipHC/uf075-04","expLinearModelpositive","-31.1694538036469","724.401191208736","-0.569149865330031","62.9244879062819","89.3579949762227"
"1FlipHC/uf075-05","expLinearModelpositive","-481.154434152456","719.422995539342","-0.0784402474271472","59.6621267756028","4833.18086358737"
"1FlipHC/uf075-06","expLinearModelpositive","-296.305519474336","390.979310516059","-0.0503451596652763","22.9016960884461","758.930580005008"
"1FlipHC/uf075-07","expLinearModelpositive","-258.606394465304","353.73987110463","-0.0546956435677287","25.3171519293875","610.060046977287"
"1FlipHC/uf075-08","expLinearModelpositive","-60.8806715087288","474.648571584408","-0.383318877750548","52.2841286998266","267.940173409109"
"1FlipHC/uf075-09","expLinearModelpositive","-25.5813246267811","219.085465987816","-0.351299977721894","30.5488349225188","28.0865562388472"
"1FlipHC/uf075-10","expLinearModelpositive","-322.966309823846","386.638271242672","-0.0280100403084202","8.602314124873","80.5889647287982"
"1FlipHC/uf100-01","expLinearModelpositive","-291.284372694158","570.982943315654","-0.119553230026089","64.3915637280469","1800.57166118522"
"1FlipHC/uf100-02","expLinearModelpositive","33.63913182768","7.02103080779344","-0.0453843776711312","-0.999999987726249","190.854425336849"
"1FlipHC/uf100-03","expLinearModelpositive","-24.6742431305269","545.83761603041","-0.49382645434301","48.7118087991889","47.065861867601"
"1FlipHC/uf100-04","expLinearModelpositive","-254.305569344967","431.214327922016","-0.092759341645189","38.4758397986299","1021.40256427008"
"1FlipHC/uf100-05","expLinearModelpositive","-154.181705540832","276.522450485449","-0.0927324810072282","19.9793940508978","315.165349969021"
"1FlipHC/uf100-06","expLinearModelpositive","-2716.83053083272","2933.2542314421","-0.0140667694895956","56.2971838783491","1294.98686599165"
"1FlipHC/uf100-07","expLinearModelpositive","-270.062040105866","412.113523070024","-0.0713022618781596","29.535097178653","665.506775118899"
"1FlipHC/uf100-08","expLinearModelpositive","-30.9133568201781","480.882610707733","-0.445821201819505","49.7809998650061","66.3037261924204"
"1FlipHC/uf100-09","expLinearModelpositive","14.7571045022846","975.414194097726","-0.915789915885431","30.8356144618751","23.6278341393014"
"1FlipHC/uf100-10","expLinearModelpositive","-292.932210487037","397.672208036143","-0.0484452269906185","17.8042721562133","533.169604218808"
"1FlipHC/uf125-01","expLinearModelpositive","-81.3396691911712","922.635273761101","-0.398961809788047","97.0237072594415","359.806367680606"
"1FlipHC/uf125-02","expLinearModelpositive","-639.606686996958","900.003919604972","-0.0587829644777254","61.238764035362","2263.87784467883"
"1FlipHC/uf125-03","expLinearModelpositive","-360.729255702224","773.113369325744","-0.131936623712812","86.7403328906978","2499.45429749219"
"1FlipHC/uf125-04","expLinearModelpositive","-975.277399692647","1117.30952115076","-0.021574983864515","26.5633094959762","786.292975457688"
"1FlipHC/uf125-05","expLinearModelpositive","-45.5405334942023","215.173603188062","-0.209295717004805","23.1393396500647","53.8962113045622"
"1FlipHC/uf125-06","expLinearModelpositive","-22.7039695340484","1130.74396493858","-0.600721911372241","70.997593570126","35.5006378912297"
"1FlipHC/uf125-07","expLinearModelpositive","-334.243137034575","477.394934116207","-0.055345636780716","25.7425090811349","314.397682760004"
"1FlipHC/uf125-08","expLinearModelpositive","-53.6046591001726","589.523989960019","-0.3783607271746","65.5147078837291","117.557200608809"
"1FlipHC/uf125-09","expLinearModelpositive","-205.580817074232","398.555333723073","-0.103815293828883","33.2098753440576","596.120458082404"
"1FlipHC/uf125-10","expLinearModelpositive","-734.014423754117","882.911551986024","-0.0290989878736457","26.9233766320215","1136.0149020344"
"1FlipHC/uf150-01","expLinearModelpositive","-21.2347639597111","940.6830179532","-0.539402423936406","58.937786613719","21.1666322353475"
"1FlipHC/uf150-02","expLinearModelpositive","-837.80626535316","1123.50256980256","-0.0479440440950677","71.0772429503326","2683.72908434039"
"1FlipHC/uf150-03","expLinearModelpositive","-17.4400041403983","1573.06658877864","-0.629435374741555","78.9460967518862","20.0529688669905"
"1FlipHC/uf150-04","expLinearModelpositive","-1091.09472685853","1332.11196431339","-0.0322469767302794","55.8609041761779","2533.66070851993"
"1FlipHC/uf150-05","expLinearModelpositive","-55.7450560881609","910.011197059308","-0.439284627194465","76.2085265916238","124.572360620549"
"1FlipHC/uf150-06","expLinearModelpositive","-722.915750897114","932.859435948135","-0.0404663252874953","37.6275881385939","1607.57024464666"
"1FlipHC/uf150-07","expLinearModelpositive","-1153.94768907688","1385.04724547521","-0.0292385493153855","55.6902778944355","2219.78749471611"
"1FlipHC/uf150-08","expLinearModelpositive","-744.911894847419","1083.82501275534","-0.062226996193431","77.3276415501464","2494.01560380997"
"1FlipHC/uf150-09","expLinearModelpositive","11.9576685945904","1826.9741181113","-0.796747897859681","60.0705097446628","16.4545558831281"
"1FlipHC/uf150-10","expLinearModelpositive","-52.3647921662311","984.629120287637","-0.462706308026597","77.1483263938484","153.791356899621"
"1FlipHC/uf175-01","expLinearModelpositive","-93.0444705318485","1463.94194908103","-0.433316274917358","117.49562559351","277.666440236595"
