"instance_file","model","a","b","c","d","residuals"
"1FlipHC/uf020-01","decayModelnegative","8.18439369097902","-7985.47900728964","-9.34712985928907","-0.0825192840637698","200.38176448417"
"1FlipHC/uf020-02","decayModelnegative","9.59059539196192","-2759.35627695486","-8.84475250045111","-0.124235902637075","6489.01051169641"
"1FlipHC/uf020-03","decayModelnegative","11.8367558883251","-13.0218337919518","-2.83473523440243","-0.54403516993206","1.7929610209196"
"1FlipHC/uf020-04","decayModelnegative","11.2956403309177","-12.6265915095818","-4.84274192981549","-0.771972576180169","2.47680991445118"
"1FlipHC/uf020-05","decayModelnegative","10.7027686335141","-442.95831487395","-6.76714167378171","-0.15319973553632","963.268665802152"
"1FlipHC/uf020-06","decayModelnegative","9.64809142380355","-5.88675583615622","-114.991071288976","-2.43291327937359","5.93595946161189"
"1FlipHC/uf020-07","decayModelnegative","8.43800404477675","-4.47555849302375","-155440511.56714","-8.74766076599649","8.52276700633167"
"1FlipHC/uf020-08","decayModelnegative","10.712372930203","-8.82455414694506","-5.43334538188116","-1.05449291181097","2.38302731515312"
"1FlipHC/uf020-09","decayModelnegative","11.9082086285207","-3051.49941671664","-8.34559188510242","-0.119618209069326","202874.90915957"
"1FlipHC/uf020-10","decayModelnegative","23.5577281890058","-0.797783346468529","2.75799283297402","0.0561799657291007","60961.1360924053"
"1FlipHC/uf050-01","decayModelnegative","27.4178845986641","-216.779995109987","-4.62315078310395","-0.154615096004579","1371.70863322807"
"1FlipHC/uf050-02","decayModelnegative","28.24652658553","-154.72041224133","-5.08890136839724","-0.221607933367639","1410.3369806149"
"1FlipHC/uf050-03","decayModelnegative","26.8260990938272","-31.8631957931673","-6.35961183783427","-0.590188890869449","2.95958360614162"
"1FlipHC/uf050-04","decayModelnegative","28.5324403942465","-100.342409042145","-4.82498348553734","-0.259437347728684","424.652578048129"
"1FlipHC/uf050-05","decayModelnegative","14.8461349684402","-1.52173586933326e-17","0.524961399993492","1.05440070563425","Inf"
"1FlipHC/uf050-06","decayModelnegative","27.2763440043523","-66.613655743527","-5.59084038501743","-0.339598550719806","187.46505790899"
"1FlipHC/uf050-07","decayModelnegative","26.5457888114737","-35.3785780588958","-6.86570183341953","-0.548833346495412","11.2597500839303"
"1FlipHC/uf050-08","decayModelnegative","25.4181352225223","-21.3314229495969","-17.0584412228659","-1.01954932670976","3.46410881268169"
"1FlipHC/uf050-09","decayModelnegative","25.6295591115237","-26.3232236599442","-7.50250747359434","-0.655552134916252","1.98731132213115"
"1FlipHC/uf050-10","decayModelnegative","27.0523872712145","-69.3593708501673","-4.5879814538895","-0.296662763562499","155.511871848938"
"1FlipHC/uf075-01","decayModelnegative","39.5315702308679","-103.392544584479","-6.25890924568824","-0.33016772555058","256.562373188172"
"1FlipHC/uf075-02","decayModelnegative","39.7318961272449","-55.8398446887135","-6.47240659371241","-0.480433478118103","28.490603390644"
"1FlipHC/uf075-03","decayModelnegative","38.721268821038","-45.0231131296615","-10.1176765611777","-0.625622992204245","5.82056250342438"
"1FlipHC/uf075-04","decayModelnegative","36.1534897145371","-39.0363439233757","-10.1117979307248","-0.644051448324658","2.29706366344422"
"1FlipHC/uf075-05","decayModelnegative","39.5774516165254","-43.9974312422195","-10.390931567461","-0.671658037691433","4.40632138407616"
"1FlipHC/uf075-06","decayModelnegative","37.6412980878593","-102.688041163939","-5.5084120214658","-0.29548729385408","301.596318976539"
"1FlipHC/uf075-07","decayModelnegative","38.2067540743678","-133.402304540899","-5.69177335390629","-0.263687489790785","551.170819319402"
"1FlipHC/uf075-08","decayModelnegative","41.6349794230816","-55.7721332969881","-9.89714882157015","-0.599286021486751","27.390962410062"
"1FlipHC/uf075-09","decayModelnegative","39.2278942810937","-98.2224131831591","-7.12354254030945","-0.374142421126706","227.56964822402"
"1FlipHC/uf075-10","decayModelnegative","40.2291517660409","-165.133504221828","-5.75558499472714","-0.254004945733684","531.892602972888"
"1FlipHC/uf100-01","decayModelnegative","53.8027337663209","-62.50496772225","-13.4497088569208","-0.646771696404394","10.1920139833503"
"1FlipHC/uf100-02","decayModelnegative","52.4059992455223","-69.7164619413542","-10.2270586274773","-0.552504196946495","33.3190320287147"
"1FlipHC/uf100-03","decayModelnegative","54.1737950819432","-95.0193401013765","-7.27094200686267","-0.410706947993736","149.624706281578"
"1FlipHC/uf100-04","decayModelnegative","51.732766785561","-72.4936030314426","-8.54803213907045","-0.49949465843289","40.6472070435028"
"1FlipHC/uf100-05","decayModelnegative","53.9977008021905","-95.3811223941946","-6.51987317400554","-0.379073841611116","110.265912252368"
"1FlipHC/uf100-06","decayModelnegative","53.805675802148","-104.486603321198","-8.0467126589632","-0.429492036261323","100.770017929172"
"1FlipHC/uf100-07","decayModelnegative","53.050171007435","-112.609341865078","-6.6924978857702","-0.358176175094024","220.865916853969"
"1FlipHC/uf100-08","decayModelnegative","51.9775074404104","-122.525840421803","-7.70829491258232","-0.380256425156678","402.703255432228"
"1FlipHC/uf100-09","decayModelnegative","55.971214843721","-230.889199171382","-5.75732856901361","-0.240137705950038","996.16627401906"
"1FlipHC/uf100-10","decayModelnegative","53.3769871536205","-593.193056222463","-6.32685588675148","-0.166996143259723","6878.26807409496"
"1FlipHC/uf125-01","decayModelnegative","64.9310436253817","-77.8339943684147","-15.308706624211","-0.628538276771307","16.8945159940205"
"1FlipHC/uf125-02","decayModelnegative","64.8685848330426","-73.3803005374332","-13.0307978710955","-0.615679475725357","6.85087724152555"
"1FlipHC/uf125-03","decayModelnegative","68.032326982314","-155.8208391141","-7.76828171495389","-0.369182465262312","496.768967014957"
"1FlipHC/uf125-04","decayModelnegative","65.7959125828616","-600.661511589861","-6.82402507135478","-0.190349921687123","4575.95268797108"
"1FlipHC/uf125-05","decayModelnegative","64.8820764843491","-298.552761607032","-6.48845487701487","-0.23666647615404","2045.22179182123"
"1FlipHC/uf125-06","decayModelnegative","62.5297790157785","-75.1066269737576","-10.5638937458846","-0.549266687596991","13.2803073663336"
"1FlipHC/uf125-07","decayModelnegative","63.6777768145991","-193.91923544675","-6.93116031992551","-0.299695474745975","569.610778715758"
"1FlipHC/uf125-08","decayModelnegative","65.9255543578091","-128.497781025942","-8.88725972287508","-0.413847480105414","219.234103415908"
"1FlipHC/uf125-09","decayModelnegative","71.1672192911087","-490.905909143402","-6.88868248499874","-0.21364789620265","5071.02173973509"
"1FlipHC/uf125-10","decayModelnegative","67.4243657217077","-251.135940289312","-6.80857627225503","-0.26955150050596","1584.93703253038"
"1FlipHC/uf150-01","decayModelnegative","80.7079090553975","-121.907890873088","-8.90234836314449","-0.455532310414829","94.9410539082842"
"1FlipHC/uf150-02","decayModelnegative","75.9566534994638","-121.067636129555","-11.1119092632576","-0.476278747836838","150.714297160925"
"1FlipHC/uf150-03","decayModelnegative","80.6954532552509","-137.582481228846","-9.6380588990553","-0.439485227829856","237.314307235629"
"1FlipHC/uf150-04","decayModelnegative","76.7933070040813","-139.732931701007","-9.93780490479386","-0.429069837944376","258.461565643144"
"1FlipHC/uf150-05","decayModelnegative","76.8578538196469","-101.358473264274","-12.6670284895699","-0.558908482729964","38.2848630741443"
"1FlipHC/uf150-06","decayModelnegative","81.7791234098306","-237.132572716326","-7.10515306215487","-0.29985612270332","1083.31483026842"
"1FlipHC/uf150-07","decayModelnegative","75.7849432135973","-145.775902582209","-9.72689438180011","-0.416283701066395","279.198316534371"
"1FlipHC/uf150-08","decayModelnegative","81.1423476102502","-180.142878117034","-8.57447269721567","-0.374775679663408","511.216500708095"
"1FlipHC/uf150-09","decayModelnegative","80.4380882805419","-263.067620743772","-7.09779279014743","-0.282988150349702","1545.36657298247"
"1FlipHC/uf150-10","decayModelnegative","77.025009336811","-93.4950841510827","-11.3815533473128","-0.552157804843511","21.0292809312174"
"1FlipHC/uf175-01","decayModelnegative","90.0036634324783","-128.972278658653","-12.0425078250988","-0.505818308693839","69.836724701041"
"1FlipHC/uf175-02","decayModelnegative","90.7856914138241","-169.604857673659","-9.10992819230123","-0.392749824989123","296.226630451558"
"1FlipHC/uf175-03","decayModelnegative","90.7227303730246","-138.740193515615","-11.8159735792119","-0.486946815689212","152.212554533333"
"1FlipHC/uf175-04","decayModelnegative","92.7314024473719","-139.634002364119","-10.5485066604205","-0.469759432871458","163.61171534093"
"1FlipHC/uf175-05","decayModelnegative","91.8386829579309","-178.301503914245","-10.1972299743491","-0.410236845233721","453.340103039038"
"1FlipHC/uf175-06","decayModelnegative","94.0267357696976","-141.158271425004","-10.835882369221","-0.474048331166121","158.85211412412"
"1FlipHC/uf175-07","decayModelnegative","95.963788838328","-137.79522673999","-9.50202742684758","-0.465243563640438","120.081150804496"
"1FlipHC/uf175-08","decayModelnegative","94.3487356485426","-273.652146590239","-8.26969066905364","-0.323683726529418","1620.11471512624"
"1FlipHC/uf175-09","decayModelnegative","93.2866525122891","-206.469849642466","-8.29759775115925","-0.355421452721088","461.836121465376"
"1FlipHC/uf175-10","decayModelnegative","90.7456697488048","-129.978902092468","-9.03545138485976","-0.44213664359455","81.332303009318"
"1FlipHC/uf200-01","decayModelnegative","106.087563638756","-154.380417800011","-15.0344315826679","-0.529687757963517","139.198346732603"
"1FlipHC/uf200-02","decayModelnegative","103.76447276589","-264.345288587929","-8.93543361980112","-0.337953716530222","730.423595451704"
"1FlipHC/uf200-03","decayModelnegative","105.992414035525","-159.625944443794","-10.8793005999639","-0.468812552536828","164.442576062463"
"1FlipHC/uf200-04","decayModelnegative","100.7545336981","-126.611789884008","-13.3355477263288","-0.540940662430484","33.4675908076278"
"1FlipHC/uf200-05","decayModelnegative","100.640148345618","-206.972073587803","-9.17166917756886","-0.366396364877759","396.237054023527"
"1FlipHC/uf200-06","decayModelnegative","107.230123417921","-184.712383051432","-10.7219191034765","-0.434482096790091","278.577408465448"
"1FlipHC/uf200-07","decayModelnegative","102.742710291699","-242.313460036389","-8.5738037850625","-0.344191015688789","918.571740803002"
"1FlipHC/uf200-08","decayModelnegative","102.912792528115","-153.930181407024","-11.2859474288683","-0.476664374179209","149.353176887973"
"1FlipHC/uf200-09","decayModelnegative","103.17972844996","-214.263100062775","-9.49209678769358","-0.380645589880963","447.000616924379"
"1FlipHC/uf200-10","decayModelnegative","107.074997279042","-133.131372239397","-16.3011277857365","-0.580010538099902","40.5118812826972"
"1FlipHC/uf225-01","decayModelnegative","115.633531293098","-213.320261871926","-8.63173723432853","-0.369969322968803","373.511265317803"
