"instance_file","model","a","b","c","d","residuals"
"1FlipHC/uf020-01","gompertzModelpositive","0.948908143505572","407.137344026629","-4.10535356271325","0.0134246802637163","1.00803161289052"
"1FlipHC/uf020-02","gompertzModelpositive","1.40464616951481","112.268351452148","-2.61484405998537","0.0209165887681385","2.13518530851363"
"1FlipHC/uf020-03","gompertzModelpositive","1.4697696908262","600","-4.19150348827008","0.0130602431541535","0.669085224908779"
"1FlipHC/uf020-04","gompertzModelpositive","1.58733876953871","510","-3.90741049014694","0.0198459176972094","0.684881639053364"
"1FlipHC/uf020-05","gompertzModelpositive","1.42451305726794","433.154388634377","-3.84923132596643","0.013059479573571","1.93497737400778"
"1FlipHC/uf020-06","gompertzModelpositive","1.39912684908243","540","-4.16471099153603","0.0108389045783293","0.767316696030617"
"1FlipHC/uf020-07","gompertzModelpositive","1.59123477425046","480","-4.11163000113907","0.014113533725583","1.63918738827547"
"1FlipHC/uf020-08","gompertzModelpositive","1.61620553852598","510","-4.03771052656676","0.0172614412941632","2.16764976112102"
"1FlipHC/uf020-09","gompertzModelpositive","2.09175874465481","36.2563219693313","-1.32978978872285","0.0469731269022163","1.8697197041078"
"1FlipHC/uf020-10","gompertzModelpositive","1.87054486547834","510","-3.96475296183041","0.0251649154077607","2.89785568765324"
"1FlipHC/uf050-01","gompertzModelpositive","3.85603130500053","1050","-3.9677588301689","0.00552361875331879","6.86975261374355"
"1FlipHC/uf050-02","gompertzModelpositive","3.65038168858037","990","-3.78717104331293","0.00583851305997316","3.31574667473971"
"1FlipHC/uf050-03","gompertzModelpositive","3.4946208868857","1140","-3.95927720584102","0.00550109831411875","7.22003994635169"
"1FlipHC/uf050-04","gompertzModelpositive","5.02556467533188","1110","-3.94876519600791","0.00563053671519076","8.95259177395528"
"1FlipHC/uf050-05","gompertzModelpositive","1.87265735953828","990","-3.81715603267082","0.00526989700899723","2.42043636756803"
"1FlipHC/uf050-06","gompertzModelpositive","4.19928138770934","1020","-3.84394316233005","0.00470855230668834","5.40559919479794"
"1FlipHC/uf050-07","gompertzModelpositive","4.35882431653071","1080","-3.90656258993812","0.00568588644290226","6.82383659897888"
"1FlipHC/uf050-08","gompertzModelpositive","4.7967423203439","1110","-3.95210205664608","0.00686880951260322","6.96245351671149"
"1FlipHC/uf050-09","gompertzModelpositive","3.91248787392631","1020","-3.89294517246333","0.00513187678259214","5.72272857977155"
"1FlipHC/uf050-10","gompertzModelpositive","3.30197556710492","1080","-3.91494801247715","0.00510902259255399","4.23312930423379"
"1FlipHC/uf075-01","gompertzModelpositive","7.63837358305301","1530","-3.9263472556746","0.00359643909668628","17.4360170408127"
"1FlipHC/uf075-02","gompertzModelpositive","6.29389070927208","1620","-3.95100500596589","0.00388905085044755","18.702554311876"
"1FlipHC/uf075-03","gompertzModelpositive","7.91253533955087","1620","-3.96466221674343","0.00409975800448644","8.93323011521637"
"1FlipHC/uf075-04","gompertzModelpositive","7.48694783722259","1440","-3.94986191723023","0.00377704180074328","11.0490438038865"
"1FlipHC/uf075-05","gompertzModelpositive","6.55425627017009","1860","-4.03937291385105","0.00420973021946959","10.3826425129017"
"1FlipHC/uf075-06","gompertzModelpositive","7.10925782817086","1530","-4.00175323122574","0.00353989912684478","14.2716037595337"
"1FlipHC/uf075-07","gompertzModelpositive","7.76240272742235","1500","-3.97197045085457","0.00347172998748626","14.3715410945774"
"1FlipHC/uf075-08","gompertzModelpositive","6.92088780676542","1650","-3.86187660654219","0.00429375232159562","10.8661596542564"
"1FlipHC/uf075-09","gompertzModelpositive","6.09752801163224","1560","-3.86314046493654","0.0038608175210729","16.0739455873143"
"1FlipHC/uf075-10","gompertzModelpositive","5.51545271501878","1680","-3.96238020056293","0.00329304056883563","14.9409277319413"
"1FlipHC/uf100-01","gompertzModelpositive","9.65583336104893","1950","-3.7976605613447","0.00288185090530163","25.1636480702798"
"1FlipHC/uf100-02","gompertzModelpositive","10.2602345837054","1950","-3.85294208327888","0.00304564423068709","24.8430603404855"
"1FlipHC/uf100-03","gompertzModelpositive","9.71703371060853","2040","-3.89044377560441","0.00267646913969918","22.9617074216882"
"1FlipHC/uf100-04","gompertzModelpositive","10.912548320279","1860","-3.85174167957224","0.00313307162522197","37.1518086106866"
"1FlipHC/uf100-05","gompertzModelpositive","9.57170521230891","2040","-3.90397181139737","0.00253459409566698","20.5899549352844"
"1FlipHC/uf100-06","gompertzModelpositive","8.58211142990101","2250","-3.92502178384573","0.00314687665895313","29.8230450423424"
"1FlipHC/uf100-07","gompertzModelpositive","10.4093024796367","1980","-3.90329180109427","0.00279182960559684","33.4151743309498"
"1FlipHC/uf100-08","gompertzModelpositive","10.3269648235879","2100","-3.94562400402553","0.00308286975889888","22.212214341045"
"1FlipHC/uf100-09","gompertzModelpositive","9.90163412102314","2070","-3.90095843168528","0.00291011559765875","20.7963037213982"
"1FlipHC/uf100-10","gompertzModelpositive","9.16611693465235","1950","-3.88779735292268","0.00265199316509107","22.2110166308581"
"1FlipHC/uf125-01","gompertzModelpositive","13.5723141276514","2280","-3.79534742474541","0.00236159101727922","38.6278315199201"
"1FlipHC/uf125-02","gompertzModelpositive","13.2540141791261","2430","-3.87890199812547","0.00235755988776833","25.6553319694907"
"1FlipHC/uf125-03","gompertzModelpositive","12.3643739146234","2460","-3.8197407081827","0.00256161101345381","44.2675067960995"
"1FlipHC/uf125-04","gompertzModelpositive","11.7581264536066","2400","-3.87111421497647","0.00223325371583942","26.6708969755067"
"1FlipHC/uf125-05","gompertzModelpositive","11.8002040442344","2640","-3.99301065598058","0.00202565354017546","33.8935615195787"
"1FlipHC/uf125-06","gompertzModelpositive","12.7740157226646","2550","-3.99433527319718","0.00212309008737735","28.0133942977289"
"1FlipHC/uf125-07","gompertzModelpositive","11.6598359951519","2460","-3.9118767503431","0.00227292770847869","45.7930292556471"
"1FlipHC/uf125-08","gompertzModelpositive","13.2336608614045","2370","-3.83075479518916","0.00234443689875021","39.6509443660428"
"1FlipHC/uf125-09","gompertzModelpositive","11.1477809445685","2550","-3.82085220063591","0.00209997906675541","31.4631278235929"
