"instance_file","model","a","b","c","d","residuals"
"1FlipHC/uf020-01/1","DCMP",4.99999999990867,3.00251362074837,-0.000837522732224379,4.46110532091753,7.77083333299465
"1FlipHC/uf020-01/11","DCMP",1.88225890901261,6.25159919919382,-0.0216443773424255,4.26982453311328,0.872162149653593
"1FlipHC/uf020-01/13","DCMP",2.01976795733979,8.62421446686218,-0.077606393202679,2.8228146623789,2.25913776679688
"1FlipHC/uf020-01/15","DCMP",1.76141844221354,8.26213989392486,-0.00285543299472055,1.84450182708816,0.171496452647641
"1FlipHC/uf020-01/17","DCMP",0.669026841633398,7.17180378862257,-3.95585046965765e-05,4.06848295426478,1.82357853597591
"1FlipHC/uf020-01/19","DCMP",1.3884686296283,7.26464472215098,-0.00410451927544304,2.24916785343743,0.383026504406576
"1FlipHC/uf020-01/3","DCMP",1.32212516186179,6.67799991640631,-1.87300757386765e-05,4.65936763769894,0.707323228369829
"1FlipHC/uf020-01/5","DCMP",0.799362659796304,2.30591625032078,-0.0467310844156768,2.8536899711659,0
"1FlipHC/uf020-01/7","DCMP",-10.1554624380779,387.830396182467,-2.96400120590005,0.056124785061678,0.463559524260259
"1FlipHC/uf020-01/9","DCMP",1.88225890901261,6.25159919919382,-0.0216443773424255,4.26982453311328,1.16057237212031
"1FlipHC/uf020-02/1","DCMP",2.22705446576449,9.48303888183855,0.115566425861549,-2.03735374432713,23.2172581696654
"1FlipHC/uf020-02/11","DCMP",1.46217440128132,4.5996375928212,-0.0135295605820022,4.27793934987371,1.40651670808917
"1FlipHC/uf020-02/13","DCMP",0.662929363967419,4.77921563591784,-0.000314130473681678,4.04210191593453,0.893878942870285
"1FlipHC/uf020-02/15","DCMP",7.9983713056878,9.80345921289886,-0.336592511693737,1.41255015802224,7.06464320058669
"1FlipHC/uf020-02/17","DCMP",1.58342735410898,6.73133302963197,-0.0450726326372401,2.11253691086229,0.857660069533494
"1FlipHC/uf020-02/19","DCMP",8.13619374625349,17.2787643210604,-0.782419089073797,0.451005560456618,11.2395316751817
"1FlipHC/uf020-02/3","DCMP",1.43601308561036,6.58391876113334,-0.00303194473090741,2.89738911085067,1.58573399462251
"1FlipHC/uf020-02/5","DCMP",7.16393620394203,5.47944440368216,-0.124902585058961,1.51332907528539,4.36896587498159
"1FlipHC/uf020-02/7","DCMP",1.56629061725535,7.34279625189923,-0.0650808816669201,0.589847677283086,10.369550418889
"1FlipHC/uf020-02/9","DCMP",1.83859999844952,7.61510563309341,-0.0614283651043212,1.78592889497856,1.57156413162499
"1FlipHC/uf020-03/1","DCMP",1.66018604848989,6.71247586606634,-0.0571184379505764,1.26306705522154,1.14989360880241
"1FlipHC/uf020-03/11","DCMP",-289.389067535974,312.032337116318,-0.0161500250061909,0.269640091702898,12.988675744623
"1FlipHC/uf020-03/13","DCMP",-577.824450155216,673.970377313812,-0.130126601722328,0.0320357874057943,8.39316179281122
"1FlipHC/uf020-03/15","DCMP",6.98141689581102,5.71252839004061,-0.00154084429597062,5.04139205971573,5.17464122600254
"1FlipHC/uf020-03/17","DCMP",1.60187091149831,8.41195603261934,-0.00164507759986309,4.03748256430772,1.27579525186592
"1FlipHC/uf020-03/19","DCMP",1.21655664004773,4.09619900642184,-0.0795128627859022,1.69337350286368,1.5034584476186
"1FlipHC/uf020-03/3","DCMP",1.48236730793746,6.22290351236768,0.21080272416762,-3.81152643829743,17.5198461731964
"1FlipHC/uf020-03/5","DCMP",6.4113633112016,6.91920498119046,-0.0508106735172398,1.87010712497226,7.46343136698877
"1FlipHC/uf020-03/7","DCMP",1.51877629539803,7.57863646072113,-0.0129369215518767,4.6464494462228,2.01028425012639
"1FlipHC/uf020-03/9","DCMP",4.54797258973646,4.45264240042462,-0.000138127561185146,4.67182977524274,4.17699996479487
"1FlipHC/uf020-04/1","DCMP",6.89349058896251,10.3663479045576,-0.0378928882330399,2.47531304941586,35.6159606791624
"1FlipHC/uf020-04/11","DCMP",-481.909302209224,497.208133437283,-0.00478566725812555,0.539423717535519,0.442963564932797
"1FlipHC/uf020-04/13","DCMP",-278.094809490016,365.286169840254,-0.231358826742088,0.0474656747620528,1.8399703037873
"1FlipHC/uf020-04/15","DCMP",-291.773271206112,311.256577061823,-0.00812235499308701,0.433199966220615,1.01390026141394
"1FlipHC/uf020-04/17","DCMP",-351.935215851659,366.682507052306,-0.00229924294721791,0.888148143104814,83.6354626922433
"1FlipHC/uf020-04/19","DCMP",-421.674145343607,436.40668314029,-0.00417555828041106,0.514992849733334,4.47479512400543
"1FlipHC/uf020-04/3","DCMP",1.97427092632904,9.92342401217524,-0.0232270736808905,0.773195003292712,6.1647272113056
"1FlipHC/uf020-04/5","DCMP",1.64342955164158,5.39683129250213,-0.00748805507955757,4.28398085537615,0.338499518053859
"1FlipHC/uf020-04/7","DCMP",1.57177073658291,7.4479468291056,-0.00265089318158224,2.8977701624,1.49238397994948
"1FlipHC/uf020-04/9","DCMP",-334.560431162859,538.216093678591,-0.43031243245878,0.0164619319464988,1.68424547499955
"1FlipHC/uf020-05/1","DCMP",-59.191416941806,71.110504291467,-6.10371400522749e-07,5.06949510064624,984.365503966829
"1FlipHC/uf020-05/11","DCMP",1.09441965708332,3.90614656383087,-0.00014496689947086,3.30990284133148,0.0452110535359082
"1FlipHC/uf020-05/13","DCMP",-231.409245122322,250.127973067319,-0.0109565289130328,0.549581427914475,12.8260112523323
"1FlipHC/uf020-05/15","DCMP",0.586967929154022,2.59465354918546,0.274148066136021,3.17932934652021,Inf
"1FlipHC/uf020-05/17","DCMP",-728.42509187897,752.098222936158,-0.00822141326419604,0.334577920429709,4.98275236558522
"1FlipHC/uf020-05/19","DCMP",-16.7009583068438,183.565610269506,-1.82456397757955,0.0469480071264819,3.81572301581651
"1FlipHC/uf020-05/3","DCMP",1.91249786383304,10.0908584328513,-0.000332662972313686,4.03879497893527,2.26622691157543
"1FlipHC/uf020-05/5","DCMP",0.67016013659952,6.37744019190911,-3.17294221948454e-05,4.05285319992738,2.29067148766803
"1FlipHC/uf020-05/7","DCMP",0.66312992860588,9.5523975506338,-5.69885829113971e-05,4.06679222366029,2.13557659998183
"1FlipHC/uf020-05/9","DCMP",10.9819833441115,8.01021677133202,-6.2889190463704e-05,6.44927690700289,53.0585955029485
"1FlipHC/uf020-06/1","DCMP",2.79149375181391,15.0859417400648,-0.0567128812542589,0.609352429040369,8.0862106329066
"1FlipHC/uf020-06/11","DCMP",5.99998899582469,6.0115664906945,-0.00192405869903409,4.24843020989898,1.39998752863293
"1FlipHC/uf020-06/13","DCMP",-334.401265150618,345.78834369586,-0.00182818126347658,1.02115406381333,253.745733228119
"1FlipHC/uf020-06/15","DCMP",-431.522572013604,446.294974366085,-9.39343474568332e-06,3.3637293248517,16377.4390420175
"1FlipHC/uf020-06/17","DCMP",4.9448875700277,6.10419339809108,-0.00807303235543725,2.76574034837843,17.5157530649765
"1FlipHC/uf020-06/19","DCMP",1.75016754283281,5.50356928369336,-0.0472006792279948,4.24426823122771,0.520693723662858
"1FlipHC/uf020-06/3","DCMP",1.44670014595027,6.49898996352671,-0.0432052565281044,0.861143567066476,0.966117801260223
"1FlipHC/uf020-06/5","DCMP",1.00400393153411,8.95315701738031,0.216563788936274,-0.718130916639871,9.94638445852874
"1FlipHC/uf020-06/7","DCMP",1.65425888969653,6.47083158134162,-0.0195207324900994,3.29052707574085,0.717696898409439
"1FlipHC/uf020-06/9","DCMP",1.92800475616392,8.55512711932702,0.162151875118462,-5.01203282921895,1.52451851127964
"1FlipHC/uf020-07/1","DCMP",1.69967098012251,8.3041174896449,-0.000456319918084712,2.89996473566349,1.10003591950169
"1FlipHC/uf020-07/11","DCMP",2.18397780584948,7.05286783069687,-0.047049714179059,1.28277448362095,0.100156885399436
"1FlipHC/uf020-07/13","DCMP",1.50199707685282,5.9216323353761,-0.0742272218723707,2.82619383370921,1.40899980280875
"1FlipHC/uf020-07/15","DCMP",2.12991142940517,9.38589584547923,0.180173542948223,-1.55431884113697,40.5972352690954
"1FlipHC/uf020-07/17","DCMP",8,5.04185789230385,-0.00833673114741073,4.79526368912712,12.268253968254
"1FlipHC/uf020-07/19","DCMP",0.665983053118181,9.5552506751461,-1.10198219677117e-05,4.07095275583544,3.22489396114948
"1FlipHC/uf020-07/3","DCMP",6.99858701438558,8.86122550826132,-0.102066924983025,1.93281197740055,10.3377858550177
"1FlipHC/uf020-07/5","DCMP",-575.03933268134,663.421597839707,-0.115703633689545,0.0463821327356582,0.685531335880848
"1FlipHC/uf020-07/7","DCMP",1.46784268394837,5.88747794247165,-0.0546139156168128,1.5250189935558,1.32840487738121
"1FlipHC/uf020-07/9","DCMP",-17.8108131446438,25.5242961292138,-7.27415679505396e-10,8.522628034234,447.906038040315
"1FlipHC/uf020-08/1","DCMP",2.49562170066157,8.50899348743533,-0.000542536571704285,2.90463874381249,3.12306339496107
"1FlipHC/uf020-08/11","DCMP",5.91119874959787,8.47828268284194,-0.729256081195909,0.941874662005327,8.39986214858672
"1FlipHC/uf020-08/13","DCMP",2.42759921044337,11.8251839304245,-0.049758859774121,0.888711245863572,6.48573152807589
"1FlipHC/uf020-08/15","DCMP",1.92526910144158,8.07840564968503,-0.000454989173896965,3.30959281905705,0.780100028003451
"1FlipHC/uf020-08/17","DCMP",1.17435926781144,5.8262486115774,-0.000104340095916396,4.65928202767876,1.63397335584024
"1FlipHC/uf020-08/19","DCMP",-295.385179876974,306.512911403147,-0.000719880928396845,1.35797563902091,280.141176652082
"1FlipHC/uf020-08/3","DCMP",7.96454055484697,4.95882175364112,-0.0136472181581756,3.38157600263749,2.93575839919137
"1FlipHC/uf020-08/5","DCMP",2.54094528810019,8.24822534340978,-0.464773003822433,0.547432209903371,0.772423052918728
"1FlipHC/uf020-08/7","DCMP",-482.869532204899,495.69242121434,-0.00191130590701621,0.938464430140596,543.32306156882
"1FlipHC/uf020-08/9","DCMP",2.98686998717994,7.36780410116663,-4.79092822942519e-09,10.1875799384395,2.21730426587734
"1FlipHC/uf020-09/1","DCMP",4.99830445570292,10.9965647659551,-0.605540905002545,1.492280439528,5.51539495937523
"1FlipHC/uf020-09/11","DCMP",5.79688287447184,464.855270598767,-4.04367008228083,0.088435758105296,5.86055006700875
"1FlipHC/uf020-09/13","DCMP",-492.50264888252,508.302554688916,-0.000236174718800785,1.93227355714075,15293.2079210366
"1FlipHC/uf020-09/15","DCMP",-548.070345088364,559.824957043867,-0.000185739034807611,1.71211202791405,1011.12551227268
"1FlipHC/uf020-09/17","DCMP",7.98141126527315,5.91169624256502,-0.163784036877074,1.71224537970449,2.71031570271066
"1FlipHC/uf020-09/19","DCMP",6.85679772786641,8.20649430280878,-0.467249933340954,1.03836455669226,4.39170557609247
"1FlipHC/uf020-09/3","DCMP",1.39825188359403,5.72632588410302,-0.0531180515435276,0.942994530138485,2.21431165457488
"1FlipHC/uf020-09/5","DCMP",0.489115238127765,9.37838286015569,-8.0463318692785e-05,3.62082200602311,1.80984431451391
"1FlipHC/uf020-09/7","DCMP",7.98720870338641,6.80735504397407,-0.000155202505219778,5.55833049846462,6.42249031703648
"1FlipHC/uf020-09/9","DCMP",4.34859221562435,9.71799047296553,-0.603750917944597,0.770476087451307,4.68312850172894
"1FlipHC/uf020-10/1","DCMP",-0.0803499940562108,385.78520042987,-3.38547867503081,0.0929752109460721,3.65687423468218
"1FlipHC/uf020-10/11","DCMP",2.12056899744599,8.74769136060909,0.114208246905669,-2.18573424203576,15.3490263742168
"1FlipHC/uf020-10/13","DCMP",8.00902936865579,6.12817204703613,-0.00996990781329074,2.97656235646618,15.5000936461092
"1FlipHC/uf020-10/15","DCMP",6.99999897626431,14.9491520621105,-1.09521646144486,1.30422777052925,13.9766617595626
"1FlipHC/uf020-10/17","DCMP",2.77468190410826,5.2891972836402,-0.0121508165388747,2.6736194499826,0.300066026276458
"1FlipHC/uf020-10/19","DCMP",1.97175366225681,10.0327410057786,-0.000448100386853635,2.89997295519473,0.619551563515765
"1FlipHC/uf020-10/3","DCMP",3.9331129884613,9.9740470301221,-0.0928854130472754,1.22702681875645,9.80775282505197
"1FlipHC/uf020-10/5","DCMP",8.97277720513821,8.1090914416742,-0.0105949176927064,3.0267886643621,6.6142442971172
"1FlipHC/uf020-10/7","DCMP",0.397561015492444,9.26005930845926,0.308179912004138,4.34730755391172,Inf
"1FlipHC/uf020-10/9","DCMP",6.51806692532929,11.8278663852759,-0.135805831666412,1.52410660476387,4.09453336085248
"1FlipHC/uf050-01/1","DCMP",16.9989893653089,5.00101492763628,-8.5841515753976e-07,7.74681354558864,10.5613268020151
"1FlipHC/uf050-01/11","DCMP",-18.3042047542977,16.3716029108574,1.08065894855716,-0.10740873434875,1.88987845739742
"1FlipHC/uf050-01/13","DCMP",2.60793428844151,13.4539506425575,-0.0046103703689165,1.84274688971397,4.84043920700999
"1FlipHC/uf050-01/15","DCMP",3.8638866426428,16.7796295349155,0.0884079400925988,-1.65857652321135,4.22892030273466
"1FlipHC/uf050-01/17","DCMP",-1169.87294416322,1202.75068241788,-0.00161636178702649,0.629169148000598,0.428395071915056
"1FlipHC/uf050-01/19","DCMP",20,8.03866965640999,-0.00482206219944499,4.8425645994252,10.3827464589074
"1FlipHC/uf050-01/3","DCMP",24.095298285086,8.22781941905446,-0.175737464274547,1.30344176070894,8.22455991694593
"1FlipHC/uf050-01/5","DCMP",3.46963928743453,17.6431062855291,0.0965157659617587,-0.37352581104097,10.1178526631291
"1FlipHC/uf050-01/7","DCMP",3.20878251544609,16.7533874606297,0.158306391707984,-1.38180945449068,6.79953243131182
"1FlipHC/uf050-01/9","DCMP",3.36838904176092,20.0573042514993,0.157585140483206,-0.37312850518331,13.098991954789
"1FlipHC/uf050-02/1","DCMP",23.3432750977656,9.57464511957575,-0.00476462342888971,3.2615572870061,19.0404745288458
"1FlipHC/uf050-02/11","DCMP",17.6330378990704,7.49150296783098,-0.016764017410732,2.15713949086346,5.86473081271799
"1FlipHC/uf050-02/13","DCMP",3.79684644506679,18.5991754960723,0.123702338432114,-0.514248470694319,20.0038782149462
"1FlipHC/uf050-02/15","DCMP",24.9003659175145,5.59146410405167,-9.92653885013002e-09,8.60826797755273,13.4092110902145
