"instance_file","model","a","b","c","d","residuals"
"1FlipHC/uf020-01/1","LGMN",0,0,0,0,0
"1FlipHC/uf020-01/11","LGMN",0,0,0,0,0.5
"1FlipHC/uf020-01/13","LGMN",0,0,0,0,0.5
"1FlipHC/uf020-01/15","LGMN",0,0,0,0,0.5
"1FlipHC/uf020-01/17","LGMN",0,0,0,0,1.5
"1FlipHC/uf020-01/19","LGMN",0,0,0,0,0.5
"1FlipHC/uf020-01/3","LGMN",0,0,0,0,0.5
"1FlipHC/uf020-01/5","LGMN",2.9671362133979,-1.01689609186229,-1.13988742590428,-2.86882233907945,0
"1FlipHC/uf020-01/7","LGMN",0,0,0,0,1e+06
"1FlipHC/uf020-01/9","LGMN",0,0,0,0,1
"1FlipHC/uf020-02/1","LGMN",0,0,0,0,0
"1FlipHC/uf020-02/11","LGMN",0,0,0,0,0
"1FlipHC/uf020-02/13","LGMN",4.99999040887339,-1.71223015724105,7.14412429159894,10.5226048151718,23.499900891799
"1FlipHC/uf020-02/15","LGMN",0,0,0,0,0.5
"1FlipHC/uf020-02/17","LGMN",0,0,0,0,0.5
"1FlipHC/uf020-02/19","LGMN",0,0,0,0,1
"1FlipHC/uf020-02/3","LGMN",0,0,0,0,1
"1FlipHC/uf020-02/5","LGMN",0,0,0,0,1.5
"1FlipHC/uf020-02/7","LGMN",0,0,0,0,0.5
"1FlipHC/uf020-02/9","LGMN",0,0,0,0,0.5
"1FlipHC/uf020-03/1","LGMN",0,0,0,0,1.5
"1FlipHC/uf020-03/11","LGMN",0,0,0,0,0
"1FlipHC/uf020-03/13","LGMN",0,0,0,0,0
"1FlipHC/uf020-03/15","LGMN",0,0,0,0,1
"1FlipHC/uf020-03/17","LGMN",0,0,0,0,1e+06
"1FlipHC/uf020-03/19","LGMN",0,0,0,0,1e+06
"1FlipHC/uf020-03/3","LGMN",0,0,0,0,1e+06
"1FlipHC/uf020-03/5","LGMN",0,0,0,0,1
"1FlipHC/uf020-03/7","LGMN",9.32477353211287,-1.567957914171,-1.78547879009492,-11.2675851887769,13.8787846486256
"1FlipHC/uf020-03/9","LGMN",0,0,0,0,2
"1FlipHC/uf020-04/1","LGMN",0,0,0,0,1e+06
"1FlipHC/uf020-04/11","LGMN",0,0,0,0,1e+06
"1FlipHC/uf020-04/13","LGMN",0,0,0,0,2
"1FlipHC/uf020-04/15","LGMN",0,0,0,0,2
"1FlipHC/uf020-04/17","LGMN",0,0,0,0,2
