"instance_file","model","a","b","c","d","residuals"
"ts0r0b/symmetric/att48","gompertzModelnegative","76.0837050468938","-76.1370350112016","-0.0521692153473695","-0.111382750805835","0.120532313864602"
"ts0r0b/symmetric/bayg29","gompertzModelnegative","3.16671864455593","-3.20034791651184","-1.0030769623611","-0.216703953314777","0.0882934438544781"
"ts0r0b/symmetric/bays29","gompertzModelnegative","2.84408829033855","-2.87086753623399","-1.30609509063925","-0.248534080017414","0.109658138139887"
"ts0r0b/symmetric/berlin52","gompertzModelnegative","114.814399711614","-114.899554262607","-0.0265430692474918","-0.0893357471443564","0.170028350819887"
"ts0r0b/symmetric/brazil58","gompertzModelnegative","109.721478231878","-109.737094653346","-0.0373329130957511","-0.098682541800981","0.113573319366253"
"ts0r0b/symmetric/burma14","gompertzModelnegative","0.768457997783414","-0.77108321932868","-8.00829837472094","-0.900234800487924","0.00137491825170432"
"ts0r0b/symmetric/dantzig42","gompertzModelnegative","66.2490244557033","-66.3093346743625","-0.0545302987005639","-0.1218409601402","0.114205643695214"
"ts0r0b/symmetric/eil51","gompertzModelnegative","15.2174231264928","-15.2819293108822","-0.223156337339497","-0.0995823751954017","0.0969870823728918"
"ts0r0b/symmetric/eil76","gompertzModelnegative","69.3708617766158","-69.4317998054014","-0.0550911541527485","-0.0599123135140731","0.0479872640776182"
"ts0r0b/symmetric/fri26","gompertzModelnegative","22.4792067223653","-22.5341066450672","-0.103713162635681","-0.197677449701016","0.144447428655477"
"ts0r0b/symmetric/gr17","gompertzModelnegative","1.09541405635797","-1.0993943836007","-5.64361845932192","-0.676899884451212","0.0165349096767512"
"ts0r0b/symmetric/gr21","gompertzModelnegative","1.40081749100783","-1.42593324503462","-5.21653330867238","-0.448115805961873","0.102936827402751"
"ts0r0b/symmetric/gr24","gompertzModelnegative","4.04694879766037","-4.09414787850914","-0.681850033093047","-0.245063808815712","0.138297228137309"
"ts0r0b/symmetric/gr48","gompertzModelnegative","14.9228254704655","-14.996880791046","-0.252091805360762","-0.103352465096686","0.195359189413005"
"ts0r0b/symmetric/gr96","gompertzModelnegative","118.484590156147","-118.549586270902","-0.0489802253792402","-0.0486999801837393","0.0596717300140231"
"ts0r0b/symmetric/hk48","gompertzModelnegative","92.4656503102002","-92.513402707565","-0.036108094416632","-0.102766774948739","0.106366867428433"
"ts0r0b/symmetric/pr76","gompertzModelnegative","93.5846108635963","-93.6702982925061","-0.0483386704846932","-0.0586520279685177","0.125660400907898"
"ts0r0b/symmetric/st70","gompertzModelnegative","31.743798606187","-31.8076932766356","-0.158147075110102","-0.0709105426838102","0.0820712835389844"
"ts0r0b/symmetric/swiss42","gompertzModelnegative","25.5994440112415","-25.6717566432899","-0.126081137368038","-0.110392083325012","0.135048271635565"
"ts0r0b/symmetric/ulysses16","gompertzModelnegative","0.680951825856335","-0.683835838583408","-7.83619396164212","-0.797993950338722","0.0125220869755406"
"ts0r0b/symmetric/ulysses22","gompertzModelnegative","1.46770751004933","-1.48216121087036","-2.20650143862108","-0.39224961410803","0.0962139409694287"
"ts0r0f/symmetric/att48","gompertzModelnegative","5.92680702433843","-6.8074107849799","-1.093907806258","-0.0123719880254325","4.79668345323435"
"ts0r0f/symmetric/bayg29","gompertzModelnegative","2.44184537455505","-3.0568017118373","-1.76132160913626","-0.025981856273772","2.79473871160299"
"ts0r0f/symmetric/bays29","gompertzModelnegative","1.64967671600927","-1.60666575286305","-7.48463751390085","-0.0824414558228942","0.1494715494421"
"ts0r0f/symmetric/berlin52","gompertzModelnegative","3.59377213536141","-4.00280445624059","-1.78031966277546","-0.0132162166125265","0.500630203346258"
"ts0r0f/symmetric/brazil58","gompertzModelnegative","4.02087117756252","-4.43164668824764","-2.51125214276165","-0.0137393335679882","5.61213521606842"
"ts0r0f/symmetric/burma14","gompertzModelnegative","0.754264207917655","-0.746469746159636","-14.6131926276214","-0.342436864157385","0.0545210126572343"
"ts0r0f/symmetric/dantzig42","gompertzModelnegative","4.11511278475775","-4.82143811077124","-1.75844486481316","-0.0180194205021641","2.56518785009077"
"ts0r0f/symmetric/eil51","gompertzModelnegative","2.81984612197778","-2.91745315152006","-3.06805310174307","-0.0234136823215604","0.117885031458073"
"ts0r0f/symmetric/eil76","gompertzModelnegative","-0.147369958984014","7.28546735006541","-0.684912229589726","0.00592245263925208","0.161913285790889"
"ts0r0f/symmetric/fri26","gompertzModelnegative","1.96286441560485","-2.14610500499648","-2.16543786842409","-0.0462641025237256","0.288238165319224"
"ts0r0f/symmetric/gr17","gompertzModelnegative","1.11684567710192","-1.10115715918885","-7.85704438086007","-0.193291278760495","0.0628632518298269"
"ts0r0f/symmetric/gr21","gompertzModelnegative","1.36245886521406","-1.38091709519563","-56.9278421541847","-0.180619877692779","0.163093771575514"
"ts0r0f/symmetric/gr24","gompertzModelnegative","1.50009161874008","-1.53615186281561","-5.18159531543682","-0.0876615057558263","0.145475853848773"
"ts0r0f/symmetric/gr48","gompertzModelnegative","3.97657339313564","-4.455275137087","-1.53581195237333","-0.017151068764363","1.90782247786268"
"ts0r0f/symmetric/gr96","gompertzModelnegative","6.61276588135143","-7.15492143881762","-1.74509866792119","-0.00689376773100426","0.551689580628049"
"ts0r0f/symmetric/hk48","gompertzModelnegative","3.24429169682251","-3.41757313554428","-2.58030410166889","-0.0224710616547534","0.408961336340609"
"ts0r0f/symmetric/pr76","gompertzModelnegative","135.729773926002","-20.1307544164914","1.8808318576987","4.76132749666928e-05","56787.1336887667"
"ts0r0f/symmetric/st70","gompertzModelnegative","4.35884443726637","-4.71840478776574","-2.65465337737754","-0.0133216519804062","0.976536365839212"
"ts0r0f/symmetric/swiss42","gompertzModelnegative","6.12492831726502","-6.9623042192878","-0.703634186712122","-0.0128214146990492","1.57031813041574"
"ts0r0f/symmetric/ulysses16","gompertzModelnegative","0.641800487596382","-0.651584373977939","-13.1422648953947","-0.21581475938945","0.116243973079824"
"ts0r0f/symmetric/ulysses22","gompertzModelnegative","1.1699868319797","-1.19809174268215","-11.8049087465936","-0.116430455694658","0.179181079884617"
"ts10r10b/symmetric/att48","gompertzModelnegative","10.3175037116491","-10.349963953116","-0.460161545279038","-0.125443498257505","0.174374128591128"
"ts10r10b/symmetric/bayg29","gompertzModelnegative","2.2214796375376","-2.23094203520862","-1.8846912540045","-0.24511933787122","0.0402399361826153"
"ts10r10b/symmetric/bays29","gompertzModelnegative","2.31939919758082","-2.32328182928957","-1.9078072370476","-0.254942696071059","0.0223818515240226"
"ts10r10b/symmetric/berlin52","gompertzModelnegative","96.7131022508947","-96.7566739053311","-0.0314070054269596","-0.0943924921159038","1.48566461035549"
"ts10r10b/symmetric/brazil58","gompertzModelnegative","9.10939454286258","-9.11274537509984","-0.558256655987121","-0.112978583636323","0.0338944507485829"
"ts10r10b/symmetric/burma14","gompertzModelnegative","0.743643546624103","-0.746493892115221","-8.96163202273144","-0.890370740903019","0.00570633310845928"
"ts10r10b/symmetric/dantzig42","gompertzModelnegative","4.39754218761256","-4.39916047858754","-1.30428412286809","-0.156598736844815","0.0174374205687896"
"ts10r10b/symmetric/eil51","gompertzModelnegative","3.59465418578131","-3.60263179045552","-1.40798748866253","-0.125202100365067","0.0381959497165814"
"ts10r10b/symmetric/eil76","gompertzModelnegative","6.67358833531171","-6.66632519905275","-0.778724347463632","-0.0731384426735199","0.0227555468670598"
"ts10r10b/symmetric/fri26","gompertzModelnegative","1.90719750952762","-1.91095014430556","-2.47229372968015","-0.300563189280897","0.0148143467441497"
"ts10r10b/symmetric/gr17","gompertzModelnegative","1.29592536947932","-1.30355632185552","-2.95618996120204","-0.597722912635041","0.0481826118746733"
"ts10r10b/symmetric/gr21","gompertzModelnegative","1.27335953292584","-1.28334368462594","-10.9859646305561","-0.55054074978271","0.13106877822049"
"ts10r10b/symmetric/gr24","gompertzModelnegative","2.16794723455722","-2.16712096006115","-1.94314618984103","-0.337457675104016","0.00687743009957732"
"ts10r10b/symmetric/gr48","gompertzModelnegative","3.42274845910315","-3.42131092141888","-1.79777221749193","-0.139320932706014","0.00475688783995084"
"ts10r10b/symmetric/gr96","gompertzModelnegative","85.4852871158344","-85.5452657032757","-0.0686799720668442","-0.049347424766503","0.17740642833555"
"ts10r10b/symmetric/hk48","gompertzModelnegative","3.36565087549146","-3.37187700589885","-1.91253091327755","-0.141470697813861","0.0431926023590189"
"ts10r10b/symmetric/pr76","gompertzModelnegative","81.3501744918798","-81.4244046183985","-0.0558015687624795","-0.0603295193718577","0.219214786480155"
"ts10r10b/symmetric/st70","gompertzModelnegative","6.58293747930986","-6.57393691905527","-1.02245507923575","-0.0854957389833504","0.00462343411250125"
"ts10r10b/symmetric/swiss42","gompertzModelnegative","3.512511913044","-3.53502824541669","-1.34308045303664","-0.143982349035619","0.33982210067197"
"ts10r10b/symmetric/ulysses16","gompertzModelnegative","0.672555094255666","-0.672034801756214","-9.49824064840255","-0.854010390276153","0.000511140301094622"
"ts10r10b/symmetric/ulysses22","gompertzModelnegative","1.78365230128572","-1.78499214444267","-1.69021881282454","-0.392464585325003","0.00764351839930789"
"ts10r10f/symmetric/att48","gompertzModelnegative","3.81898647304058","-4.17600244808854","-2.24595639307558","-0.0179983646237911","4.40575741934248"
"ts10r10f/symmetric/bayg29","gompertzModelnegative","1.74698171000159","-1.83165223555113","-5.04763229800652","-0.0567277842816487","0.466222768822645"
"ts10r10f/symmetric/bays29","gompertzModelnegative","1.68322429518942","-1.68422038955053","-6.34470535471097","-0.0730269501443001","0.0616655045831575"
"ts10r10f/symmetric/berlin52","gompertzModelnegative","79.6361564442297","-16.2817493412097","1.55489348597877","0.000107353926765821","58063.3308935577"
"ts10r10f/symmetric/brazil58","gompertzModelnegative","130.416433267855","-35.0875227041278","1.28969984262426","7.46650732402619e-05","463142.961750234"
"ts10r10f/symmetric/burma14","gompertzModelnegative","0.842541674115194","-0.855262956741622","-10.2056113183794","-0.256875302545528","0.0981039238219953"
"ts10r10f/symmetric/dantzig42","gompertzModelnegative","3.85876593177977","-4.23072578372974","-1.95873114563712","-0.0215971930976367","18.4748062814666"
"ts10r10f/symmetric/eil51","gompertzModelnegative","3.21152421938272","-3.60665027321675","-1.97448796214957","-0.0166770515767254","4.98359864371636"
"ts10r10f/symmetric/eil76","gompertzModelnegative","3.89996585236746","-4.278064680897","-2.3449224151512","-0.0111298238433484","2.36194308258934"
"ts10r10f/symmetric/fri26","gompertzModelnegative","1.63668812067606","-1.67483161181467","-4.80476163013497","-0.0689980635633887","0.227056353302924"
"ts10r10f/symmetric/gr17","gompertzModelnegative","0.981766534753484","-0.995509393124074","-14.5947063958078","-0.216024963482027","0.09542417853414"
