"instance_file","model","a","b","c","d","residuals"
"ts0r0b/symmetric/att48-1","gompertzModelnegative","154.645934090528","-154.672139033808","-0.0286542443331084","-0.114051938777159","0.005684860816222"
"ts0r0b/symmetric/att48-10","gompertzModelnegative","8.61139567850847","-8.57146116394958","-0.628728217306541","-0.137474333350975","0.0034942110379483"
"ts0r0b/symmetric/att48-11","gompertzModelnegative","8.81661687946578","-8.87773492469044","-0.615298660987125","-0.118087727533124","0.0152717105861243"
"ts0r0b/symmetric/att48-12","gompertzModelnegative","169.254204032031","-169.27566309043","-0.0239863086926488","-0.11540202944537","0.00415600944100262"
"ts0r0b/symmetric/att48-13","gompertzModelnegative","25.024879564259","-25.093404657443","-0.174239663908991","-0.116560916547117","0.072943795000719"
"ts0r0b/symmetric/att48-14","gompertzModelnegative","80.6823420512667","-80.7168388924282","-0.0472518685988392","-0.11504085463378","0.00660333485418884"
"ts0r0b/symmetric/att48-15","gompertzModelnegative","110.888428176856","-110.879247840138","-0.0336440932009133","-0.104488136252753","0.000749499625315858"
"ts0r0b/symmetric/att48-16","gompertzModelnegative","215.272063795167","-215.271027178244","-0.0202006880398466","-0.127534751142937","0.00202858193080116"
"ts0r0b/symmetric/att48-17","gompertzModelnegative","8.16846099697567","-8.18005602603647","-0.619021503281262","-0.128400134881604","0.00208688407746619"
"ts0r0b/symmetric/att48-18","gompertzModelnegative","28.839935371002","-28.8757550302417","-0.142117975850597","-0.127675140615203","0.00468003785730109"
"ts0r0b/symmetric/att48-19","gompertzModelnegative","230.287421861961","-230.310936218123","-0.0197725446949227","-0.124179316094828","0.00419766068479276"
"ts0r0b/symmetric/att48-2","gompertzModelnegative","61.8163020126333","-61.8966487658738","-0.0602880183724393","-0.0995769898964285","0.0187154704801087"
"ts0r0b/symmetric/att48-20","gompertzModelnegative","170.634616280115","-170.648538249864","-0.0239758741629127","-0.118398767324996","0.00267109107353414"
"ts0r0b/symmetric/att48-3","gompertzModelnegative","29.6518283194275","-29.6602659621672","-0.146109944272665","-0.125950948625981","0.00402103320696878"
"ts0r0b/symmetric/att48-4","gompertzModelnegative","31.5336430257215","-31.5661600823963","-0.129566725890353","-0.113349705234247","0.00540477974400244"
