"instance_file","model","a","b","c","d","residuals"
"ts0r0b/symmetric/att48-1","logisticModelpositive","-0.22788785900317","4.25220678862464","1.63687644030627","-3.20236129799988","0.00468221014218263"
"ts0r0b/symmetric/att48-10","logisticModelpositive","-0.122880973991566","3.71483841872926","1.86905393029622","-3.76712357882306","0.00730268789892467"
"ts0r0b/symmetric/att48-11","logisticModelpositive","-0.247400193606272","3.83721943396991","1.83677144630089","-3.97016182684125","0.00507579107594854"
"ts0r0b/symmetric/att48-12","logisticModelpositive","-0.273020335432618","4.14160840135276","1.49517682418418","-2.83228694433634","0.00283438696091151"
"ts0r0b/symmetric/att48-13","logisticModelpositive","-0.238144226332909","3.73015565912816","1.76640633693786","-3.61787666655635","0.00309480120560047"
"ts0r0b/symmetric/att48-14","logisticModelpositive","-0.180489744512845","3.47786761471718","1.73613637609663","-3.47479298920232","0.00314297348160542"
"ts0r0b/symmetric/att48-15","logisticModelpositive","-0.123645896716549","3.39770637995804","1.76170469210298","-3.70180425466792","0.00140452242576845"
"ts0r0b/symmetric/att48-16","logisticModelpositive","-0.200312808866285","4.24002235140103","1.61238810750226","-2.94400176708601","0.00165626939813165"
"ts0r0b/symmetric/att48-17","logisticModelpositive","-0.136074833099803","3.41956519925311","1.96922105284951","-4.13685860541669","0.00324579491496516"
"ts0r0b/symmetric/att48-18","logisticModelpositive","-0.226472014345546","3.60174824168176","1.70595460596985","-3.32871777559312","0.00185626861926111"
"ts0r0b/symmetric/att48-19","logisticModelpositive","-0.235195106853566","4.40074721779014","1.63089422105094","-3.05226342675891","0.00103301321852667"
"ts0r0b/symmetric/att48-2","logisticModelpositive","-0.330205764554038","3.63942043336842","1.53082107781595","-3.24986122953367","0.00309094773512707"
"ts0r0b/symmetric/att48-20","logisticModelpositive","-0.21167504632228","3.96634677656428","1.61632210860774","-3.09763652085188","0.00140362052396602"
"ts0r0b/symmetric/att48-3","logisticModelpositive","-0.149340238689964","3.67780414803562","1.81203793293451","-3.55834818793774","0.00596743502952886"
