"instance_file","model","a","b","c","d","residuals"
"ts0r0b/symmetric/att48-1","expLinearModelpositive","-0.35412648411613","125.360368837034","-1.52048361890852","7.61476969575041","0.0104880511426244"
"ts0r0b/symmetric/att48-10","expLinearModelpositive","-0.327937680170227","117.840609710199","-1.52270482448897","7.5702140445209","0.0133481925709994"
"ts0r0b/symmetric/att48-11","expLinearModelpositive","-0.49888394794869","116.161083929244","-1.43090222557542","8.41796724133966","0.0152449092513326"
"ts0r0b/symmetric/att48-12","expLinearModelpositive","-0.365057236102011","116.911930748965","-1.50513254481615","7.92459643590047","0.0049265656651363"
"ts0r0b/symmetric/att48-13","expLinearModelpositive","0.0293153504946266","53.176902862991","-7.49026412541912","50.0602218229663","0.832713147808591"
"ts0r0b/symmetric/att48-14","expLinearModelpositive","-0.305032642691369","105.468573579225","-1.52438653569679","7.50933137610801","0.00912000712155808"
"ts0r0b/symmetric/att48-15","expLinearModelpositive","-0.263894890695505","104.407226194957","-1.48076325693377","8.04858189565338","0.00650469546362153"
"ts0r0b/symmetric/att48-16","expLinearModelpositive","-0.303791778945951","121.846066992849","-1.56931047113755","7.1171049851643","0.00469882393437051"
"ts0r0b/symmetric/att48-17","expLinearModelpositive","-0.337705696984122","106.081106511103","-1.49620898770053","7.57782050317315","0.0137017267308505"
"ts0r0b/symmetric/att48-18","expLinearModelpositive","0.158025947938534","0.14951158143876","-2.61654823753531","549.564612297775","0.676744412803744"
"ts0r0b/symmetric/att48-19","expLinearModelpositive","-0.367521891020288","123.802220549492","-1.53668005529072","7.3093536865789","0.00498704427503458"
"ts0r0b/symmetric/att48-2","expLinearModelpositive","-0.492579661438532","103.738238614979","-1.39315481822376","9.30976327347071","0.00653362674609757"
"ts0r0b/symmetric/att48-20","expLinearModelpositive","-0.336869923601896","111.777380504328","-1.51216235092547","7.57901856789228","0.00522808440627387"
