"instance_file","model","a","b","c","d","residuals"
"ts0r0b/symmetric/att48-1","DCMN","4.6115957481113","-6.51566978722893","-2.72895004650645","-0.591019276416373","0.000103518971031927"
"ts0r0b/symmetric/att48-10","DCMN","4.73606518175889","-8.85419114982565","-2.39499610884388","-0.396949027963931","5.5562522728301e-05"
"ts0r0b/symmetric/att48-11","DCMN","4.108090798375","-6.13458399058697","-3.28700699132281","-0.588887492810219","9.33613844050022e-05"
"ts0r0b/symmetric/att48-12","DCMN","5.58672041534588","-18.9853312097497","-2.41755198776558","-0.215893805259739","7.19925124337711e-05"
"ts0r0b/symmetric/att48-13","DCMN","4.15448017383379","-17.0210543289865","-3.54097791434676","-0.304821467390443","5.20825396840293e-05"
"ts0r0b/symmetric/att48-14","DCMN","4.08608367353237","-7.54040729281948","-2.57462738264813","-0.432442885154042","3.06057360038786e-05"
"ts0r0b/symmetric/att48-15","DCMN","4.39249153087976","-80.5169375481614","-4.4544631624791","-0.134148812373988","0.000118251737112669"
"ts0r0b/symmetric/att48-16","DCMN","4.7862158380662","-9.61283546205568","-2.57458228913672","-0.415881356229945","0.000153456495944063"
"ts0r0b/symmetric/att48-17","DCMN","3.91066697317323","-14.1572563911114","-3.6242130818407","-0.333538869695754","0.000129768436268374"
"ts0r0b/symmetric/att48-18","DCMN","4.50198306365035","-60.5818196712663","-4.07025243194976","-0.150707654881836","3.30095191711927e-05"
"ts0r0b/symmetric/att48-19","DCMN","4.5912536764825","-10.3515175590401","-3.10189482145463","-0.43272340167419","5.60055929170795e-05"
"ts0r0b/symmetric/att48-2","DCMN","4.91222180463834","-46.8143054550076","-3.46529462124496","-0.132646882786156","0.000117532301396882"
"ts0r0b/symmetric/att48-20","DCMN","3.93453568073118","-6.64018535659989","-3.46999006837142","-0.593560336729035","0.000111722987497872"
"ts0r0b/symmetric/att48-3","DCMN","4.79093296367765","-9.19922600316194","-2.26615988849704","-0.379469497398594","2.27522986435053e-05"
"ts0r0b/symmetric/att48-4","DCMN","5.35835442510893","-43.5334554181463","-3.23378348255492","-0.135925092928227","1.75850641959713e-05"
"ts0r0b/symmetric/att48-5","DCMN","5.91393648574955","-33.1704549863892","-2.78315513024315","-0.150264133313289","0.000490086784239827"
"ts0r0b/symmetric/att48-6","DCMN","4.32589126899822","-8.96509153977611","-2.90494348302207","-0.447854114335084","0.000671579085540446"
"ts0r0b/symmetric/att48-7","DCMN","4.49572162032022","-62.2952934765654","-4.13263347454799","-0.148449742210835","0.000209521571101612"
"ts0r0b/symmetric/att48-8","DCMN","4.35473265961672","-14.5139784403893","-2.76478150168518","-0.27083911588985","7.95125092068983e-05"
"ts0r0b/symmetric/att48-9","DCMN","4.10313159771897","-5.17829997689277","-2.72823972367202","-0.710448414914571","0.000168648435602431"
"ts0r0b/symmetric/bayg29-1","DCMN","4.41613126647667","-1.30771563585517","0.823274137288796","0.14504148943235","0.000102169784938865"
"ts0r0b/symmetric/bayg29-10","DCMN","1.98227484634958","-3.53994983875076","-3.33603981999425","-0.648525689619706","0.000163569691909079"
"ts0r0b/symmetric/bayg29-11","DCMN","1.86553347634688","-2.16448956051182","-3.12758335003605","-1.01602817875581","0.00064828265806701"
"ts0r0b/symmetric/bayg29-12","DCMN","2.07359822380796","-18.3886145235555","-4.04330972681856","-0.237511239342146","0.000223107656176687"
"ts0r0b/symmetric/bayg29-13","DCMN","2.31551936613878","-3.10033523726982","-3.25902596012449","-0.883305555821753","0.000163770347654339"
"ts0r0b/symmetric/bayg29-14","DCMN","1.72832377731245","-2.24517978157621","-2.34203763413221","-0.784104154236729","7.17321974200462e-05"
"ts0r0b/symmetric/bayg29-15","DCMN","2.19250583264641","-3.23929113033306","-2.92203843981277","-0.727093606385923","0.000341688174787233"
"ts0r0b/symmetric/bayg29-16","DCMN","2.87578462083086","-17.7110076028432","-2.96229993995002","-0.186656875114064","0.000114443090331215"
"ts0r0b/symmetric/bayg29-17","DCMN","2.09201827912472","-2.43344564316773","-3.92891739630219","-1.03131241026902","0.000321315886186163"
"ts0r0b/symmetric/bayg29-18","DCMN","2.25241868260823","-2.64391075613116","-3.64360979807053","-1.0299377321563","0.000447944287796207"
"ts0r0b/symmetric/bayg29-19","DCMN","2.26986068350616","-2.43502816598733","-4.21701046227541","-1.27495342461007","0.000445481258877874"
"ts0r0b/symmetric/bayg29-2","DCMN","2.8277989204918","-28.3216883272449","-3.39545480697941","-0.139313979179428","0.000108010356025828"
