"instance_file","model","a","b","c","d","residuals"
"ts0r0b/symmetric/att48-1","DCMP","-0.00545401809838094","4.26883963859808","-0.0998238059801591","1.05025791750804","0.033659415442815"
"ts0r0b/symmetric/att48-10","GPMP","0.0783576220191922","117.840609710199","-3.42412183461283","0.0281048727781149","1.16347303062412e-06"
"ts0r0b/symmetric/att48-11","GPMP","-0.00277745860816475","70.8321244840692","-2.90546902938592","0.0279808403073565","0.0166502753866336"
"ts0r0b/symmetric/att48-12","DCMP","-0.000405319310936754","4.00412319545432","-0.110141185259424","1.02551955587373","0.034782355147886"
"ts0r0b/symmetric/att48-13","GPMP","-0.00624547662330414","58.692034921723","-2.78124836373965","0.0308134684819114","0.0351005516931598"
"ts0r0b/symmetric/att48-14","GPMP","0.00500412423245666","105.468573579225","-3.45818782392621","0.0252897549446849","0.00129606777375341"
"ts0r0b/symmetric/att48-15","DCMP","0.0135356412778902","3.69860644197976","-0.104577356212645","1.00157476725431","0.0114240068715911"
"ts0r0b/symmetric/att48-16","DCMP","0.0073034752214732","4.44463706559154","-0.138558310004446","0.978970104673389","0.0275348122067625"
"ts0r0b/symmetric/att48-17","DCMP","0.00434728452348122","3.6090843771387","-0.0710563331874977","1.16278050741725","0.00796110789064869"
"ts0r0b/symmetric/att48-18","GPMP","0.0241439462967497","104.246330447874","-3.39550268436065","0.0290692346720777","0.00111540284088912"
"ts0r0b/symmetric/att48-19","DCMP","-0.00572778994042647","4.53728310190722","-0.121866295304529","1.01626340880279","0.0347000520170735"
"ts0r0b/symmetric/att48-2","GPMP","-0.00338408102152665","113.467080874999","-3.52727139071265","0.0230991514929804","0.0211624991309331"
"ts0r0b/symmetric/att48-20","DCMP","0.00114096427674739","4.04944341661841","-0.114761905266581","1.01808409005054","0.0311593782148204"
"ts0r0b/symmetric/att48-3","DCMP","0.00718590764034051","3.85420871318823","-0.0956165756168788","1.08641899283582","0.0173636182603134"
"ts0r0b/symmetric/att48-4","GPMP","0.0157190885473703","109.434512608205","-3.44906334458085","0.0250195026138496","0.00238330914351744"
"ts0r0b/symmetric/att48-5","GPMP","0.0227255979345437","115.969138125706","-3.43982938776583","0.0265133826355385","0.00372028344508876"
"ts0r0b/symmetric/att48-6","DCMP","-0.0246216680836957","4.1072614735234","-0.134738118529032","0.931480098210086","0.101203606360169"
"ts0r0b/symmetric/att48-7","DCMP","0.00416776730299261","3.57120184399317","-0.0816823145676923","1.12917409073336","0.0129329734832876"
"ts0r0b/symmetric/att48-8","DCMP","0.0216826397693365","3.60428904240428","-0.113795284124352","1.03201772808843","0.0215775750173215"
"ts0r0b/symmetric/att48-9","DCMP","-0.0142080757124538","3.97382948299952","-0.130617254512366","0.996264570816069","0.0596612145247989"
"ts0r0b/symmetric/bayg29-1","GPMP","0.0126942302737864","22.1561583418106","-2.66126859504967","0.0503180993293284","0.00297028254153791"
"ts0r0b/symmetric/bayg29-10","GPMP","0.054667079067781","55.8819875776398","-3.28850264400652","0.0484335195218866","7.34054774496723e-06"
"ts0r0b/symmetric/bayg29-11","DCMP","-0.0272193126819787","2.22580392398376","-0.229706152467668","0.972215773344558","0.00180453984075684"
"ts0r0b/symmetric/bayg29-12","GPMP","0.0149708962296893","7.2478093724535","-1.3415139230584","0.0870363922674448","0.00244194631036534"
"ts0r0b/symmetric/bayg29-13","DCMP","0.00280171681900521","2.58650712615267","-0.178731476210744","1.08845143506861","0.0051243222848457"
"ts0r0b/symmetric/bayg29-14","DCMP","-0.0336568674910835","2.00521277155778","-0.278416474488381","0.897872684324467","0.000517588495260151"
"ts0r0b/symmetric/bayg29-15","DCMP","-0.000306747696704818","2.29315321060575","-0.15537153284035","1.10974260375819","0.00683982467569207"
"ts0r0b/symmetric/bayg29-16","GPMP","-0.00345857127877921","58.8260869565217","-3.29460891187014","0.0463788911120765","0.000749049464371218"
"ts0r0b/symmetric/bayg29-17","GPMP","0.00733964023694236","61.472049689441","-3.32701091126874","0.0423518228725518","0.0038413523776047"
"ts0r0b/symmetric/bayg29-18","GPMP","0.0230265735326664","65.832298136646","-3.32142030545626","0.0470623859183552","0.00236228671987466"
"ts0r0b/symmetric/bayg29-19","GPMP","0.00117539420630116","67.1925465838509","-3.29011605998143","0.0518849733859129","0.0077261184098887"
"ts0r0b/symmetric/bayg29-2","GPMP","0.0122066889523827","9.29405317719771","-1.56586639970878","0.0719414020557466","0.00335306925790449"
"ts0r0b/symmetric/bayg29-20","GPMP","0.000810379398419536","31.1384314511304","-2.62725848331342","0.0492431092808549","0.00838321132558784"
"ts0r0b/symmetric/bayg29-3","GPMP","-0.00863169543850674","60.2049689440994","-3.37867328397401","0.0368130226492538","0.00201778533374039"
"ts0r0b/symmetric/bayg29-4","GPMP","0.0210251960011261","58.6770186335404","-3.31655111074855","0.0458973581600364","1.36168224156255e-05"
"ts0r0b/symmetric/bayg29-5","GPMP","-0.00856467837267486","23.3359365301102","-2.47237368442638","0.0553679812169965","0.000932879570867778"
"ts0r0b/symmetric/bayg29-6","GPMP","-0.0097253724869201","83.6339046576974","-3.72290594328832","0.0396594283665388","0.00102807575779271"
"ts0r0b/symmetric/bayg29-7","GPMP","-0.00154543416962049","22.1476396601006","-2.34708520223547","0.0638147664073383","0.000505200806727519"
"ts0r0b/symmetric/bayg29-8","GPMP","0.0336636032581539","69.3540372670808","-3.3017706539099","0.0418946170751513","0.000471049237506131"
"ts0r0b/symmetric/bayg29-9","DCMP","0.00161477980191387","2.35218251149869","-0.180538514524271","1.03748636671015","0.00697070967192734"
"ts0r0b/symmetric/bays29-1","GPMP","-0.00118320256747754","6.31307699883977","-1.07064168188941","0.0890667609216158","0.00580802483093882"
"ts0r0b/symmetric/bays29-10","DCMP","0.011594857809474","2.26911678967384","-0.169758747908291","1.10381362560784","0.00623037457276489"
"ts0r0b/symmetric/bays29-11","DCMP","-0.0977716227437161","2.72394397783583","-0.210488483532535","0.920520113872587","0.000817645091765878"
"ts0r0b/symmetric/bays29-12","GPMP","0.00110196120043691","31.6122044716742","-2.70710501123018","0.0625864749879173","0.00117519518620949"
"ts0r0b/symmetric/bays29-13","GPMP","-0.00301326718072018","15.490163201903","-1.92944864961158","0.0679202135657527","0.0120536903556198"
"ts0r0b/symmetric/bays29-14","GPMP","0.016534107691771","8.21280868150256","-1.50340213001014","0.0828606913198945","0.00300717149970624"
"ts0r0b/symmetric/bays29-15","GPMP","0.0142361276569051","65.7772277227723","-3.3067662649298","0.0511753409575128","0.0038190377559109"
"ts0r0b/symmetric/bays29-16","DCMP","0.0138201917332808","2.21941898265764","-0.149981157196515","1.07661203022043","0.014207000887345"
"ts0r0b/symmetric/bays29-17","GPMP","-0.000791994041786696","12.5247785386305","-2.01246555396141","0.0622383723049236","0.00860518502543002"
"ts0r0b/symmetric/bays29-18","GPMP","-0.00100767481888403","43.4946815977654","-2.86246774212841","0.0510445459451302","0.00860877206766589"
"ts0r0b/symmetric/bays29-19","DCMP","-0.061628920622943","3.10018125861744","-0.268318155454237","0.884387772778114","0.00518966238954544"
"ts0r0b/symmetric/bays29-2","DCMP","-0.000950271818085984","2.06247458167689","-0.161925843866541","1.16631209256838","0.00847650207645624"
"ts0r0b/symmetric/bays29-20","GPMP","0.00361949506976502","63.5940594059406","-3.22312074167888","0.0611584820686616","0.000141890892057535"
