"","a$min","a$max","b$min","b$max","c$min","c$max","d$min","d$max"
"uf020",-41.071,1.2859,8.1332,57.4843,-1.6332,0.2569,-0.3353,0.953
"uf050",0.1809,1.3835,24.0726,46.338,-0.4993,-0.0312,0.2191,0.9187
"uf075",0.3065,2.3501,39.9834,70.4977,-0.481,-0.0441,0.2066,0.736
"uf100",0.2703,2.4281,55.0604,85.7198,-0.4091,-0.0406,0.2077,0.721
"uf125",0.2288,2.532,67.7313,112.8112,-0.4432,-0.0402,0.1905,0.6642
"uf150",0.2367,2.474,86.7227,124.6129,-0.3665,-0.0463,0.2071,0.6202
"uf175",0.56,3.5006,99.3264,146.8756,-0.3431,-0.0422,0.2086,0.6129
"uf200",0.6363,3.6278,110.2783,186.828,-0.3911,-0.0398,0.1964,0.6012
"uf225",0.6998,4.1375,125.3191,197.8124,-0.3751,-0.038,0.1943,0.6038
"uf250",0.6618,4.337,142.7782,217.7198,-0.3565,-0.0411,0.1958,0.5846
