"instance_file","model","a","b","c","d","residuals"
"1FlipHC/uf020-01/","decayModelpasitive","7.71669415422421","-7.44083370771934","-5.16055421980596","-0.86353454221446","0.747139570222182"
"1FlipHC/uf020-01/","decayModelpasitive","7.71668533348831","-7.44082372843871","-5.16058907252951","-0.863536297825962","0.747139620738154"
"1FlipHC/uf020-02/","decayModelpasitive","8.8137353244973","-8.49163756777809","-14.6272954036966","-1.1652887816976","0.595911467350591"
"1FlipHC/uf020-03/","decayModelpasitive","10.7105113879518","-9.95946625547993","-6.86434748127456","-1.00040312395348","0.586024186119538"
"1FlipHC/uf020-04/","decayModelpasitive","10.6455021224784","-9.54575709676472","-14.7162520174372","-1.36981329834172","0.670220694380126"
"1FlipHC/uf020-05/","decayModelpasitive","9.74876047096138","-9.29576810239987","-18.3475699489843","-1.20579361556453","0.604102501433995"
"1FlipHC/uf020-06/","decayModelpasitive","9.55716907897698","-8.71612062527542","-15.4897564124621","-1.19369878819512","0.53966015788998"
"1FlipHC/uf020-07/","decayModelpasitive","9.15298187349792","-8.58097146842224","-9.57924248721463","-1.06271609258347","0.632072743390772"
"1FlipHC/uf020-08/","decayModelpasitive","10.5470637199054","-10.091361316406","-5.97480685204093","-0.96293157990281","0.482315118550443"
"1FlipHC/uf020-09/","decayModelpasitive","10.6688090769713","-9.83823314343799","-14.9012656471929","-1.28818848246296","0.423105980870352"
"1FlipHC/uf020-10/","decayModelpasitive","10.6216118552145","-10.0789140331795","-7.14815608281337","-1.12711274613321","0.632154288916653"
"1FlipHC/uf050-01/","decayModelpasitive","22.3282074173767","-21.7208090155759","-26.4994229544732","-1.01810017847177","0.481775095394157"
"1FlipHC/uf050-02/","decayModelpasitive","24.4859623078425","-23.6447796392019","-31.0732144541986","-1.08128876290636","0.367339487897793"
"1FlipHC/uf050-03/","decayModelpasitive","25.4797894754306","-25.573603104414","-15.1820667492627","-0.905158341028762","0.514325100264851"
"1FlipHC/uf050-04/","decayModelpasitive","25.3660367632462","-24.6680953076319","-20.2420137454212","-0.940735942266225","0.387565105579683"
"1FlipHC/uf050-05/","decayModelpasitive","21.6960580979216","-21.4163887926187","-55.8422596396302","-1.23908958816679","0.641905726943134"
"1FlipHC/uf050-06/","decayModelpasitive","24.5814501953849","-23.925945490609","-33.9003765393865","-1.03875632016213","0.337390358268311"
"1FlipHC/uf050-07/","decayModelpasitive","24.8986258119458","-24.226919777847","-25.8182398183357","-1.02049269199857","0.464951585325977"
"1FlipHC/uf050-08/","decayModelpasitive","24.911331853094","-23.9450939379742","-20.3255426846658","-1.00231965492507","0.361602207655956"
"1FlipHC/uf050-09/","decayModelpasitive","23.6401123772533","-23.1181178965226","-29.9547991469283","-1.04082021828154","0.496138255601206"
"1FlipHC/uf050-10/","decayModelpasitive","23.2613251860633","-22.5439723916196","-36.8615149268762","-1.10847268723826","0.517681772385011"
"1FlipHC/uf075-01/","decayModelpasitive","36.401893078015","-35.6629363880365","-28.9335006999018","-0.916799925603336","0.50061772968787"
"1FlipHC/uf075-02/","decayModelpasitive","36.6015627193322","-36.3707201452033","-25.1370575453446","-0.923822947142929","0.517631618070868"
"1FlipHC/uf075-03/","decayModelpasitive","37.6833961529747","-36.0661712143205","-20.7397986152545","-0.874291504103769","0.291577181349889"
"1FlipHC/uf075-04/","decayModelpasitive","34.7431780275324","-33.5418245356579","-21.7352593628537","-0.869342658110031","0.288631113188041"
"1FlipHC/uf075-05/","decayModelpasitive","38.2778770571581","-37.2278564470416","-22.3960706099087","-0.921171956909203","0.283032907741473"
"1FlipHC/uf075-06/","decayModelpasitive","34.1035683412247","-33.3948984287747","-25.8087689204572","-0.894015893524661","0.342034094393156"
"1FlipHC/uf075-07/","decayModelpasitive","34.4605781388988","-33.4418914546807","-28.6346834888759","-0.899330845947898","0.304158333935568"
"1FlipHC/uf075-08/","decayModelpasitive","39.7570672238035","-38.6871490218753","-33.5601498267697","-1.01008396471497","0.376820839464038"
"1FlipHC/uf075-09/","decayModelpasitive","35.8192623981734","-35.6398832018748","-53.5127735573699","-1.07801416295224","0.36687004089693"
"1FlipHC/uf075-10/","decayModelpasitive","35.0281174684049","-34.9305867018401","-55.6992126690936","-1.06511221874244","0.409009270992987"
"1FlipHC/uf100-01/","decayModelpasitive","51.9947987727551","-51.2387977680908","-31.9466174738856","-0.896943017247901","0.307996947369472"
"1FlipHC/uf100-02/","decayModelpasitive","49.8172468226198","-48.9686168608128","-32.0740738096452","-0.899364128693614","0.289897286298151"
"1FlipHC/uf100-03/","decayModelpasitive","50.6222290785963","-49.8560339821999","-29.4307375013082","-0.871154999301983","0.267419819930922"
"1FlipHC/uf100-04/","decayModelpasitive","48.4496975466299","-48.1802242986206","-31.996752787693","-0.889540251581284","0.32677866159023"
"1FlipHC/uf100-05/","decayModelpasitive","48.749245257278","-48.1599331897356","-41.2593386419441","-0.927995742244655","0.382203460762922"
"1FlipHC/uf100-06/","decayModelpasitive","49.4676396474049","-50.2608854752098","-53.6980218641333","-1.02535203854935","0.442456272146161"
"1FlipHC/uf100-07/","decayModelpasitive","48.2687240078867","-48.0249352878457","-36.5845363458056","-0.902956284322823","0.461071135546738"
"1FlipHC/uf100-08/","decayModelpasitive","49.4309727263521","-48.2296662802861","-26.2295194498595","-0.861294843226441","0.296082000031314"
"1FlipHC/uf100-09/","decayModelpasitive","50.7652157203613","-49.8806496081988","-25.9163302797709","-0.857169631401547","0.332981264226664"
