"x","y"
1,2.37700884280499
21,2.03489623149441
36,1.922551830234
107,1.77366104284414
355,1.6062889079493
656,1.41651372742772
1005,1.21927456878369
1280,1.03718363130029
1499,0.844522924985936
1613,0.625982124764379
1689,0.527006813198409
1761,0.409851657085897
1860,0.29602981336366
2012,0.21170968488262
2225,0.145034548475147
2407,0.0968276077492696
2776,0.0522652079679268
2777,0.0145271817158347
2821,0.0105457125377403
2830,0.00678277753586445
3034,0.00410223843024021
3460,0.00228576924623082
3748,0.00154442804666086
3880,0.00104679839274172
4237,0.000604181648232838
5144,0.000427454979218146
6690,0.000211576939849469
6714,0.000143466364165466
7873,0.00010664808053345
11482,6.07355810302993e-05
13544,3.3107898333679e-05
16974,2.70349753054765e-05
18447,1.45386305938039e-05
20926,1.02756358665909e-05
23964,6.59626376939747e-06
24998,4.14213562257381e-06
26224,2.08649936014132e-06
27816,1.70882012438083e-06
30191,1.02187840131437e-06
38048,6.88131993701612e-07
46157,4.22969015575783e-07
74805,2.53037799493991e-07
74810,1.6047934190328e-07
98842,1.02188865454772e-07
102794,6.83290851681908e-08
113449,4.33429286176416e-08
137892,1.75252334038983e-08
138178,1.71826425845103e-08
141513,1.00061085455184e-08
144432,6.78421185292369e-09
148664,4.2869462754973e-09
