"x","y"
1,3.97047650945375
1,4.45015061055847
1,2.04771089664824
1,4.71344724127142
1,4.18538494182958
1,3.12209286800084
1,3.52682528023273
1,4.08070711140237
1,4.69024186058524
1,4.33668549088009
1,3.04756242312243
1,3.97440323277737
1,4.25721983311093
1,3.97103032083825
1,4.05444870006362
2,3.47855957640521
2,1.2114943842466
2,3.13975536125468
2,4.16020361984603
2,1.22146322010665
3,3.49005856250993
3,2.34198446197782
4,3.5372437196595
4,2.99401871400025
5,2.93904513280887
5,4.15634593968712
5,2.59035245276701
6,2.80931274599427
6,1.27903955028339
6,0.0941466506225077
6,2.58281307670389
7,2.6700743963345
7,4.27881973805198
7,2.51631692767374
7,0.100064975930472
7,2.21706342469869
7,-0.897555178786271
8,2.81629481304669
8,2.55424786984089
8,3.21263170767431
8,1.64559665083081
8,3.5521519325999
9,2.69224605327683
9,2.74745750165269
10,2.33161935818661
10,1.28899171377148
10,0.68185478000876
11,-0.109368233122297
11,1.64834581166151
12,3.98215620504766
12,1.12991407719197
13,2.55347267445591
13,0.981625442882919
14,1.35214913135663
14,2.22793109751992
15,1.09042644257514
16,1.83328833089045
16,2.58211497994987
16,0.990643594374647
16,0.916897697121819
20,0.702099117954896
20,1.57156928431343
22,0.653798018846039
23,0.68573737118963
25,2.19682610217356
26,0.289676843915158
28,1.15195743183599
30,3.07392915519402
31,0.570698501518472
31,-0.0636225423147407
31,2.32710773285753
34,2.18103657804982
34,0.832840115710189
42,1.99908056308392
42,0.223845532919559
45,1.50290060018034
47,0.971931200774442
48,-0.8131134283358
52,1.63180912209438
53,1.84233158147495
55,0.326943524705194
57,0.170927438161197
62,0.362570303813493
67,-0.272538617884749
68,0.739859247830923
76,0.142721302061338
79,0.763863562323376
87,0.140208941827413
92,-0.288847210769543
96,0.0329381113148916
98,-0.0351357127529774
100,-0.760873755312463
104,-0.573368402710822
107,0.552811534579339
110,0.109497385981215
113,-1.21861928154905
140,-0.688655092785706
141,0.41337060833315
147,0.280605397985253
154,1.234512044361
157,1.16451697232002
165,-0.29988089662316
171,-0.834468790536616
174,-0.0889144721141697
176,-0.688955830920217
185,0.938081219284439
186,0.155591774359526
206,-0.917515768334757
229,-0.349594942657149
241,0.0342254545512969
253,-0.851521210810964
323,-0.0272359600788756
328,-0.416141037241112
349,-0.348328138174991
349,-0.401736069938257
353,-0.00988092584632757
354,-1.348753186431
362,-0.349246952025208
366,-1.26491887925239
367,-1.48255501729726
403,-0.353692354461163
435,-1.41380680202796
466,-0.963728317809097
520,-1.0794346856462
546,-1.33559809347734
807,-1.42675561128586
889,-0.416348538935554
899,-0.853518820855489
1004,-0.494398135672053
1049,-1.11404500482402
1083,-1.80270398595348
1165,-0.618012726719156
1205,-1.39788722023747
1435,-1.7968067926763
1458,-2.00694080739003
1580,-0.580048697189286
1758,-0.234740088116427
1823,-0.748936186091006
1823,-1.65906720212717
1923,-1.35575153436744
1939,-1.51382761323414
1975,-2.04335196858205
2341,-1.8945038297133
2501,-1.20487938820773
2645,-1.19278701980423
2714,-1.36229643980953
2745,-2.75798818468485
2964,-1.40118877668088
3298,-1.02939785002028
3440,-2.42615465183771
3491,-1.84201200402407
3636,-1.33288738477803
3741,-3.23055300848418
3900,-1.40968162536251
4323,-1.64721249965598
4432,-2.05867174186046
4936,-2.11754071710341
4991,-1.6397893633975
5152,-2.21198845657699
5174,-1.15288177616053
5259,-1.22075712220101
5896,-1.8285390445826
5899,-2.06931228498394
6047,-1.78012983863968
6240,-2.7819147751083
6578,-1.69137836876227
6614,-3.26029205533553
6882,-2.68801431638607
7280,-1.40600341590233
7510,-2.54723444994381
7935,-4.08087086396423
8305,-1.86056000170939
8644,-1.84826911366087
8763,-2.24937576625891
10074,-2.42811145520141
10668,-3.10005479649486
11010,-1.80795105300625
11114,-1.53435869368513
11427,-2.57688441067631
12793,-2.11950781899642
13047,-1.81043536541959
14488,-2.24338375939376
16471,-1.94612406092471
17116,-2.87800888745041
18677,-1.90806426319858
19369,-2.07910395807927
19527,-5.13240281252128
20346,-2.6348541784814
20592,-2.23065773900549
20924,-2.58893230592572
21651,-2.48531617232374
22633,-4.09078594769768
24413,-4.23221364091026
25514,-2.63238877806215
28111,-5.85393164792949
29105,-3.05817973843786
31452,-3.24589666193532
33107,-2.38782199134821
33625,-2.63835808593753
34432,-3.44773237946186
43351,-3.14726765755228
51739,-3.67449000897852
51821,-3.86167390867824
52646,-4.70665343358719
56440,-2.07692573724039
62957,-2.7415639047007
62972,-3.39878515127332
64719,-3.46923911855795
65276,-2.21068811688829
68830,-2.89199622366348
69216,-5.05037030660561
69280,-5.79624923090713
69765,-3.16766870464348
70993,-3.33168127656678
72868,-3.62282401345394
73940,-5.86672618827537
74246,-4.36014207072409
78130,-3.05212700520825
81961,-2.53010466245908
83470,-3.80865688786036
85928,-6.06827285172568
93113,-6.25706286780316
96912,-4.08743133934571
