"x","y"
1,-0.601411218586328
1,-0.601411218586328
1,-0.601411218586328
1,-0.601411218586328
1,-0.601411218586328
1,-0.601411218586328
1,-0.601411218586328
1,-0.601411218586328
1,-0.601411218586328
1,-0.601411218586328
1,-0.601411218586328
1,-0.601411218586328
1,-0.601411218586328
1,-0.601411218586328
1,-0.601411218586328
133,-0.800723841106174
156,-0.834930639547658
156,-0.834092769559846
156,-0.835971230646385
156,-0.834026038916656
156,-0.834052526039714
156,-0.833905232614228
156,-0.835177687735155
156,-0.837071074736752
156,-0.834404843632633
156,-0.835834828536999
156,-0.833943432549446
156,-0.83376312387145
156,-0.834422429242036
156,-0.834142020271124
252,-1.01329672211772
252,-1.02502306839061
252,-1.03509363473577
252,-1.02452556530442
252,-1.02386394807081
252,-1.0140641094451
252,-1.03713144285676
252,-1.02424530371954
252,-1.03602505574581
252,-1.0238250736917
252,-1.01972738546584
252,-1.0285261314499
252,-1.03308111610372
252,-1.01590344896328
253,-1.01368571559195
300,-1.29181482586641
300,-1.26235226573688
300,-1.20172837257827
300,-1.27371520681631
300,-1.28162634648196
300,-1.24979138636195
300,-1.26911826315576
300,-1.28468990046385
300,-1.25767194780961
300,-1.25889443754209
300,-1.26138652272533
300,-1.24947486523178
301,-1.27594649184361
326,-1.25595315536364
327,-1.36134174392646
328,-1.45533315827864
328,-1.45528945060282
328,-1.4081843766188
328,-1.45053067229596
328,-1.46087589461395
328,-1.43434267043176
328,-1.45540954048875
328,-1.43222817008489
328,-1.40235509677087
329,-1.44231958330941
349,-1.46063965261416
351,-1.42534542878096
376,-1.53421208349871
377,-1.57470661087586
396,-1.41063768473302
398,-1.60952330942668
399,-1.63349206031289
399,-1.6487264182263
399,-1.61377117095922
400,-1.61983060783523
400,-1.62234579841355
423,-1.66960760948337
425,-1.67916991058146
425,-1.66604937436296
426,-1.61948959083616
426,-1.64601629910799
427,-1.68374316400421
448,-1.61013449623013
448,-1.63167236512186
474,-1.60155392776018
551,-1.80083942890516
598,-1.80017065410504
599,-1.80038607422231
602,-1.80020389708097
622,-1.80135582085421
624,-1.80006789667503
669,-1.80196696904153
673,-1.80018006779657
697,-1.80001448896989
699,-1.80014444295616
700,-1.80034467863647
701,-1.80036186388021
721,-1.80055815501698
768,-1.80227765717055
825,-1.80266747854635
