"x","y"
1,2.39438938452026
54,2.13177518422634
79,1.83534658064311
99,1.72395619334328
182,1.54409602032746
259,1.29468599476131
272,1.17650715045243
295,0.981325017662581
387,0.724001943926258
410,0.518524954104302
445,0.361162762431536
497,0.164467509859968
576,-0.281726126027481
682,-0.551379147148541
743,-0.644118151754606
772,-0.928591982621842
831,-1.0311823487479
851,-1.22261853373603
929,-1.43832706471863
939,-1.65389882911305
1007,-1.90517599797947
1064,-2.05139097124621
1133,-2.22436177616401
1203,-2.51078301574812
1251,-2.62399903225137
1349,-2.83590796281133
1415,-3.09389087707175
1473,-3.21390685600501
1551,-3.43659320394508
1580,-3.62242720544622
1637,-3.84962457586506
1681,-4.06187015587382
1797,-4.26995730310363
1837,-4.5242744610161
1872,-4.71970456356746
1910,-4.88852400509619
1993,-5.04501612236311
