"x","y"
1,2.73047495414366
2,2.52719804171141
3,1.94080560235475
10,1.50416765283583
33,0.985761825385012
103,0.77498322331729
130,0.372176189726836
250,-0.296098659420734
321,-0.639689877622679
322,-2.05849020238305
336,-2.470893750351
500,-2.71785291246827
507,-2.99465053003175
518,-3.07505819450551
527,-4.04672470820392
617,-4.23232093815157
630,-4.69650138492917
656,-5.10228354471776
675,-6.91160982055933
790,-7.74841229130232
814,-7.92042031199251
822,-8.17970275346863
824,-8.38219927031442
