"x","y"
1,2.07231270838072
7,1.87931971306353
33,1.7272348264107
57,1.52431885365797
62,0.754570681523499
77,0.570873007816848
86,0.16411038694362
1316,-0.757550287833093
1319,-0.85728799353324
1326,-1.03617778714512
2072,-1.39157797496869
5397,-1.57441392353277
5445,-1.61956574906178
6018,-1.83435474455253
6661,-2.8265777246126
6826,-3.17527637428749
6862,-3.24651118197446
7158,-4.21206917466414
7172,-4.66929339437797
7245,-5.44768880630919
7977,-5.65581049051434
8002,-5.8278802969249
8356,-6.12732308131006
8384,-6.38978937235443
8525,-7.3088864362811
8683,-7.70730988680276
8697,-8.08930931706687
