"x","y"
1,2.04304813611537
33,1.96585773112673
447,1.74946565140826
922,1.58415738413628
1318,1.31615687536596
2096,1.17005980193421
2780,0.979138802501228
3680,0.74790904777436
4581,0.560428478110343
5303,0.396007082143137
6465,0.190307454335066
7539,-0.00148627271138959
9230,-0.209458532797394
10157,-0.415542038044024
11015,-0.710283078302285
13397,-0.833455345213408
15087,-1.0005497016846
18650,-1.20015939207987
22530,-1.41254557093943
26123,-1.60981678192389
28786,-1.8577148462323
30013,-2.00375410837455
33803,-2.20606661290497
42809,-2.44940304372411
54835,-2.60886368109682
61013,-2.82887993224017
68342,-3.04015920857461
87692,-3.26567374151903
92890,-3.45574150443962
114805,-3.62641167118909
124297,-3.84213454759912
139414,-4.02257805768021
192069,-4.24173146941967
267009,-4.55263071639185
322919,-4.60907614833125
427600,-5.17067468914167
430238,-5.21075448825547
723501,-5.51876305146518
820126,-5.61009216060098
839953,-5.80597797161152
