"x","y"
1,2.31882095212929
10,2.13112757116223
13,1.93344749999487
37,1.75507027526335
65,1.08964026571765
87,0.689994440640755
96,0.543660644300385
114,0.336089178853415
159,0.0294120611055811
174,-0.0836800273770995
187,-0.273884726609365
241,-0.738124786680187
313,-1.11448687975175
416,-1.21094779244859
672,-1.44998196196272
686,-1.68231293557156
1167,-1.90115530843833
1218,-2.09540098729115
1283,-2.47277870955408
1480,-2.64553628594615
3233,-3.07722149620142
4704,-3.29762716297829
5073,-3.43258418257138
6109,-4.4013343144983
9697,-4.64533057676012
11895,-4.80446673544134
68905,-6.04216558978375
114545,-6.43065207695617
186715,-6.72833120760511
