"x","y"
1,7.07952157131327
60,6.98231145241061
69,6.76644303243012
74,6.39361038338262
77,5.69715391451976
219,5.59668545995599
233,5.39695304409082
244,5.18663389813559
266,4.98339484288058
272,4.74992655809048
273,4.56865806717166
277,4.36165568596951
281,4.05285272119415
534,3.99866579422039
566,3.77839518884143
573,3.53086986618676
575,3.34169489123452
582,3.13326547800461
597,2.95622005003251
606,2.74140811608337
616,2.40523788333296
621,2.37024096188861
622,2.1786443779181
626,1.97567239619478
648,1.79086043421384
1037,1.59893303009102
1059,1.38310267784167
1076,1.19356420668714
1133,0.958448524830189
1137,0.781544275763129
1142,0.420341427357301
1143,0.147709644941073
1159,-0.0644179103217432
1177,-0.215616545894122
2763,-0.449095302917793
2766,-0.874673991908321
2779,-1.40594230104111
2787,-1.8127979180339
2792,-2.00819842177683
2797,-2.24870970044963
2799,-2.45607966508612
2806,-2.60918430427935
2811,-2.84520649089303
2818,-3.04603805925853
2819,-3.53396520793745
2829,-3.75991156465555
2833,-3.94578168859901
2836,-4.24302239693007
2844,-4.62868198464447
2849,-4.93586276169278
2853,-5.00143637346586
2858,-5.30174206316073
2860,-5.75320927423102
2868,-5.92521814965569
2872,-6.29629991567988
2876,-6.41708184721033
2884,-6.94523815307519
2888,-7.33222578711136
2896,-7.51183605249197
2900,-7.87304775783419
2907,-8.01133179648652
