"x","y"
"1","+2.335775612e+02"
"44","+1.273554748e+02"
"55","+8.624621869e+01"
"143","+4.712029615e+01"
"161","+2.806011095e+01"
"194","+1.660908928e+01"
"266","+1.367763856e+01"
"301","+9.670440648e+00"
"350","+5.856584187e+00"
"421","+3.778869001e+00"
"449","+2.409011196e+00"
"517","+1.417934474e+00"
"594","+9.381522750e-01"
"622","+5.914672750e-01"
"699","+3.925054072e-01"
"775","+2.353180463e-01"
"841","+1.572242655e-01"
"908","+9.967139198e-02"
"981","+5.790911062e-02"
"1001","+3.704329943e-02"
"1017","+1.831788984e-02"
"1072","+1.582787742e-02"
"1143","+7.077797725e-03"
"1164","+5.925848907e-03"
"1290","+3.530967013e-03"
"1312","+2.034304490e-03"
"1350","+9.138405326e-04"
"1444","+5.206699172e-04"
"1514","+3.709135893e-04"
"1586","+2.505814952e-04"
"1644","+1.385317040e-04"
"1720","+6.485170022e-05"
"1736","+5.558813513e-05"
"1805","+3.003885860e-05"
"1879","+2.432369132e-05"
"1882","+1.353068637e-05"
"2006","+6.919281503e-06"
