"x","y"
"1","+1.236260265e+03"
"2","+1.966612131e+02"
"5","+1.579255387e+02"
"57","+9.973190017e+01"
"128","+5.336743654e+01"
"143","+3.774905604e+01"
"316","+1.834802500e+01"
"522","+1.389840326e+01"
"889","+7.528342826e+00"
"1325","+4.518325091e+00"
"1350","+3.508534377e+00"
"2073","+2.316253068e+00"
"2339","+1.280451391e+00"
"2489","+6.144315041e-01"
"2654","+3.079503920e-01"
"2729","+2.312498743e-01"
"2837","+1.118126710e-01"
"2956","+6.855418061e-02"
"2981","+6.251501072e-02"
"3052","+3.183875865e-02"
"3053","+2.144761643e-02"
"3077","+1.074815521e-02"
"3176","+8.875224224e-03"
"3260","+6.297591199e-03"
"3301","+2.418426487e-03"
"3337","+8.434481387e-04"
"3362","+4.451401389e-04"
"3527","+3.595856455e-04"
"3559","+1.479687317e-04"
"3649","+8.583774893e-05"
"3684","+4.585834311e-05"
"3734","+3.913909977e-05"
"3777","+2.297236134e-05"
"3805","+1.237265852e-05"
"3852","+8.958654007e-06"
"3922","+5.677718377e-06"
"4119","+2.225019237e-06"
"4142","+1.173525995e-06"
"4192","+9.113703214e-07"
"4333","+6.127036940e-07"
"4391","+1.527659350e-07"
"4463","+8.358554737e-08"
"4617","+4.662376085e-08"
"4661","+3.084058164e-08"
"4697","+2.173337776e-08"
"4710","+1.381088310e-08"
"4756","+6.635161753e-09"
"4760","+5.879677190e-09"
