"x","y"
"1","+5.461267923e+01"
"55","+2.499130844e+01"
"103","+1.488849511e+01"
"143","+5.383359077e+00"
"304","+3.489191630e+00"
"312","+1.271973809e+00"
"321","+9.952510611e-01"
"3783","+5.131116821e-01"
"3814","+3.683602347e-01"
"3963","+2.214334024e-01"
"3983","+1.542455958e-01"
"4005","+7.759915643e-02"
"4192","+4.523503601e-02"
"4198","+9.918556730e-03"
"4202","+3.982686619e-03"
"4212","+3.247525060e-03"
"4227","+1.099323667e-03"
"4348","+6.821124035e-04"
"4416","+3.378685185e-04"
"4532","+5.830224013e-05"
"4591","+2.312703910e-05"
"4623","+5.024898570e-06"
"4633","+9.712301789e-07"
"4636","+4.586359807e-07"
"4642","+3.204683310e-07"
"4645","+2.178368206e-07"
"4648","+1.301639045e-07"
"4651","+9.818937485e-08"
"4655","+2.662370235e-08"
"4660","+2.090696682e-08"
"4663","+1.244337966e-08"
"4669","+6.496918559e-10"
