"x","y"
"1","+3.882780144e+06"
"5","+2.712828636e+05"
"32","+7.256505423e+04"
"45","+5.490281826e+03"
"100","+2.049403742e+02"
"415","+1.375811403e+02"
"790","+8.848330905e+01"
"1082","+5.223656289e+01"
"3415","+3.849003696e+01"
"3513","+2.489417676e+01"
"3735","+1.492251292e+01"
"3986","+9.414611471e+00"
"4157","+5.984141315e+00"
"4290","+3.827365705e+00"
"4381","+2.510432226e+00"
"4413","+1.454667536e+00"
"4537","+8.066604373e-01"
"4568","+5.981895276e-01"
"4597","+2.934900531e-01"
"4693","+2.456004235e-01"
"4718","+1.413544614e-01"
"4821","+8.698368873e-02"
"4841","+5.894764838e-02"
"4859","+3.922441340e-02"
"4948","+2.113899786e-02"
"5033","+1.498900491e-02"
"5078","+6.464905924e-03"
"5124","+5.814626186e-03"
"5164","+2.915988946e-03"
"5198","+1.818210843e-03"
"5352","+1.423502636e-03"
"5404","+8.062794274e-04"
"5437","+4.967681868e-04"
"5438","+3.610811634e-04"
"5476","+1.666049274e-04"
"5527","+1.323313128e-04"
"5583","+8.847304558e-05"
"5608","+4.734447032e-05"
"5632","+3.197124671e-05"
"5666","+1.889387643e-05"
"5760","+1.011649064e-05"
"5783","+8.583019337e-06"
"5847","+3.605146489e-06"
"5921","+2.464487153e-06"
"5941","+9.007494697e-07"
"6149","+5.419778262e-07"
"6174","+3.935336252e-07"
"6221","+2.213632087e-07"
"6229","+1.247005486e-07"
"6258","+9.304000059e-08"
"6294","+3.313923003e-08"
"6395","+2.308281921e-08"
"6436","+1.195992638e-08"
"6465","+9.408765322e-09"
