"x","y"
"1","+1.902306456e+04"
"3","+8.867082703e+03"
"10","+5.763597241e+03"
"11","+6.360244485e+02"
"17","+5.154492921e+01"
"20","+2.791663181e+01"
"33","+2.502786434e+01"
"50","+1.238049518e+01"
"53","+2.226422419e+00"
"54","+1.027362834e+00"
"75","+1.797067232e-01"
"78","+9.452732219e-02"
"181","+6.163266742e-02"
"279","+3.903897413e-02"
"342","+1.700672468e-02"
"378","+1.004999912e-02"
"391","+3.919056841e-03"
"399","+1.143906023e-03"
"404","+4.928673997e-04"
"490","+2.659485605e-04"
"492","+2.333717502e-04"
"501","+3.159445693e-05"
"516","+1.855322741e-05"
"527","+1.246395698e-08"
"592","+1.146787554e-09"
