"x","y"
"1","+1.123200086e+09"
"5","+5.133641089e+07"
"10","+6.313775249e+06"
"11","+4.828124483e+06"
"13","+1.009101010e+06"
"46","+7.678221863e+05"
"59","+3.263269483e+05"
"60","+2.035245776e+05"
"79","+1.150429565e+05"
"81","+5.374675248e+04"
"101","+2.399480915e+04"
"112","+5.362996910e+03"
"134","+9.724971319e+02"
"150","+2.920573420e+02"
"180","+2.830718922e+01"
"278","+1.929961929e+01"
"292","+1.561631825e+01"
"320","+9.551875684e+00"
"324","+2.465621469e+00"
"371","+9.942846229e-01"
"815","+6.292754564e-01"
"1084","+3.957463055e-01"
"1296","+2.395788419e-01"
"1455","+1.529629315e-01"
"1582","+9.825170229e-02"
"1733","+6.191574930e-02"
"1798","+2.944008888e-02"
"1808","+1.784241248e-02"
"1947","+1.584612386e-02"
"1981","+8.535932351e-03"
"1998","+4.761924790e-03"
"2006","+3.914394408e-03"
"2036","+2.107268181e-03"
"2182","+1.487675525e-03"
"2349","+9.625452117e-04"
"2413","+6.040809906e-04"
"2510","+3.901142843e-04"
"2600","+2.486478540e-04"
"2726","+1.501102883e-04"
"2828","+9.432561377e-05"
"2948","+5.790648891e-05"
"3010","+3.772011308e-05"
"3020","+2.354700275e-05"
"3073","+1.583992108e-05"
"3094","+9.143029679e-06"
"3185","+6.188053725e-06"
"3267","+3.966008251e-06"
"3317","+2.241583978e-06"
"3370","+1.284267583e-06"
"3392","+7.748446578e-07"
"3403","+5.421646208e-07"
"3598","+3.976511849e-07"
"3638","+2.460107709e-07"
"3689","+1.556484506e-07"
"3701","+9.159931835e-08"
"3728","+3.981845254e-08"
"3745","+2.831761492e-08"
"3800","+2.214341777e-08"
"3914","+1.564477969e-08"
"3977","+7.386667278e-09"
