"x","y"
"1","+3.143337486e+06"
"4","+5.316680628e+05"
"57","+3.052122553e+05"
"83","+1.362708922e+05"
"112","+2.644463600e+04"
"125","+1.055927436e+04"
"133","+9.386482972e+03"
"152","+4.437439705e+03"
"169","+3.002337022e+03"
"194","+2.173380874e+03"
"304","+1.561274723e+03"
"579","+9.979221560e+02"
"930","+5.880448099e+02"
"1097","+3.851162583e+02"
"1404","+2.487540223e+02"
"1577","+1.496324257e+02"
"1705","+9.727537171e+01"
"1936","+5.422996192e+01"
"2002","+3.252314556e+01"
"2018","+1.719556373e+01"
"2121","+1.422618227e+01"
"2143","+9.363723609e+00"
"2154","+4.667425049e+00"
"2183","+3.076748931e+00"
"2185","+2.155845655e+00"
"2309","+1.296816620e+00"
"2357","+8.888261725e-01"
"2648","+2.626648292e-01"
"2693","+2.445228064e-01"
"3283","+1.558812588e-01"
"3959","+5.328067152e-02"
"4572","+3.702089484e-02"
"7825","+1.604160112e-02"
"7923","+1.440468672e-02"
"8113","+9.144883011e-03"
"8746","+6.066126546e-03"
"12346","+2.288195987e-03"
"12375","+5.002386613e-04"
"12946","+3.917393816e-04"
"13128","+2.489993850e-04"
"13834","+1.447037724e-04"
"15055","+9.966164703e-05"
"15434","+3.250776047e-05"
"15475","+9.239518249e-06"
"15528","+5.682022334e-06"
"36922","+1.235022864e-06"
"37106","+9.684065390e-07"
"37396","+5.475031912e-07"
"37780","+3.357209835e-07"
"37830","+2.424336571e-07"
"39572","+1.527861286e-07"
"40378","+8.472454738e-08"
"40561","+6.019865850e-08"
"42218","+1.306193553e-08"
"42764","+8.401457308e-09"
