"x","y"
"1","+2.279471181e+07"
"390","+1.423004445e+07"
"525","+8.377853166e+06"
"897","+5.507604487e+06"
"1160","+2.081166262e+06"
"2011","+7.915896155e+05"
"2104","+6.049693922e+05"
"2552","+3.578142769e+05"
"2951","+2.365592914e+05"
"4580","+1.482275377e+05"
"5732","+8.787464777e+04"
"6747","+5.769317642e+04"
"8111","+3.088874816e+04"
"9615","+2.395107985e+04"
"11856","+8.255072414e+03"
"13988","+4.474935202e+03"
"16472","+3.840547996e+03"
"21033","+1.940430826e+03"
"25305","+1.542384562e+03"
"32049","+9.980265184e+02"
"34202","+6.129827257e+02"
"43584","+3.829296789e+02"
"44226","+2.367263112e+02"
"47898","+1.379467369e+02"
"55001","+8.411203429e+01"
"69643","+5.402052646e+01"
"84217","+2.996812457e+01"
"96327","+1.599625455e+01"
"107129","+1.552576317e+01"
"225512","+8.954374461e+00"
"330333","+6.118933787e+00"
