"x","y"
"1","+1.869482653e+09"
"10","+1.226514427e+09"
"27","+6.011888642e+08"
"29","+3.248099686e+08"
"30","+1.861125255e+08"
"35","+1.437247028e+08"
"48","+9.939199297e+07"
"62","+5.855904753e+07"
"98","+1.902467458e+07"
"103","+9.883218006e+06"
"120","+5.269005654e+06"
"161","+3.970866992e+06"
"210","+1.990427067e+06"
"255","+1.395346869e+06"
"369","+9.077787582e+05"
"481","+6.144831140e+05"
"550","+3.597039550e+05"
"680","+1.818636234e+05"
"727","+8.939260422e+04"
"1956","+3.299916744e+04"
"2632","+2.098485631e+04"
"2791","+1.504757766e+04"
"3899","+8.952509085e+03"
"4586","+3.686834428e+03"
"5402","+2.473575636e+03"
"5686","+7.900277864e+02"
"8118","+2.451288412e+02"
"17922","+1.537615700e+02"
"19605","+9.451011025e+01"
"24145","+5.363435880e+01"
"27798","+3.736526659e+01"
"48566","+2.398014909e+01"
"70350","+1.168542630e+01"
"84637","+6.810009851e+00"
"96169","+5.146514307e+00"
"115305","+3.828950776e+00"
"129994","+2.009369833e+00"
"174969","+9.490077396e-01"
"257172","+5.230445180e-01"
"330500","+2.441756153e-01"
