"x","y"
"1","+8.837021891e+00"
"28","+6.146678089e+00"
"31","+3.613263287e+00"
"33","+1.782964573e+00"
"34","+1.275585636e+00"
"58","+9.851713358e-01"
"66","+5.114773389e-01"
"68","+2.871400685e-01"
"71","+1.904833050e-01"
"74","+1.043734095e-01"
"77","+2.617489835e-02"
"80","+2.162564411e-02"
"86","+3.845913383e-03"
"87","+2.268396945e-03"
"94","+1.354688349e-03"
"97","+8.191398208e-04"
"99","+1.333486081e-04"
"107","+6.109177749e-05"
"113","+2.833636426e-05"
"115","+1.808581352e-05"
"117","+1.035015295e-05"
"119","+8.184764233e-06"
"121","+4.409543653e-06"
"124","+1.351377383e-06"
"127","+9.904761882e-07"
"133","+2.659776932e-07"
"137","+2.343324930e-07"
"138","+1.516610091e-07"
"141","+6.152570897e-08"
"147","+2.909928831e-08"
"150","+1.143554940e-08"
"153","+7.958435688e-09"
