"x","y"
1,3067019.064
1,57270621.25
1,6662772.949
1,3897.028354
1,1856209.097
1,1586246.117
1,3837893.706
1,2078985.94
1,2181025.487
1,9287558.166
1,21128880.23
1,1879630.496
1,9440464.09
1,8828687.892
1,10648871.04
2,1272261.649
2,1501128.637
2,2402495.71
2,4567084.697
2,15266116.71
2,176082.5758
3,23571698.95
3,54824.7715
3,78181.27227
4,12678.934
4,40632.07535
4,141575.0702
4,1156156.71
5,1208536.801
5,752971.9258
6,127060.4922
6,1588558.944
6,720345.8708
7,1364831.845
7,2165764.579
7,3799963.506
8,26356.25847
8,165913.8762
8,63394.08851
8,116268.5504
8,333796.0237
9,3898.268425
9,11656.55851
10,6432028.517
10,105373.5407
11,33518.82197
12,306109.3612
12,18543.44915
13,57730.83373
13,39068.50426
14,7172.683957
15,2214833.489
15,138807.4942
16,2090.407118
18,1248.261292
18,604.6438127
18,2186683.031
19,26.97408798
20,699408.0348
20,50798.11674
22,3670.810559
23,202030.9666
23,3926.500987
24,121743.6273
24,1564.44816
25,919121.057
26,38260.72092
26,380534.061
27,81012.20914
28,14488.02129
29,984.4365063
30,7215.882021
31,8350.87712
33,125053.3776
34,8497.992536
39,4365.349821
40,3751.844652
40,1102.654166
44,183.7085389
46,100.3617398
48,14838.34138
49,58651.1957
50,55.76160351
51,74.53954452
51,76.02263158
52,136.5713562
53,8.881558959
56,27167.87986
56,5505.045671
57,884.1548042
57,256.4986479
61,17842.05297
63,964.5440386
64,3632.919728
64,54.40973905
67,48.74880049
73,3302.584855
74,20.19216726
75,884.3873256
80,186.6463958
82,272.8957416
82,194.1261085
82,377.1562759
83,450.8643145
83,2029.517688
84,1243.335962
88,2.807679833
89,973.1655652
93,85.54587785
93,6.711166153
94,27.72976303
95,73.76734369
95,200.0337112
96,969.2658576
98,40.54481081
98,19.54796074
103,47.63517497
104,39.62812346
104,42.65084598
104,2.789299731
105,11.37025074
106,49.40886664
106,9.147149153
108,14.70637448
108,0.8929471779
110,15.26014445
112,2.844444348
113,8.585051107
114,3.902800029
115,6.846501854
118,15.56059529
121,28.73000191
127,0.4416952813
128,44.32538058
130,227.8528035
137,9.175431919
143,2.217422155
146,25.04424703
149,2.879733596
152,138.8792903
157,0.6779752962
160,34.71254105
162,0.06346048791
177,4.73953653
181,0.04056192654
188,2.176524542
190,89.02796779
192,0.2849047526
204,0.3276551008
205,0.04852502639
206,0.05028775554
