"x","y"
1,303944.707
1,336924.0423
1,136783.893
1,94379.9627
1,268576.834
1,78463.51039
1,192823.7959
1,135624.7721
1,226197.4469
1,260701.8989
1,162327.2574
1,93003.7875
1,158590.8947
1,149151.9958
1,107488.7881
2,18319.85715
2,18319.85715
2,18319.85715
2,18319.52489
2,18319.66089
2,18319.81426
2,18319.85715
2,18319.66089
2,18319.66089
2,18319.81426
2,18319.52489
2,18319.66089
2,18319.66089
2,18319.85715
2,18319.85715
101,14569.86893
119,11480.52054
122,15305.26738
125,7270.696588
135,15156.90165
135,14647.09896
142,8205.822992
152,15238.93821
157,12105.53818
158,7153.455957
159,13455.12284
160,14731.50183
160,6503.25556
165,5874.90737
171,1968.202759
171,3150.182173
172,5619.533006
181,2942.071058
183,13380.96041
186,9291.391593
190,2996.748023
198,8714.323481
198,5288.117134
201,7785.477126
204,7529.240382
204,1231.379124
209,11560.14482
222,4847.752677
223,9689.771419
226,4495.76451
230,3203.419213
231,9267.635213
232,2277.071515
232,9328.064632
235,3746.554468
235,705.6146129
237,1373.443395
241,7088.817182
245,3291.791694
245,5209.071823
246,5908.31159
258,3911.446031
260,2288.919568
260,568.6650578
260,2577.190005
266,918.5452547
271,1613.932636
272,2341.029524
272,1324.847396
276,2177.347084
282,1252.594305
282,5646.292396
284,76.49500114
284,1921.08717
286,3443.334026
286,2259.375692
292,7097.510367
293,3395.160848
297,776.384867
297,933.2416925
297,4.89087631
299,1437.699166
299,3638.394893
302,292.6406143
302,567.6783999
303,1205.935675
303,646.108152
305,996.0088292
306,458.8777184
307,414.8988973
308,1212.051727
318,904.9649233
319,970.2878867
319,101.4726643
331,294.5918096
331,377.275948
336,347.8631635
342,127.0819538
344,1218.866541
345,322.3421059
346,7.840844114
348,139.3955927
348,123.2253932
353,257.2594414
353,87.34562823
366,4.232092812
376,4.917118873
383,52.61494712
384,52.2930889
385,132.5474919
389,1520.101471
389,459.7315589
389,181.0371356
391,32.4511947
401,75.73048482
405,196.4073113
406,45.63195577
410,42.39436035
417,36.06936042
419,672.8054535
419,5.111115202
426,418.1048952
426,169.5208534
430,3.658514186
437,23.12122473
438,139.6619097
439,3.849140414
440,4.430880951
449,4.821028905
450,144.4686138
450,809.3890736
456,3.477348224
459,620.2131142
460,13.74761816
460,9.299384943
464,3.69491533
465,6.471083634
468,91.26479943
471,382.0120031
483,4.189705836
483,82.76082728
486,16.66711438
491,6.226214725
494,18.20239337
495,14.06856121
498,3.694992981
499,3.288865466
500,6.614075974
500,12.91067344
502,125.8047517
508,3.970238351
511,77.61104837
517,3.947404341
518,5.953675596
531,4.147886806
534,3.907736993
545,7.998800105
547,3.561545435
557,3.779989056
560,3.407827578
565,8.644363817
565,3.582839209
578,4.944088799
582,3.559713846
644,3.875662813
987,2.167176678
1248,1.583319977
1341,2.415269767
1405,2.48857326
1420,2.484082793
1445,2.506147671
1461,2.437138607
1556,2.290929951
1618,2.463706699
1639,2.418727235
1668,2.39545706
1750,2.510014347
1830,2.444239391
1927,2.198906625
2200,2.492179867
2358,2.419211366
2379,1.57978646
9580,1.579567226
10463,1.584380083
22421,1.555319415
48320,1.566201995
53983,1.583091565
96468,1.549583656
101468,1.550291116
106126,1.570537998
106980,1.54469786
108360,1.575010957
117908,0.9995917346
135760,1.552481534
141329,0.9408404654
152753,1.577505568
195253,0.9892282012
202242,0.9958405108
206612,0.9998234916
209511,0.9661593877
211952,0.9683545405
221317,0.6235403355
221507,0.9934857974
235233,1.269306786
241223,0.9997451861
246807,0.9934930525
266051,0.9996613239
357546,0.9431869564
365043,0.9619838344
380250,0.9976743344
381709,0.6024091785
441138,0.6005585473
532523,0.5472246334
539299,0.3861620292
554324,0.6295834861
668941,0.9881957886
840603,0.6199150161
852118,0.6123813873
859393,0.6094505225
1176885,0.626930972
1213602,0.6221898262
1358093,0.5869772248
1368133,0.3801071276
1377433,0.6007663164
1476981,0.6211262434
1631187,0.5956706191
1966464,0.6307249094
2461744,0.386919672
2504910,0.3793686617
2679209,0.2485149508
4121026,0.3973212634
5203902,0.3974718177
5711112,0.3892455692
5886717,0.3822377088
6090064,0.3938089112
6166277,0.3701295987
7979373,0.3968516774
9690655,0.3779330285
10349834,0.2478933314
10464966,0.3968418905
13134283,0.3770430597
16532789,0.3936671477
