"x","y"
1,175547.3381
1,108053.399
1,362857.0185
1,151535.7542
1,209026.7022
1,398731.7765
1,235787.5648
1,106474.5434
1,287808.4346
1,211353.2224
1,177644.2399
1,132018.6428
1,258515.2842
1,82738.67765
1,423860.5543
2,174261.1116
2,82848.07047
2,183553.3779
2,171833.151
2,142469.601
2,146111.0572
2,208437.3919
2,216811.4807
4,132858.1127
4,123418.2764
4,84306.33266
4,95650.49658
4,123676.6872
4,91837.36018
7,78603.35406
7,97786.11502
8,96041.74672
8,82511.77974
9,81604.68202
10,90876.9849
10,82443.98737
10,36663.46888
11,82528.75319
11,99704.06358
12,46970.84608
14,36995.06336
14,42108.67281
14,53418.73333
15,61761.95291
19,29784.40676
24,60144.94602
25,35781.86897
26,24461.23999
26,18313.60686
28,58321.35914
30,62418.93759
31,54546.6875
34,42302.01455
35,28923.07035
35,28790.00782
35,25421.91048
36,36412.17773
36,29775.0988
36,38175.54418
38,31804.98226
38,15883.21412
45,7977.02849
46,31653.51417
47,17234.23609
48,23517.65318
49,39490.10338
50,38018.1113
54,24629.58872
56,5531.24525
59,20685.12556
60,15612.82442
60,24162.73158
62,15221.21557
73,15522.23546
75,23852.12562
78,8853.368427
79,15467.14972
81,12004.04661
90,4017.167714
93,19859.36658
95,22039.98718
96,15630.25084
102,2453.165532
113,9662.350935
115,12909.25783
116,15528.6058
127,14786.65756
130,37872.25207
139,3609.350959
141,1553.673583
146,9985.770087
155,15675.62779
184,6121.099416
192,15572.48371
196,9664.121799
207,15466.36163
215,7811.846104
218,9617.113684
220,5848.998381
227,2505.24381
237,9751.706661
250,24332.43761
255,9900.87422
258,6168.471626
265,9736.852622
266,6147.602198
269,9664.893596
285,3583.780377
298,977.8762776
305,9782.111981
308,8964.452282
321,6291.20234
338,1571.3025
342,3811.469009
347,15670.44011
358,604.576459
363,6110.225284
367,6307.630358
375,3657.166128
378,6069.540227
382,3796.238721
420,5969.871497
422,5898.566458
425,2308.508411
427,2379.187498
441,3405.963379
445,3955.701344
448,2309.277179
449,9868.920121
452,6265.466835
464,3749.091347
468,381.9426111
473,3939.817539
491,2291.459435
507,3891.030693
521,1433.021847
527,2470.711316
529,1548.671352
539,6304.962727
550,1571.675706
553,2493.196715
559,3759.66196
560,1573.475529
570,3751.315678
570,975.7031266
575,2443.437785
584,1499.063458
585,2500.57278
604,2509.325346
605,899.957645
