"x","y"
1,18319.61741
1,18319.61741
1,18319.61741
1,18319.61741
1,18319.61741
1,18319.61741
1,18319.61741
1,18319.61741
1,18319.61741
1,18319.61741
1,18319.61741
1,18319.61741
1,18319.61741
1,18319.61741
1,18319.61741
23,1879.997795
23,1879.997815
23,1879.997813
23,1879.997802
23,1879.997799
23,1879.997811
23,1879.997824
23,1879.997831
23,1879.997801
23,1879.99781
23,1879.997823
23,1879.997815
23,1879.997783
23,1879.997833
23,1879.997817
69,373.4624369
69,373.46311
69,373.461947
69,373.4619949
69,373.4617602
69,373.461434
69,373.4617414
69,373.4614801
69,373.4641142
69,373.4624759
69,373.46189
69,373.4613763
69,373.4628086
69,373.4629711
69,373.4616733
93,228.7856394
93,228.7895591
93,228.7894157
93,228.7880671
93,228.8035407
93,228.8035517
93,228.8037574
93,228.8036037
93,228.7817401
93,228.7880246
93,228.7879195
93,228.8035565
93,228.7998438
93,228.799522
93,228.8035666
115,8.722576541
115,8.727379916
115,8.722170307
115,8.72833303
115,8.729875134
115,8.724614709
115,8.729919509
115,8.729806122
115,8.720882629
115,8.723070887
115,8.726937061
115,8.724612459
115,8.723936344
115,8.723877805
115,8.724627935
138,5.298002208
138,5.298250223
138,5.297991936
138,5.298294534
138,5.298352075
138,5.298088428
138,5.298363224
138,5.298344426
138,5.297913522
138,5.298043233
138,5.298232618
138,5.298089234
138,5.298039784
138,5.29804534
138,5.298096625
204,3.625655444
204,3.626984009
204,3.62703477
204,3.627377983
204,3.62608971
204,3.625835341
204,3.624347922
204,3.625699374
204,3.627637415
204,3.628261881
204,3.627377493
204,3.625827846
204,3.625123585
204,3.624382303
204,3.623959031
398,2.468364401
422,2.44749988
444,2.505395923
450,2.507727453
450,2.507448788
487,2.493256324
509,2.477877327
510,2.475958812
553,2.460926173
558,2.473023267
646,2.468236378
661,2.489163189
681,2.510758003
686,2.48046059
730,2.495126089
3141,1.583511077
3306,1.551237641
5643,1.580237582
5871,1.581938839
6849,1.554193462
8870,1.56386849
13839,1.582712224
13922,1.577192063
17716,1.568364235
18056,1.530770395
23515,1.567558943
29245,1.578356123
30182,1.582950162
30731,1.583253315
50639,1.567171232
69647,0.9793017453
116361,0.9987156156
120769,0.9972147595
136309,0.9987583182
174571,0.9922887759
186831,0.9917574913
224445,0.9980659756
276628,0.9943875145
294783,0.9922689352
