"x","y"
1,75.89040402
1,18.88075966
1,63.64137033
1,64.62966032
1,71.32795736
1,98.07423254
1,71.9912265
1,6.692366946
1,32.54270768
1,48.34204654
1,37.03567287
1,70.8125096
1,67.01373963
1,69.87929578
1,11.58135429
2,57.31221902
2,43.70914404
2,7.443947783
2,14.57979527
2,5.952467657
3,15.20310074
3,15.30628122
3,33.10964327
3,5.596551684
4,4.454551768
4,48.92423866
6,37.17164689
6,16.54913793
6,8.575211306
9,32.81859649
9,11.3967441
11,14.22110667
13,10.8928581
14,9.584276039
15,5.443587617
16,4.66548936
18,16.51519912
18,7.891192806
19,15.43587566
21,6.668175199
22,3.999913806
28,2.182557249
33,7.790794514
34,3.122266599
35,9.929033668
35,3.300200427
40,2.666419463
43,4.884408429
44,3.310743167
50,6.214270709
64,4.873112462
70,0.1861158688
89,3.98172982
94,0.7658804998
97,5.528637862
99,2.026158047
99,0.9929720861
104,1.421085472e-14
108,2.316135881
117,2.40369454
120,0
121,0.8207991695
122,1.897467477
127,3.454661554
136,0.04566833372
136,0.5564508
139,0
142,1.678981564
146,2.078138703
158,2.107580947
161,0.02773359609
162,0
177,3.600016561
182,1.361369887
185,2.923144753
194,1.436143732
201,0
216,-7.105427358e-15
218,0
232,2.664535259e-15
262,0.09813417934
280,0.7976647265
308,1.849942759
313,0
317,0
318,0
324,0
328,0.496273604
333,0.6985844066
347,0
383,0.5552540108
385,0
499,0
