"x","y"
1,1471298.864
1,10561145.57
1,10076462.85
1,9296566.86
1,23726.67881
1,3741296.289
1,64222008.14
1,886533.6465
1,37348364.5
1,22736472.05
1,1937057.251
1,1131349.834
1,507933.5617
1,412513.1517
1,5664460.795
2,2874307.801
2,2105826.857
2,59025571.16
2,7986412.889
2,237069.9575
2,218613.1279
2,2811534.78
3,858386.2142
3,4240820.807
3,60499.39856
3,543969.4163
4,1523988.007
4,2533848.834
4,374339.5763
5,286072.4113
5,807825.0187
5,696824.3554
6,32030.32196
6,165009.8713
7,185849.3217
7,71263.92885
9,508685.501
10,862262.7068
14,170337.4348
15,569213.5854
15,291138.4173
16,412036.2405
17,157518.479
19,24900.8396
19,7391.597338
19,190643.8878
20,208570.7726
21,181110.376
26,297586.9392
27,111724.7733
28,105090.4077
29,76500.95114
30,60628.40276
32,54995.65345
35,75171.49544
40,270175.3973
40,24287.62316
49,15854.32737
49,143544.5854
53,84214.98174
58,163974.2094
62,8279.497653
63,60451.8034
70,31162.33547
80,8847.439749
87,23023.7987
99,70747.21022
103,14741.18384
103,36768.19399
108,7800.913207
115,8233.368642
116,35502.4839
119,14643.18628
126,2787.891216
138,17460.83676
142,20144.09718
155,8631.128419
155,123981.1659
161,33307.73069
177,23664.56803
182,6339.209552
185,3745.461184
195,5736.66371
202,61745.96064
221,37040.97815
222,5282.747149
225,4504.91278
226,23886.9255
232,5668.287046
263,23983.82159
267,6022.94771
273,2525.636649
275,1193.780544
306,5589.650909
317,3883.039848
358,7700.723484
386,5903.701598
419,8557.888868
440,2216.901267
442,2064.087611
444,2901.963539
454,801.9021418
467,2162.238163
486,2359.488661
491,3275.176994
601,5868.918257
620,4085.645607
667,3049.335515
683,2174.361481
718,8989.649276
720,4605.277064
731,806.1967236
745,1616.746381
758,2332.414357
766,1449.234314
784,1540.288186
851,1044.63187
874,740.0844661
884,288.1019778
892,154.4164795
901,3644.992194
915,992.4800586
976,851.7564018
1146,385.2029523
1153,283.3847183
1238,477.5773417
1277,600.9271253
1293,1070.83269
1326,960.8750774
1336,735.0888017
1351,601.6997596
1377,886.5831642
1431,15.31283535
1467,3446.539671
1481,2418.835088
1520,1340.085507
1574,213.161428
1591,57.78534567
1599,511.3477002
1603,375.4669263
1619,1184.874433
1700,411.6905322
1774,192.967304
1861,405.4934249
1999,628.5411511
2007,276.0501905
2018,395.9479444
2030,337.4241602
2069,1211.20954
2206,169.6065321
2250,873.6811294
2286,152.3717071
2446,245.3864547
2460,349.8705838
2481,210.6843028
2574,204.3863166
2646,143.2641854
2653,109.9732946
2661,38.28714728
2701,358.6242651
2787,54.39071444
2804,243.490084
2806,200.5990719
2967,81.4051213
3041,203.2925812
3063,599.0193217
3271,75.33881482
3301,76.64663647
3367,82.80792137
3371,377.7758716
3443,239.1260861
3522,30.21784977
3528,21.40173049
3669,53.12664243
3740,14.0023659
3800,125.0366798
3830,109.8246313
3854,35.41623682
3891,92.47320696
4100,96.62703502
4150,20.64177403
4206,132.6110661
4215,36.8930901
4370,4.854439174
4617,33.71253593
4744,8.177356616
4803,24.03068504
4831,15.6988023
4928,134.9256117
5329,69.65274113
5474,35.35088389
5484,138.3163549
5505,2.467957781
5588,8.467725228
5683,13.65865171
5730,8.77685884
5791,60.11924657
5797,47.94223638
5855,90.91772965
5966,47.82729889
6001,3.978928666
6014,94.17144295
6253,17.54062843
6548,51.69846574
6555,35.5044071
6800,56.52660778
6985,13.64091402
7149,4.416185575
7151,11.89041052
7245,8.114788082
7342,9.367730667
7374,9.149038981
7616,26.61942414
7658,33.59651374
7670,6.841647391
7788,7.833479318
7880,36.24802911
7983,15.27585889
8223,1.150426402
8306,4.345863974
8473,20.97444928
8484,1.922092777
8706,13.61059296
8717,3.349332926
8769,24.41839131
8849,6.120455932
8899,3.974110131
8917,2.654838319
8946,1.851254157
9077,1.453276641
9142,10.04002246
9202,17.83305757
9248,5.147710054
9331,8.59734694
9361,1.466705128
9543,7.080550435
9566,1.663593371
9661,15.15001291
9677,0.9953796066
9737,0.4367726549
9906,2.888614588
9910,4.529326594
9953,3.385442914
9968,0.9312172193
10034,9.997342779
10203,0.9925787529
10230,0.2086171474
10246,13.31910102
10514,5.555693211
10514,1.524898276
10529,0.3982022167
10549,5.131237877
10779,5.247239897
10789,6.152843296
10798,1.576632545
10887,1.152236685
10966,1.076326167
11023,0.9527593217
11142,0.6131817451
11212,6.221618421
11238,1.246137614
11280,0.3348074996
11353,0.6121252888
11387,3.486082317
11473,0.3080307602
11572,3.368942926
11693,2.44384976
11697,0.2658380302
11729,3.014732162
11779,0.1504579791
11841,3.875992858
11896,0.5126590726
11907,0.3730070091
11989,0.08165169499
12068,1.928155762
12215,3.856578643
12290,1.843199236
12323,0.942481535
12394,0.224675915
12508,3.22651626
12520,1.773520995
12720,0.8383479666
12838,0.285302545
12873,0.5435471446
12901,0.07895953034
12984,0.3245348009
13084,0.8757652154
13120,1.289003565
13445,1.705860866
13558,1.660532032
13646,0.1401804015
13772,0.05947701917
13804,0.1177690217
13850,0.2302196498
13881,1.532574541
13941,0.9984158877
14011,1.55575482
14160,0.06412854046
14193,0.6416113597
14216,0.243584049
14353,0.6281273639
14425,0.0833676159
14512,0.5675061579
14638,0.212112387
14666,0.05869264056
14887,0.0115682137
15247,0.2603623481
15372,0.06067983772
15761,0.4126666976
15858,0.01404575185
16161,0.3550611367
16186,0.03713444302
16383,0.410764234
16415,0.3769120668
16600,0.3769977044
16624,0.08081866855
16747,0.04438259164
16801,0.1017236221
16864,0.06807215113
16874,0.03358094965
16876,0.2459304841
16950,0.2363540684
17079,0.3357482491
17082,0.1325833853
17239,0.1645277766
17436,0.01023852581
17478,0.104750575
