"x","y"
1,12.53398105
1,301.2892492
1,346.5623999
1,83.40418923
1,108.154264
1,471.3110253
1,193.2144172
1,413.3764372
1,186.2396834
1,69.60866477
1,53.89637965
1,99.14607594
1,566.5058283
1,188.187528
1,52.38844669
5,83.92078106
5,22.16878679
5,161.5813043
5,204.7050154
6,26.84535721
6,140.1575001
7,27.2290767
8,9.235095091
8,4.520663222
8,59.95718559
9,6.860802376
9,120.7925722
9,8.242587702
9,52.49244331
9,25.21201054
9,19.36129877
9,25.16198588
10,22.59498839
11,39.58646355
13,89.42666905
13,62.76072205
14,31.22929951
17,2.376562524
19,19.65177485
21,31.92526447
22,5.36525387
22,39.10506508
24,9.162406386
31,15.77195664
32,31.15993844
34,9.801578111
36,1.359092275
38,8.495758143
39,5.385980684
43,3.636053165
45,24.01194531
48,5.280898632
49,20.34204326
51,11.09094398
52,3.221248429
52,8.378686505
53,3.101753812
62,1.795693604
67,8.631076915
79,11.34090019
81,8.69348181
85,2.192673346
87,2.442552841
103,9.406447123
105,3.129070607
113,3.678617187
123,5.178394598
134,2.398471045
170,1.171088155
171,0.2944254736
175,6.124819736
175,1.199943363
177,1.869831485
181,4.654051938
186,2.515828611
195,0.8743360035
198,1.675487082
204,2.805338392
208,1.43255703
211,1.228728679
215,0.8136919842
215,3.534418606
222,0.7572448494
229,2.828521155
230,0.2669983018
235,2.038514233
242,0.7044537422
247,1.124047344
256,0.633098111
273,1.328492692
275,0.4125597159
284,0.6916789201
296,0.4391105116
303,0.3806427762
303,0.09013248512
303,0.5667281763
311,0.3323411858
315,0.3083111579
317,0.5296346902
317,1.407493458
323,1.505713057
324,2.087687487
328,0.3651067039
329,0.2801433429
419,1.561020837
504,0.2938937417
514,0.2418194116
515,0.6934509099
525,0.186756399
525,0.2074606241
526,0.2627636728
537,0.05030310634
562,0.09967128179
565,0.3050449774
576,0.08069621815
581,1.211324701
582,0.007527344648
584,0.102060012
595,0.1792072523
595,0.1563707141
606,0.03267087236
621,0.3518126053
628,0.0414246793
642,0.1583454009
660,0.0129113949
857,0.1324846086
872,0.07240218755
897,0.1393485377
898,0.210546187
913,0.1147082032
917,0.0308538702
923,0.008105351632
926,0.04906122145
928,0.2140134243
937,0.07373394126
943,0.020750711
951,0.07324675736
956,0.01166310946
968,0.06452336431
972,0.0246728979
972,0.01947724609
981,1.834757128e-07
982,0.1439769919
988,0.01881642925
990,0.09593884179
1002,0.005504590793
1004,0.01340037941
1117,7.483105691e-08
1125,8.770676629e-09
1171,0.05646860262
1189,0.02799593736
1190,0.01045758317
1198,0.01675487082
1201,2.674157429e-07
1213,0.009845747327
1221,0.07696133346
1237,0.01455787262
1245,0.007889253738
1246,0.03873597552
1250,0.04174400398
1255,0.01572189695
1260,0.007169262701
1274,0.03623314787
1299,1.799594145e-07
1309,0.00633098111
1311,0.01511274161
1311,0.0217622406
1313,0.005180641918
1326,1.752349021e-08
1381,1.566032779e-07
1431,6.753666071e-09
1514,0.007797742652
1519,0.002461436832
1520,0.003227848726
1522,4.260002142e-07
1541,4.453917057e-07
1565,0.01011888381
1580,2.608677363e-08
1587,0.005432090681
1652,3.735795495e-08
1663,2.710839908e-08
1674,2.999696846e-07
1683,1.894851565e-08
1699,6.293042532e-09
1703,1.984592899e-07
1703,1.70574439e-08
1709,1.004783741e-07
1714,1.144594108e-08
1721,8.809195151e-08
1725,6.222808491e-09
1778,1.694240837e-08
1790,4.231125672e-09
1838,4.104402933e-07
1877,1.543251926e-08
1883,4.122391601e-07
1885,2.652266176e-07
1895,9.66710445e-09
1895,3.809207101e-07
1915,2.064718956e-07
1920,2.387350264e-07
1928,1.240595111e-07
1931,0.03423315495
1936,6.309920764e-08
1942,1.447671139e-07
1961,2.170868356e-07
1981,8.142700381e-08
1989,0.003200964201
2005,6.011902087e-08
2017,3.549575922e-08
2021,5.577476259e-10
2029,5.396015013e-08
2033,5.886931831e-09
2185,0.01124047344
2193,7.894220744e-08
2197,1.557496603e-07
2229,3.497258554e-07
2275,2.715584984e-07
2290,0.005129634406
2294,9.396592304e-08
2318,6.010898801e-08
2365,1.457574683e-08
2370,3.57168517e-10
2372,4.894144467e-08
2376,8.061874723e-09
2509,5.539754966e-08
2522,1.204614364e-08
2551,3.370678314e-08
2572,1.092541879e-08
2586,2.191715502e-07
2606,0.006787946456
2614,7.335188457e-09
2624,5.063213848e-09
2910,2.000433952e-07
2949,1.964825813e-08
2971,1.167247401e-07
3001,5.466723252e-08
3042,7.612602104e-09
3070,3.772090551e-08
3078,9.46320533e-09
3241,3.446969004e-07
3339,3.587584274e-08
3365,8.58122462e-09
