"x","y"
1,17376.29871
1,39078.70576
1,41994.69811
1,16272.77393
1,24540.46287
1,44572.43664
1,12346.74104
1,38980.75635
1,16034.1935
1,35189.05852
1,15680.48124
1,8397.094648
1,27249.15135
1,9134.578257
1,21001.92502
13,20842.8374
13,13281.89658
13,12801.188
13,3913.188033
13,8381.239803
13,6246.953587
13,14217.78424
14,5280.913589
14,3606.650792
14,4665.455695
14,2287.101548
14,6224.601708
14,1861.465739
25,9361.357828
25,9656.05801
25,4673.4196
25,6717.864024
25,895.032183
25,2678.801392
25,2519.398862
25,2726.271815
26,2469.65955
26,1926.908385
27,1150.722837
28,1150.914074
36,3665.471233
36,4689.167055
37,2916.194502
38,327.1135009
38,1393.555094
38,2502.655555
38,1413.564431
38,1088.203298
38,1872.191327
40,883.363789
41,345.366838
48,2374.496584
49,13805.6619
51,229.8601026
51,900.3359573
51,554.4322164
51,1023.088239
52,3694.026731
52,1516.061384
54,228.3322048
60,2175.771582
60,1130.116881
62,203.7484573
64,1285.57273
64,924.2823797
65,594.5975052
67,155.6243539
69,134.0558933
72,833.4108719
73,787.6887403
73,7835.291998
75,2060.450506
76,952.4131952
78,524.7515194
79,1195.547189
79,318.5115564
86,608.3020962
89,1560.166362
90,110.9999803
90,544.8841293
90,146.1289785
90,626.7270893
90,387.7170788
90,186.8884817
91,529.9870987
92,447.3744945
98,79.57761499
99,320.2513927
101,429.3213135
102,193.9479552
103,71.36957786
103,204.9706957
103,95.26172406
104,806.8308695
104,259.254176
105,249.2255441
109,351.5789095
112,198.8180866
113,76.2626412
114,391.3513761
115,30.71667486
116,42.2737422
116,146.9561292
116,229.1271057
117,230.9926399
118,350.1096397
120,141.5238522
125,63.04940103
127,28.23944429
128,154.4171283
128,60.01841803
129,23.88271119
131,60.26834346
132,46.14639804
139,100.0092893
141,146.2790355
141,89.29181034
143,134.9934692
145,416.0034026
145,14.6937729
147,244.0792347
151,88.47125025
153,25.03103188
154,87.03633583
156,27.27926106
156,34.10198234
156,122.8676039
159,397.6601987
163,8.492624294
166,60.97157234
170,12.07143276
170,28.68967776
172,19.45267583
172,62.5148687
177,55.94006238
179,93.79521811
179,42.34357261
182,84.06608652
183,97.1525475
183,13.13842922
188,27.93997079
189,32.31646671
190,34.11806437
190,99.44176932
193,33.08763401
196,37.6318967
197,10.97542912
197,31.22621521
199,24.75934617
199,24.30402172
200,24.14763624
204,21.02584113
206,241.6340945
206,51.61153456
208,19.50519258
212,19.07050148
212,11.53163438
215,14.4790971
219,9.750662975
219,15.33779843
223,14.06218859
223,9.981413941
223,13.16693537
224,62.43140051
225,16.37921532
230,24.77205403
231,9.13385638
233,12.82095413
237,9.653432882
240,131.0490916
241,9.530104878
242,13.82244345
245,9.741322139
245,4.830251545
256,9.659061713
256,3.315741047
258,36.91848041
262,97.90186565
265,14.71919423
266,9.60558623
269,15.85929077
280,12.70829487
284,53.5805207
289,6.046479998
295,31.72401612
300,9.652304957
302,9.656044675
306,15.66332914
322,8.916605864
328,9.822084383
333,2.479334881
356,6.079471158
364,6.105712565
367,5.870528626
372,6.047683219
376,6.170170698
387,51.91664701
388,1.223088087
399,0.9374606922
401,6.238823225
413,36.63028701
425,23.50907558
433,0.5333360169
436,10.88215952
443,3.878847741
