"x","y"
1,45230861.86
1,178180141.4
1,216052948.2
1,105179663.8
1,53872506.41
1,2131123213
1,66096470.66
1,137448164.2
1,282454091.8
1,60780807.19
1,278562345.3
1,49245749.66
1,76567603.44
1,65782654.8
1,795369555.5
110,63043377.67
112,99190474.79
114,249437098.1
120,63044181.5
120,248652331.1
125,156805967.2
134,39105194.79
135,1504036716
138,152486709.6
140,620411382.3
141,99016047.44
146,146847227
150,39540813.1
153,149742278.1
154,988903266
155,38116323.66
156,98532894.33
157,92816307.3
159,85383549.53
159,390888445.3
160,60147803.97
160,58728598.24
162,24435406.03
163,629914830.7
163,37924757.31
163,99927206.44
165,61875792.39
166,39787520.89
168,304638892.2
169,38141202.86
169,245786542.2
173,160874125.3
173,52437623.13
174,36610090.12
175,23165893.59
177,14230072.13
178,89172186.39
178,38377535.7
178,22322360.19
178,124383172.4
182,75491697.26
183,44993781.49
187,45318576.09
188,35844471.13
279,63044801.62
310,62628319
312,39804980.9
365,62106295.06
377,15764093.04
377,24975046.93
380,9951203.547
391,25096048.69
393,24771635.02
431,6303016.871
435,15553787.18
543,39650305.49
548,15556892.95
561,24496272.86
589,15349592.9
606,15837272.46
630,39618924.02
635,24248260.55
740,24927977.64
785,15586364.13
806,9435561.412
826,5500501.067
829,25103664.35
831,39775058.42
842,24503411.99
886,3950305.182
887,15713319.89
931,9908585.249
974,15676169.55
991,9954560.224
1093,2504966.812
1130,1579522.56
1219,9985856.083
1345,25062890.37
1381,9957721.048
1639,38803105.81
1679,38893359.61
1791,18339862.27
1879,15404313.15
1907,5878067.911
1907,15077716.84
1911,9782712.55
1917,9803941.165
1920,15739607.98
1921,3730744.133
1926,14282141.78
1929,9870835.229
1932,6220008.144
1937,6262761.76
1939,24697236.05
1945,6194474.294
1954,3202437.404
1959,9616838.218
1960,15810748.73
1966,9678235.652
1966,2289798.247
1972,23925845.86
1979,2496659.183
1981,8622616.382
1986,13759757.69
1989,1571844.295
1990,3878321.638
1995,9709291.402
1998,3877092.212
1999,6048709.933
2002,5723657.684
2002,5949010.256
2009,9924143.544
2019,989097.5479
2032,3962005.247
2034,1569498.538
2041,6255901.126
2048,9970434.669
2053,3880358.5
2059,6309422.913
2060,620911.5707
2064,6299359.9
2068,2373197.847
