"x","y"
1,1772.82065
1,6708.266697
1,998.5396718
1,8501.965515
1,2443.006906
1,1293.772969
1,1649.362165
1,796.3840655
1,761.3369544
1,763.3021619
1,516.5527494
1,7460.107249
1,385.6111853
1,994.5876421
1,402.9400542
2,234.621136
2,266.8902103
2,429.0911229
2,294.1669641
2,186.0042973
2,278.7974877
2,456.2230557
2,453.1505417
2,405.1866994
2,320.335688
2,268.2955613
2,319.271045
2,250.1101565
2,357.1126542
2,297.2996712
22,359.7173748
22,263.066206
30,369.9223575
34,240.4229041
51,224.6828442
54,240.0532501
57,238.6229375
58,225.4654117
60,394.3678054
65,233.5073321
68,235.0714393
71,228.0570656
80,142.2356374
82,150.7082952
83,226.3327847
88,198.4822881
98,195.7736632
99,156.0003458
103,149.3020114
124,140.2476604
148,105.6314088
161,136.7552291
192,156.0108922
200,100.8467237
200,136.1307063
204,108.1809032
205,131.9000861
206,97.25745037
212,155.7573137
227,156.7916904
241,91.36472196
250,91.96024981
250,65.63338886
267,99.65001678
285,89.13651861
288,157.5057791
310,99.90900983
313,78.26014807
316,88.68773581
330,94.62626743
334,86.66826421
343,92.91817622
368,87.26053058
393,89.78925085
395,61.62404071
414,86.14071673
443,57.07834441
457,56.27072923
481,62.98540243
514,53.90364745
517,60.21718687
519,54.69492111
527,47.28501199
539,50.93963554
657,36.36493186
698,53.99505235
734,58.75413016
775,39.38946422
779,62.34549428
835,23.63899256
838,37.91687042
867,36.04588478
875,38.94713933
889,31.23846588
910,48.4762445
918,24.15002516
918,37.54799568
918,43.19036384
937,36.2880237
949,24.63682053
985,33.09579826
994,23.54242692
1001,24.09099331
1002,56.39916866
1016,22.7133513
1049,15.25949648
1052,15.8438774
1054,38.5446108
1057,38.80795242
1091,34.45152092
1114,35.72770672
1131,31.4295872
1141,15.76508882
1151,23.87140169
1158,14.5777634
1161,15.08413992
1183,38.06240051
1199,24.61886719
1206,22.85605747
1210,24.10636835
1246,24.98346122
1338,15.45100687
1355,21.99522801
1545,9.995896657
4608,17.19006158
4706,13.0394709
4838,9.595563865
5383,15.3313489
5546,13.75879731
5603,25.05185459
5627,14.07840346
5693,9.966457338
5695,15.28282571
5780,15.05471524
5852,9.36294023
5870,15.74279977
6024,19.74134724
6108,6.132599069
6126,9.986769896
6310,15.84404471
6411,9.943885179
11732,15.78671192
11830,9.185441456
12476,8.358169561
12487,9.796952989
13218,6.140189905
13344,6.270566994
13920,9.991965565
20893,9.869606734
21627,9.883331109
22353,9.240958926
24441,9.891585952
37253,5.649457645
38218,6.227601771
39442,9.978004281
39963,6.289356286
41247,6.212161935
70225,6.297334627
104455,6.250446708
105974,6.275744232
108795,6.286941628
293056,6.267808715
415303,6.277482032
514049,6.240641092
531163,6.281691447
1371362,3.981019003
2490928,3.981060958
4066133,3.980949736
4097923,3.831118853
7028349,3.980360672
