"x","y"
1,593909492.1
1,1869482653
1,1794751262
1,2455423986
1,56159516.13
1,528717492.2
1,43919070.71
1,177556712.8
1,2533181834
1,359209899.2
1,208192154.6
1,899065127.8
1,93147844.73
1,146832564.9
1,462589655.1
2,127775627.5
3,1460859169
3,759564753.7
3,31762870.54
4,356016296.9
5,990190091.2
5,97762701.78
5,1998902235
6,470940301.7
8,283952116.3
9,726615323.5
10,1226514427
10,172228717.8
11,39370351.39
11,134638904.4
11,247412285.7
13,416191021.1
13,55492782.89
13,227919982.8
14,194434702.7
14,155220744.8
14,62202677.76
15,203620727.5
15,69072278.67
15,154552378.8
16,19592709.9
17,605516721.9
17,133714238.2
19,141827418.2
24,239816061.9
24,109911654
24,123434670.7
25,25048810.34
26,12438106.23
26,42528367.3
27,601188864.2
27,33609991.59
29,324809968.6
30,186112525.5
30,91506661.89
32,9120256.307
32,31787445.58
33,61063272.73
35,143724702.8
36,81306163.33
36,105966222.3
36,131877318.7
36,96411495.97
37,89571867.02
37,38979642.3
37,95904152.85
38,27753188.27
38,24802657.39
42,20954326.64
44,55587294.64
44,11836037.39
47,24423879.96
47,75703738.42
48,56437540.99
48,99391992.97
48,21862909.44
48,22837185.35
48,98667564.03
48,12031802.55
57,9772761.01
58,6030162.269
58,59558805.48
61,3920607.332
61,61911126.98
61,9510231.067
62,58559047.53
63,24568226.8
64,13447902.9
65,57184190.8
69,33153267.47
74,15443572.97
76,9119608.192
76,39704237.38
77,4800530.501
78,2471060.769
81,1713030.789
84,5565413.052
84,11714938.28
84,12357102.41
86,45181952.3
90,1143787.308
93,8652674.303
95,8978860.517
98,19024674.58
98,28898804.04
101,36988008.51
103,9883218.006
104,14257356.67
105,749743.2138
106,21067879.24
107,37431606.09
107,20907941.36
108,12768831
113,9521210.283
113,12031804.06
114,14432814.69
115,9313105.004
120,3546713.163
120,5269005.654
120,8318557.916
121,4867991.912
122,24656861.53
124,3967662.882
124,4176433.847
126,2306207.973
128,3003424.309
129,5559021.903
132,951878.6771
135,8202479.169
136,6056165.593
143,12724070.92
152,3584527.246
152,4744412.41
155,15647566.68
158,9859425.323
160,3416220.351
161,3970866.992
165,1436455.338
167,2143526.894
167,4423758.647
168,1522154.757
169,844471.2258
170,3244262.344
174,5444197.221
174,3573828.229
175,3108193.12
177,338943.9763
186,5869600.844
190,1560268.995
194,2426301.016
199,3258105.337
204,2320634.851
207,2186225.788
210,1990427.067
212,1802572.258
216,1786479.687
221,239789.9751
224,2274288.376
232,1691447.674
232,754640.99
234,544366.6253
235,954745.5869
236,1410294.109
237,1543938.908
245,733920.8359
249,1495617.381
254,532555.723
255,1395346.869
269,1153970.092
279,1597289.342
280,994146.1221
285,914764.7214
285,988527.379
287,451296.2927
305,1143716.062
309,521714.0666
310,560894.1912
339,621189.3311
343,855535.4308
347,577520.644
350,395907.2592
360,524597.4199
361,455415.3368
364,368632.4328
369,907778.7582
377,373142.0557
384,364976.6044
401,476887.9072
406,337107.4161
419,598329.3793
425,372245.3539
426,490912.2329
431,138148.1247
431,202106.7106
439,381170.1674
451,325847.8336
453,226605.1088
462,291535.66
481,614483.114
483,85749.18719
496,28678.8713
500,30276.99891
503,304278.1434
504,249767.3784
507,22801.35397
513,170970.7069
516,14256.4742
524,196828.3708
536,157233.6131
538,56104.6138
542,158019.2642
549,31534.22872
550,359703.955
559,178002.8453
581,86779.42736
588,142810.7179
589,247150.8993
601,141493.6706
609,162127.2638
612,195199.1429
627,62559.66239
629,158391.6242
632,134109.7266
633,152720.5898
646,248674.058
654,80015.23359
670,129479.6517
680,181863.6234
690,6425.974432
694,29662.19556
724,88113.86437
727,89392.60422
735,94189.39066
739,83208.39202
750,519890.0263
760,5738.903407
772,24332.90273
791,63039.02222
808,154539.7612
851,88578.94607
886,23741.31571
946,31757.63183
948,95124.15689
958,51278.00005
969,92927.08104
982,17765.90945
1021,58158.1744
1063,58989.64936
1072,342474.8081
1072,14938.3061
1089,55559.25476
1099,29374.36894
1114,22325.33228
1150,23838.60912
1177,36470.80732
1182,20013.3366
1184,239637.6631
1208,57692.92255
1252,48644.07391
1331,35336.30851
1390,14415.28214
1395,7925.400021
1437,25864.60427
1465,13987.69125
1478,6361.157255
1572,5285.330808
1607,6303.991417
1676,156470.5196
1693,23248.44947
1695,24655.43784
1756,9380.716302
1767,1836.944395
1784,8490.611361
1814,15570.15908
1824,22023.83433
1897,44024.34816
1932,8971.283856
1940,15713.4839
1956,32999.16744
1972,15142.82664
1982,4932.275036
2055,8523.857038
2179,3780.179564
2282,37801.03887
2316,3526.835759
2410,3829.22097
2533,6032.727111
2632,20984.85631
2736,9793.605241
2764,6686.15486
2772,1393.220571
2775,1850.288892
2791,15047.57766
2792,16935.92807
2800,5866.504508
2820,22359.64395
2824,83554.87982
2866,14051.38828
3045,3432.841944
3280,2317.164215
3361,4479.599303
3413,10017.24049
3472,6156.551036
3473,1505.299602
3489,3257.801048
3617,2709.006452
3649,8400.282741
3696,5818.195588
3831,1914.195554
3850,1842.169794
3899,8952.509085
4057,2042.118659
4166,9405.667953
4303,3917.885608
4346,1583.387019
4387,1391.787489
4413,2803.277365
4461,6121.116492
4488,1279.869767
4586,3686.834428
4678,11255.45046
4799,2108.991832
4857,1560.436619
4990,1107.224011
5018,752.8535497
5036,6010.138204
5253,1532.615267
5273,9446.045116
5318,986.892625
5402,2473.575636
5476,926.594616
5668,1853.873974
5686,790.0277864
5765,950.9930672
6003,4659.353688
6291,3612.513117
6342,699.5919251
6429,62184.63392
6666,543.1546522
6829,3575.531849
6847,929.0640373
6932,1672.147531
7062,877.5727359
7185,519.7358362
7459,628.4902516
7468,1442.942779
7687,813.1139676
7718,383.4533988
7966,2288.442393
8004,1572.070855
8115,464.2084517
8117,357.7222215
8118,245.1288412
8692,3735.074211
8798,185.4635211
9062,493.2020126
9434,863.7815313
9491,383.2324847
9530,833.2746502
10086,474.981616
10550,69.39092161
10725,201.713624
10752,1335.820153
10901,378.4603849
10916,162.318726
10930,105.2857822
11223,931.576689
11238,304.3415742
11450,588.0419961
11538,153.9496135
11685,354.2980619
11769,250.2339679
12459,91.95180752
12734,39677.51515
