"x","y"
1,23
1,27
1,25
1,30
1,27
1,29
1,28
1,29
1,22
1,34
1,19
1,30
1,29
1,27
1,23
1,33
1,34
1,22
1,34
1,30
2,29
2,21
2,18
2,29
3,26
3,31
3,33
3,20
3,32
3,27
4,24
4,26
4,27
4,15
4,28
4,24
4,32
4,32
4,31
5,27
5,20
5,27
5,31
5,30
5,29
6,24
6,25
6,29
6,25
6,22
6,29
6,28
7,23
7,23
7,25
7,28
7,27
7,21
7,28
8,21
8,22
8,26
8,14
8,22
8,26
8,27
8,25
9,19
9,22
9,25
9,18
10,22
10,22
10,27
10,27
10,23
11,17
11,21
11,13
11,24
11,26
11,22
12,16
12,21
12,23
12,26
12,22
12,20
12,17
13,26
13,25
13,21
13,19
13,19
13,24
14,15
14,25
14,20
14,24
14,20
15,18
15,21
15,18
15,23
15,17
15,22
16,24
16,19
16,24
16,17
16,24
16,22
16,20
17,20
17,22
18,14
18,17
18,21
18,16
18,18
19,15
19,21
20,20
20,18
20,23
20,20
21,13
21,19
21,17
21,21
21,16
22,19
22,20
22,12
22,21
23,21
23,18
23,20
25,18
25,15
25,18
25,19
25,16
25,23
25,19
26,14
26,19
26,19
26,16
27,12
27,16
27,14
28,20
29,18
29,13
30,14
30,22
30,18
32,17
32,21
32,11
32,18
32,17
32,17
32,17
33,12
33,23
33,13
33,15
33,15
33,11
34,22
34,15
34,16
34,15
34,19
34,13
35,20
35,14
36,17
36,19
36,15
36,17
37,16
38,15
38,9
39,20
39,14
40,9
40,15
41,13
41,15
41,15
41,13
41,16
42,14
42,13
42,14
42,7
43,12
43,12
44,15
44,10
45,18
45,13
46,13
46,9
47,12
48,12
48,12
48,14
48,16
49,17
49,14
50,11
51,16
52,11
52,12
52,13
52,14
53,8
53,14
54,10
55,14
56,13
56,12
57,13
57,12
58,11
59,7
60,13
61,11
61,13
61,10
62,17
62,10
62,12
63,14
63,11
64,12
65,12
65,10
66,11
66,11
67,6
67,12
67,10
67,12
69,10
72,11
72,9
72,11
72,11
73,10
73,6
74,9
74,10
74,8
74,8
75,5
75,9
76,11
77,8
78,8
78,8
78,8
79,7
79,9
79,8
79,10
80,6
80,10
82,9
82,7
83,7
84,7
86,11
86,6
88,10
88,6
91,9
91,9
91,7
91,5
93,4
93,9
94,8
95,7
95,8
97,7
98,8
99,6
99,9
101,6
102,5
105,10
105,6
107,7
109,9
109,7
110,8
111,6
112,7
112,4
114,6
116,7
116,8
116,5
120,8
120,6
122,8
124,5
126,3
127,7
128,6
130,4
131,7
132,6
132,3
133,3
134,4
136,6
137,7
137,10
138,5
139,5
142,5
144,4
144,6
145,5
146,4
148,4
148,9
151,4
151,2
154,3
159,8
162,6
165,6
172,5
173,5
175,5
175,7
178,2
184,4
188,3
201,4
205,5
208,3
210,3
212,3
212,4
212,5
220,2
222,3
225,6
232,5
235,4
241,4
241,2
259,1
261,4
272,2
273,3
274,4
277,2
278,2
279,3
283,2
284,5
293,3
295,4
320,7
320,3
325,2
332,1
335,6
346,2
358,1
365,1
367,3
375,2
381,2
391,1
400,5
406,4
409,3
413,1
425,4
434,3
447,2
467,2
473,4
478,1
485,3
520,2
593,1
609,1
615,1
652,2
700,1
721,1
731,2
798,2
826,1
907,1
926,1
940,0
1170,1
2488,1
3154,1
9152,3
9323,2
10437,1
2e+07,3
2e+07,1
2e+07,1
2e+07,1
2e+07,1
2e+07,1
2e+07,1
2e+07,1
2e+07,1
2e+07,1
2e+07,1
2e+07,1
2e+07,1
2e+07,1
2e+07,1
2e+07,1
2e+07,1
2e+07,1
2e+07,1
