"x","y"
1,72
1,101
1,77
1,74
1,77
1,84
1,71
1,70
1,90
1,93
1,84
1,74
1,74
1,75
1,85
1,84
1,72
1,73
1,83
1,71
2,70
2,74
2,69
2,69
2,89
2,86
2,74
2,78
3,74
3,73
3,68
3,88
3,83
3,73
3,74
4,72
4,83
4,72
5,72
5,84
5,82
5,79
5,82
6,69
6,60
6,81
6,74
6,70
7,80
7,72
8,67
8,71
8,56
8,78
8,70
9,66
9,69
9,55
9,80
9,69
9,71
10,67
11,65
11,65
11,77
11,70
11,77
12,62
12,71
12,67
12,67
13,53
13,62
13,74
14,59
14,75
14,68
14,65
15,73
15,58
15,51
15,76
15,64
15,60
16,81
16,56
17,72
17,56
17,72
17,72
17,59
18,71
18,70
18,79
19,68
19,55
19,68
19,76
20,69
20,75
21,53
21,67
21,67
21,70
21,71
22,66
22,64
22,63
22,69
23,68
23,62
23,68
24,61
24,61
25,66
25,77
25,60
25,73
25,60
25,69
26,76
27,64
27,65
28,57
28,63
29,63
29,75
29,54
30,73
30,62
31,65
31,53
31,66
32,66
32,65
33,62
33,64
33,71
33,71
34,70
34,60
35,61
35,50
35,70
36,56
36,66
36,59
37,64
37,58
37,58
38,62
39,64
39,57
39,54
42,68
42,59
44,66
44,62
46,64
46,61
46,51
47,58
47,50
48,49
49,48
50,47
50,56
51,61
51,56
52,62
52,59
52,53
52,68
56,65
57,58
57,64
57,64
58,63
59,59
60,58
60,63
61,56
62,52
63,50
63,58
64,62
64,44
65,60
65,61
66,56
67,54
67,52
67,42
68,48
68,59
68,40
69,59
69,39
70,58
71,50
72,57
72,51
72,56
73,66
74,48
74,63
74,49
74,64
75,47
75,47
76,67
76,62
76,55
78,66
78,60
79,61
79,57
79,46
80,59
81,59
81,55
81,44
82,58
84,54
84,43
84,53
85,58
88,51
89,53
89,48
90,52
91,53
92,52
92,45
93,52
95,51
96,50
96,50
98,57
101,48
101,49
104,55
106,54
112,52
115,67
118,66
121,50
121,65
123,49
124,48
125,46
127,61
129,60
130,59
130,53
131,56
132,46
132,50
132,44
135,55
136,45
136,49
138,48
138,54
139,55
140,54
140,47
140,64
141,53
141,46
141,61
141,54
143,43
143,52
143,50
143,58
143,53
146,42
146,47
146,53
147,52
147,48
148,50
148,44
148,42
149,40
149,41
149,45
150,49
150,44
152,43
152,52
154,43
155,48
155,40
155,39
158,38
163,46
165,36
166,45
168,42
169,35
171,44
172,40
177,43
177,34
178,33
180,55
180,57
182,56
183,51
183,55
185,48
188,51
189,47
189,51
190,49
191,53
192,53
195,49
195,52
196,50
197,46
197,49
198,47
198,51
200,45
200,49
201,40
203,42
204,41
204,48
204,47
205,39
206,41
207,47
207,48
208,38
208,46
208,48
209,46
209,37
209,45
210,44
210,47
210,44
211,45
211,47
212,43
213,36
213,46
216,44
216,44
216,42
217,35
217,46
219,43
219,40
221,36
221,39
224,43
224,45
224,37
225,41
225,35
225,42
230,41
231,41
231,44
232,39
232,35
233,38
234,37
234,40
238,40
239,30
240,43
241,39
243,27
243,47
244,38
245,45
251,32
252,42
253,39
253,41
254,40
254,36
255,36
255,46
256,34
256,40
258,39
