"x","y"
1,13
1,9
1,16
1,10
1,11
1,9
1,10
1,6
1,15
1,9
1,11
1,12
1,10
1,12
1,11
1,16
1,10
1,8
1,11
1,14
2,12
2,13
2,14
2,8
2,9
2,11
2,9
2,14
2,8
2,13
3,6
3,10
3,9
3,5
3,7
3,8
3,11
3,12
3,7
3,12
4,10
4,10
4,8
4,9
4,7
4,8
4,8
4,7
4,10
4,9
4,6
4,10
5,9
5,9
5,7
5,5
5,7
5,9
6,6
6,6
6,5
6,8
6,7
6,5
6,7
7,7
7,5
7,6
7,6
7,8
7,8
7,4
7,6
8,8
8,4
8,4
8,3
8,7
8,3
9,7
9,6
10,4
10,7
10,5
10,5
10,4
11,4
11,3
11,4
12,6
12,3
12,4
12,6
12,4
12,4
12,4
13,4
14,3
14,6
15,3
15,4
15,3
16,4
17,3
18,5
19,2
21,3
26,4
26,3
28,1
29,2
30,3
32,4
32,2
33,3
34,3
35,2
35,2
37,3
39,2
41,1
41,1
41,3
44,2
44,1
45,2
47,2
49,2
55,0
55,3
56,1
57,2
58,4
59,1
63,3
67,2
71,2
72,1
74,0
77,3
79,2
79,1
81,1
85,0
87,0
88,1
89,2
91,3
97,2
105,2
105,1
117,0
117,1
119,1
132,0
149,0
150,1
160,0
165,1
167,0
174,0
195,0
203,0
205,1
235,1
260,0
368,1
369,0
447,0
530,1
619,0
663,0
1009,0
1230,0
1851,0
