"x","y"
1,114
1,92
1,91
1,97
1,87
1,92
1,99
1,100
1,89
1,97
1,96
1,90
1,88
1,105
1,83
1,91
1,78
1,83
1,98
1,103
2,109
2,91
2,93
2,88
2,98
2,104
2,79
2,77
2,99
3,90
3,96
3,96
3,94
3,76
3,96
4,104
4,89
4,85
4,97
4,82
4,103
4,82
4,95
4,94
5,100
5,81
5,94
5,93
6,102
6,85
6,86
7,101
7,85
7,87
7,76
8,89
8,93
8,74
8,92
9,97
9,89
9,85
9,99
10,96
10,91
11,96
11,79
11,82
11,95
11,80
11,86
12,94
12,96
12,81
12,83
13,93
13,89
13,78
14,84
14,76
14,79
15,92
15,81
15,74
15,94
15,87
15,88
15,77
15,81
16,90
16,83
16,85
16,78
17,82
17,86
17,77
18,93
18,85
18,76
19,88
19,77
19,91
19,81
19,91
19,91
20,80
20,83
20,84
20,88
20,78
20,90
21,83
21,73
21,81
21,83
21,89
22,79
22,80
22,76
23,71
23,78
23,88
23,90
24,82
24,77
24,89
25,93
25,85
25,86
26,76
26,83
26,72
26,73
27,81
27,80
27,72
28,91
28,85
29,74
29,88
29,67
29,74
30,80
30,73
30,85
30,84
31,82
31,71
31,80
31,84
32,69
32,80
32,71
32,78
32,83
34,78
34,67
34,81
34,65
34,79
34,69
34,81
35,86
35,76
35,68
35,80
36,80
36,64
36,75
36,76
36,78
38,79
38,73
38,73
39,76
39,69
40,74
40,80
40,69
40,77
41,68
41,71
41,74
42,74
42,82
42,66
43,79
44,70
44,78
44,80
44,67
44,65
45,77
45,62
45,73
46,89
46,78
47,87
48,72
48,76
48,77
50,71
50,60
50,75
51,84
51,72
51,59
52,83
52,71
52,79
53,81
53,69
53,58
53,72
54,80
54,75
54,75
54,57
54,74
55,70
55,75
55,73
55,69
56,78
56,72
56,55
56,72
57,68
57,54
58,78
58,77
58,69
58,67
60,74
60,51
60,70
61,76
61,65
61,72
61,72
61,68
61,69
62,64
64,68
64,69
67,63
67,63
68,63
69,61
69,66
69,61
69,68
70,69
70,65
70,60
71,69
71,62
72,68
72,60
72,66
72,66
73,67
73,65
74,63
74,59
74,64
75,61
75,62
75,64
76,71
76,62
77,67
77,69
77,61
78,61
79,57
80,65
80,58
80,60
80,59
80,63
81,57
83,63
83,54
83,57
84,55
84,52
84,58
85,68
85,72
86,51
86,55
86,56
86,62
87,59
88,54
90,67
90,69
91,61
91,50
91,74
91,54
92,71
92,66
93,70
93,56
93,68
94,68
95,64
95,69
95,52
95,63
95,73
96,63
96,66
96,61
97,54
97,65
98,55
98,48
98,67
99,51
99,71
100,62
100,59
101,74
101,47
101,61
101,50
102,54
102,65
102,57
103,73
103,70
104,52
104,69
105,63
105,68
106,65
106,67
107,72
107,63
108,71
108,63
108,64
108,66
109,63
110,62
110,62
110,62
111,61
111,61
111,59
111,49
112,69
112,60
113,59
113,58
113,71
113,61
114,61
115,62
115,57
115,66
116,56
117,60
118,67
118,55
119,66
120,65
120,58
121,64
121,56
121,56
122,58
122,53
122,60
123,63
124,60
124,59
125,56
126,53
127,59
127,58
128,56
128,56
129,50
129,55
129,64
131,54
132,52
133,49
134,55
134,63
135,47
135,55
136,46
136,50
136,53
136,52
136,61
137,53
138,44
138,63
138,51
138,59
139,62
139,49
140,49
141,48
141,50
141,56
142,61
144,48
145,44
146,60
146,48
147,56
148,59
148,47
149,46
150,57
150,55
151,43
152,42
152,47
154,42
155,41
155,51
155,60
155,39
156,47
157,45
158,58
159,44
159,51
159,54
160,36
161,50
161,51
162,40
162,46
162,50
165,49
167,43
167,48
168,48
168,50
168,67
169,47
169,66
170,49
171,46
171,47
171,42
172,42
173,65
173,53
174,46
175,40
175,63
176,52
182,50
185,62
187,55
188,49
189,50
194,49
195,48
201,46
202,55
204,55
204,45
204,54
205,54
205,52
206,43
209,51
210,53
211,53
212,42
212,48
213,51
214,52
214,47
215,48
217,50
217,47
217,54
217,50
217,44
218,49
219,44
219,40
220,41
220,48
221,49
221,39
222,52
222,41
223,50
225,45
226,48
226,49
227,48
230,46
231,45
232,44
232,38
233,37
235,47
238,43
238,40
240,46
241,45
242,41
243,40
245,36
246,35
247,46
250,58
250,45
251,50
251,34
252,57
252,44
253,43
253,48
254,47
254,33
258,55
261,42
263,54
264,50
265,53
265,40
265,46
266,39
266,45
269,42
269,46
270,37
270,45
271,49
272,36
272,46
272,54
273,52
273,45
275,51
276,44
278,41
278,53
279,43
280,41
283,52
284,39
285,35
285,42
286,38
287,40
289,50
291,34
314,45
