"x","y"
1,108
2,105
6,104
7,103
9,102
15,101
18,99
19,95
21,93
22,90
23,88
26,87
28,86
30,85
34,83
35,82
41,80
45,79
46,77
50,76
54,75
55,73
60,72
61,71
63,70
65,69
74,68
81,66
82,64
86,63
95,62
102,61
113,60
145,59
151,58
163,57
172,56
175,55
182,54
183,51
190,50
193,49
198,47
200,46
219,45
227,44
229,43
233,42
290,41
307,37
316,36
332,35
340,34
343,33
362,32
369,31
391,30
441,28
467,27
533,26
546,25
585,24
664,23
784,22
809,20
903,19
939,18
942,16
1134,15
1193,14
1316,13
1547,12
1642,11
1812,10
2248,9
3298,8
4032,7
6138,6
6625,5
29274,4
35602,3
38329,2
2e+07,2
