"x","y"
1,118
3,114
8,112
10,108
67,106
71,101
73,94
74,91
75,90
125,88
126,86
130,84
134,83
139,82
141,81
144,79
146,77
148,76
149,75
150,74
153,72
216,70
217,68
222,67
229,66
237,65
310,62
312,61
402,60
404,59
413,58
414,57
420,54
424,51
437,50
443,48
455,47
457,46
1515,43
1537,42
1570,41
1586,40
1594,38
1600,37
1622,36
1625,35
1631,34
2313,32
4148,31
4937,30
4951,29
4977,28
4980,27
5015,26
5035,25
5095,24
5127,23
10186,22
11959,20
11980,19
12012,16
12027,14
12064,13
22713,12
22767,11
24233,10
63572,9
63641,8
63733,7
63751,6
93920,5
94346,4
287700,3
571433,2
1285181,1
6464654,0
