"x","y"
1,124
2,120
4,118
8,115
9,114
11,113
12,111
13,110
21,109
25,108
29,107
38,106
42,105
44,103
45,101
56,99
65,98
66,96
67,95
70,93
73,92
76,91
79,88
81,87
82,86
84,85
86,84
93,82
98,79
102,78
104,77
107,76
112,74
114,73
121,71
125,70
128,69
138,68
141,64
144,63
148,62
173,60
211,58
226,57
240,56
271,55
278,54
285,53
301,50
307,49
312,47
314,46
316,44
322,43
339,42
357,41
373,39
378,37
394,36
404,33
457,32
495,31
544,30
571,29
633,28
670,26
775,25
792,24
884,23
903,22
918,21
993,20
1256,19
1436,18
1572,16
1583,15
1606,14
1674,13
1832,12
1980,11
2121,10
2236,9
2584,8
2906,7
3638,6
4142,5
6805,4
26487,3
76119,2
1441551,1
2e+07,1
