"x","y"
1,122
3,117
6,116
9,99
10,96
11,93
13,92
14,90
16,89
17,86
19,84
25,82
30,81
31,80
32,79
33,78
63,76
69,75
70,72
73,71
77,70
78,68
79,67
89,66
96,65
99,64
100,62
101,60
240,59
241,56
541,55
542,53
543,52
565,51
570,49
573,48
591,47
595,46
602,45
607,42
608,41
629,40
639,38
648,37
651,36
652,35
655,33
680,32
684,31
688,30
692,29
696,27
706,26
2433,24
2435,23
2446,22
2513,21
2529,18
3580,17
4240,16
7114,15
7142,14
7376,13
7451,12
7459,11
18460,10
32325,9
32434,8
32909,7
38009,6
38035,5
104287,4
105461,3
289445,2
454230,1
2832856,0
