"x","y"
"1","3.0782285865818086"
"2","2.730575444179263"
"3","2.4538583929992046"
"4","2.220498541500928"
"5","2.0185627154600905"
"6","1.8061522142667727"
"7","1.647573587907717"
"8","1.5217448952532486"
"9","1.405727923627685"
"10","1.2910368602492708"
"11","1.1787324317157253"
"12","1.0741182710156458"
"13","0.9695041103155662"
"14","0.868072129408645"
"15","0.7875894988066826"
"16","0.7291169451073986"
"17","0.6710421638822593"
"18","0.6138955184301247"
"19","0.5627154600901618"
"20","0.5123309466984884"
"21","0.468045611243702"
"22","0.43092018032352164"
"23","0.3972421108459295"
"24","0.36674622116149563"
"25","0.3313444709626094"
"26","0.30522407849376826"
"27","0.2836117740652347"
"28","0.262264651286131"
"29","0.24197825510474677"
"30","0.22195704057279236"
"31","0.2051180058339963"
"32","0.1904004242906391"
"33","0.17873243171572528"
"34","0.16732962079024133"
"35","0.15857862635905595"
"36","0.15035799522673032"
"37","0.14253513656854946"
"38","0.12967382657120127"
"39","0.1239724211084593"
"40","0.11959692389286662"
"41","0.11641474409970831"
"42","0.11495624502784407"
"4186","0.11495624502784407"
