"x","y"
"1","3.8626609442060085"
"2","3.2374821173104436"
"3","2.7381974248927037"
"4","2.4535050071530757"
"5","2.2260371959942775"
"6","2.0143061516452074"
"7","1.8082975679542204"
"8","1.6123032904148784"
"9","1.4377682403433476"
"10","1.2703862660944205"
"11","1.1216022889842632"
"12","1.0171673819742488"
"13","0.9198855507868383"
"14","0.8254649499284692"
"15","0.7396280400572246"
"16","0.6666666666666666"
"17","0.6022889842632332"
"18","0.5493562231759657"
"19","0.5007153075822603"
"20","0.45493562231759654"
"21","0.39914163090128757"
"22","0.34620886981402005"
"23","0.3061516452074392"
"24","0.25608011444921314"
"25","0.2145922746781116"
"26","0.17739628040057226"
"27","0.15021459227467812"
"28","0.1044349070100143"
"29","0.08011444921316166"
"30","0.05722460658082976"
"31","0.035765379113018594"
"32","0.024320457796852647"
"33","0.011444921316165951"
"34","0.010014306151645207"
"35","0.004291845493562232"
"36","0.002861230329041488"
"2752","0.002861230329041488"
