"x","y"
"1","0.9565093397975188"
"2","0.6775987451875088"
"3","0.5171823755881934"
"4","0.3580493369456723"
"5","0.27391986311136457"
"6","0.20918294595750747"
"7","0.14843861400256667"
"8","0.09881648367317837"
"9","0.07001283330956794"
"10","0.06159988592613717"
"11","0.05332953087123912"
"12","0.04719806074433195"
"13","0.0446313988307429"
"14","0.042635106231284754"
"15","0.04106659061742478"
"16","0.025951803792955936"
"77","0.012405532582347069"
"85","0.011977755596748895"
"86","0.01126479395408527"
"110","0.0031370312277199486"
"111","8.555539711963496E-4"
"112","0.0"
